season,player,pts,trb,ast,stl,blk,fg3,tov,fta,ft_pct,fga,fg_pct,no_play,seas_id,player_id,pos,age,lg,tm,experience,DRAFT_NUMBER,HEIGHT,WEIGHT
2001,Mateen Cleaves,16.88,5.28,8.28,1.96,0.04,0.2,5.56,5.48,0.7080291970802919,16.0,0.4,0.0,17557,3274,PG,23.0,NBA,DET,1,14.0,74.0,210.0
2001,Mitch Richmond,49.833333333333336,9.083333333333334,9.25,3.5833333333333335,0.5833333333333334,3.75,7.0,6.4,0.8937499999999999,20.16,0.4067460317460317,0.52,17580,2449,SG,35.0,NBA,WAS,13,5.0,77.0,220.0
2001,Monty Williams,16.4,9.72,3.16,1.16,0.64,0.04,3.4,5.32,0.6390977443609022,14.56,0.4450549450549451,0.0,17581,2880,SF,29.0,NBA,ORL,7,24.0,80.0,225.0
2001,Moochie Norris,21.76,7.92,11.32,2.76,0.08,1.0,4.28,7.76,0.7783505154639175,16.52,0.4455205811138015,0.0,17582,3011,PG,27.0,NBA,HOU,4,33.0,73.0,185.0
2001,Mookie Blaylock,34.54545454545455,12.363636363636363,21.0,7.409090909090909,0.9090909090909091,3.3181818181818183,5.818181818181818,3.04,0.6973684210526316,32.04,0.39575530586766544,0.12,17583,2531,PG,33.0,NBA,GSW,12,12.0,,
2001,Raja Bell,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,,0.28,0.2857142857142857,0.88,17617,3284,SG,24.0,NBA,PHI,1,,77.0,210.0
2001,Rafer Alston,4.052631578947368,1.631578947368421,3.5789473684210527,0.6842105263157895,0.0,0.42105263157894735,1.0526315789473684,0.52,0.6923076923076923,3.36,0.35714285714285715,0.24,17616,3211,PG,24.0,NBA,MIL,2,39.0,74.0,175.0
2001,Raef LaFrentz,40.32,24.28,4.28,1.48,8.24,2.04,3.88,10.48,0.6984732824427481,32.48,0.47660098522167493,0.0,17615,3149,C,24.0,NBA,DEN,3,3.0,83.0,240.0
2001,Quincy Lewis,9.538461538461538,3.6153846153846154,1.3846153846153846,0.7692307692307693,0.7692307692307693,0.6923076923076923,1.3076923076923077,0.84,0.7142857142857143,4.92,0.4065040650406504,0.48,17614,3210,SF,23.0,NBA,UTA,2,19.0,79.0,215.0
2001,Quentin Richardson,24.52,10.28,2.48,1.68,0.28,2.0,2.56,6.32,0.6265822784810127,21.0,0.44190476190476186,0.0,17613,3283,SG,20.0,NBA,LAC,1,18.0,78.0,228.0
2001,Popeye Jones,9.0,12.222222222222221,1.7222222222222223,1.0555555555555556,0.4444444444444444,0.05555555555555555,1.1666666666666667,2.2,0.7454545454545454,6.12,0.39215686274509803,0.28,17612,2816,PF,30.0,NBA,WAS,8,41.0,80.0,265.0
2001,Pervis Ellison,1.5,3.0,0.75,0.0,0.5,0.0,0.75,0.08,1.0,0.28,0.2857142857142857,0.84,17611,2534,C,33.0,NBA,SEA,11,1.0,,
2001,Pepe Sanchez,1.3333333333333333,1.0,2.7333333333333334,0.7333333333333333,0.06666666666666667,0.0,0.4,0.08,1.0,1.12,0.3214285714285714,0.4,17608,3282,PG,23.0,NBA,TOT,1,,76.0,195.0
2001,Peja Stojakovic,63.708333333333336,18.083333333333332,6.833333333333333,3.7916666666666665,0.5416666666666666,6.0,6.083333333333333,12.48,0.8557692307692307,47.56,0.47014297729184185,0.04,17607,3147,SF,23.0,NBA,SAC,3,14.0,82.0,229.0
2001,Paul Pierce,82.84,20.88,10.12,5.52,2.76,5.88,10.48,29.52,0.7452574525745258,60.52,0.4540647719762062,0.0,17606,3146,SF,23.0,NBA,BOS,3,10.0,79.0,235.0
2001,Paul McPherson,11.391304347826088,3.4347826086956523,1.6521739130434783,1.0869565217391304,0.17391304347826086,0.08695652173913043,2.0434782608695654,2.32,0.7241379310344828,8.64,0.5046296296296297,0.08,17603,3281,PG,22.0,NBA,TOT,1,,76.0,210.0
2001,Mark Strickland,10.5,6.708333333333333,1.0,0.6666666666666666,0.9166666666666666,0.041666666666666664,1.4166666666666667,2.8,0.6428571428571429,9.56,0.4309623430962343,0.04,17554,2877,SF,30.0,NBA,TOT,6,,82.0,220.0
2001,Patrick Ewing,30.4,23.4,3.68,2.12,3.64,0.0,6.04,10.04,0.6852589641434264,27.36,0.4298245614035088,0.0,17602,2264,C,38.0,NBA,SEA,16,1.0,84.0,255.0
2001,P.J. Brown,27.04,29.68,5.08,3.12,3.68,0.0,4.32,8.36,0.8516746411483255,22.44,0.44385026737967914,0.0,17600,2815,C,31.0,NBA,CHH,8,29.0,83.0,239.0
2001,Otis Thorpe,7.2631578947368425,7.631578947368421,1.5263157894736843,0.631578947368421,0.3684210526315789,0.0,1.6842105263157894,0.96,0.8333333333333334,5.24,0.45038167938931295,0.24,17599,2196,PF,38.0,NBA,CHH,17,9.0,82.0,248.0
2001,Othella Harrington,26.6,15.52,2.24,1.36,1.8,0.0,5.8,8.96,0.7633928571428571,20.28,0.48717948717948717,0.0,17596,3013,C,27.0,NBA,TOT,5,30.0,81.0,235.0
2001,Olumide Oyedeji,2.8125,4.1875,0.125,0.4375,0.625,0.0,0.6875,0.48,0.75,1.48,0.48648648648648646,0.36,17595,3280,C,19.0,NBA,SEA,1,42.0,,
2001,Olden Polynice,17.16,15.12,1.24,1.08,3.08,0.0,3.12,2.6,0.26153846153846155,16.6,0.49638554216867464,0.0,17594,2382,C,36.0,NBA,UTA,14,8.0,82.0,250.0
2001,Obinna Ekezie,8.416666666666666,6.5,0.75,0.4166666666666667,0.4166666666666667,0.0,1.1666666666666667,2.12,0.6981132075471698,3.24,0.3950617283950617,0.52,17591,3209,PF,25.0,NBA,TOT,2,37.0,81.0,270.0
2001,Nick Van Exel,54.73913043478261,10.478260869565217,26.08695652173913,2.652173913043478,0.782608695652174,5.869565217391305,7.173913043478261,9.96,0.8192771084337349,44.48,0.4136690647482014,0.08,17590,2814,PG,29.0,NBA,DEN,8,37.0,73.0,190.0
2001,Nick Anderson,3.1666666666666665,2.0833333333333335,1.0833333333333333,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.5833333333333334,0.0,,2.28,0.24561403508771934,0.52,17589,2533,SG,33.0,NBA,SAC,12,11.0,78.0,228.0
2001,Nazr Mohammed,20.045454545454547,13.954545454545455,0.8636363636363636,1.3181818181818181,1.5909090909090908,0.0,2.909090909090909,5.04,0.7063492063492064,14.76,0.47696476964769646,0.12,17586,3143,C,23.0,NBA,TOT,3,29.0,82.0,250.0
2001,Muggsy Bogues,0.0,1.5,2.5,1.0,0.0,0.0,2.0,0.0,,0.08,0.0,0.92,17585,2378,PG,36.0,NBA,TOR,14,12.0,,
2001,Morris Peterson,29.88,10.36,4.2,2.52,0.8,2.52,3.12,5.8,0.7172413793103449,26.92,0.43090638930163444,0.0,17584,3279,SG,23.0,NBA,TOR,1,21.0,79.0,220.0
2001,Pat Garrity,26.166666666666668,8.75,2.125,1.6666666666666667,0.625,4.041666666666667,2.8333333333333335,3.92,0.8673469387755102,23.04,0.3871527777777778,0.04,17601,3144,SF,24.0,NBA,ORL,3,19.0,81.0,238.0
2001,Mark Pope,6.565217391304348,6.391304347826087,1.6521739130434783,0.6956521739130435,1.1304347826086956,0.21739130434782608,0.7391304347826086,1.4,0.6285714285714287,5.68,0.4366197183098592,0.08,17553,3079,PF,28.0,NBA,MIL,3,52.0,82.0,235.0
2001,Mark Madsen,5.708333333333333,6.333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.041666666666666664,1.125,1.48,0.7027027027027027,4.52,0.48672566371681425,0.04,17552,3273,PF,25.0,NBA,LAL,1,29.0,81.0,255.0
2001,Mark Jackson,25.24,12.2,26.44,3.36,0.28,2.8,7.0,3.76,0.7765957446808511,23.32,0.41852487135506,0.0,17549,2373,PG,35.0,NBA,TOT,14,18.0,75.0,195.0
2001,Kobe Bryant,80.75,16.625,14.083333333333334,4.75,1.7916666666666667,2.5416666666666665,9.166666666666666,22.28,0.8527827648114901,60.4,0.4642384105960265,0.04,17514,3000,SG,22.0,NBA,LAL,5,13.0,78.0,212.0
2001,Khalid El-Amin,17.444444444444443,4.5,8.055555555555555,2.6666666666666665,0.1111111111111111,1.5555555555555556,3.0,2.88,0.7777777777777779,12.44,0.3697749196141479,0.28,17513,3266,PG,21.0,NBA,CHI,1,34.0,70.0,200.0
2001,Keyon Dooling,18.708333333333332,3.7083333333333335,7.375,1.7083333333333333,0.4583333333333333,1.1666666666666667,3.9166666666666665,7.16,0.6983240223463687,14.48,0.4088397790055249,0.04,17512,3265,PG,20.0,NBA,LAC,1,10.0,75.0,195.0
2001,Kevin Willis,28.88,21.28,2.0,2.28,2.08,0.04,3.48,5.88,0.7687074829931972,27.6,0.4405797101449275,0.0,17509,2187,C,38.0,NBA,TOT,16,11.0,84.0,245.0
2001,Kevin Ollie,9.391304347826088,4.130434782608695,6.3478260869565215,1.3043478260869565,0.043478260869565216,0.043478260869565216,2.130434782608696,3.56,0.7078651685393258,7.68,0.39583333333333337,0.08,17506,3076,PG,28.0,NBA,TOT,4,,74.0,195.0
2001,Kevin Garnett,71.36,36.84,16.04,4.44,5.8,0.76,9.2,18.68,0.7644539614561028,59.0,0.47728813559322036,0.0,17505,2936,PF,24.0,NBA,MIN,6,5.0,83.0,240.0
2001,Kevin Edwards,9.411764705882353,4.823529411764706,3.0588235294117645,1.7058823529411764,0.47058823529411764,0.29411764705882354,2.176470588235294,2.12,0.8113207547169811,6.8,0.3294117647058824,0.32,17504,2442,SG,35.0,NBA,VAN,11,20.0,75.0,210.0
2001,Keon Clark,25.6,17.36,2.88,1.28,6.16,0.0,3.6,9.6,0.5916666666666667,20.76,0.4797687861271676,0.0,17501,3129,PF,25.0,NBA,TOT,3,13.0,83.0,221.0
2001,Kenyon Martin,38.76190476190476,23.904761904761905,6.238095238095238,3.7142857142857144,5.380952380952381,0.047619047619047616,6.571428571428571,7.68,0.6302083333333334,31.08,0.44530244530244534,0.16,17500,3264,PF,23.0,NBA,NJN,1,1.0,81.0,225.0
