Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Def Rebounds,Off Rebounds,Double Doubles,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.022023085228439016,-0.016445557262846966,-0.01428989146338531,0.44109143356344177,0.011970252818459494,-0.017512325013546687,-0.5476765119688655,-0.0009255761416178345,-0.04282141205256923,0.08545541529774241,-0.008899410363002336,-0.03238717205362397,-0.025166692058094266,0.022597037132210448,-0.013113968095496493,1.0
Assists,0.30799833325454096,0.558919485374439,0.5268584457905332,1.0,0.3502187136485285,0.2172455205209115,0.42789557661108274,0.5092946219541421,0.3322910445427176,0.3307939827439405,0.5420393747691264,0.3979756966232689,0.040138237561799496,0.06346731262685927,-0.02430287372327749,0.44109143356344177
Blocks,0.130390475567963,0.29890111884891574,0.2964738235436261,0.2172455205209115,0.16937151364087852,1.0,0.20175880801758864,0.2823939437626904,0.21092646622165392,0.12921876314332797,0.29397399652134576,0.2072769016445223,0.0605023840213543,0.0006226765440931866,-0.0021764059968021414,-0.017512325013546687
Def Rebounds,0.3056657095543834,0.6216295253245597,0.9259818393376409,0.5092946219541421,0.3660935302423802,0.2823939437626904,0.4734480257347388,1.0,0.3927517488634292,0.46041515705261454,0.6053939670825594,0.4357193939832318,0.05485527803203519,0.011095557798473932,-0.026204411056401023,-0.0009255761416178345
Double Doubles,0.12002862343218018,0.3627447795992614,0.4907467076331303,0.3307939827439405,0.1881235937461854,0.12921876314332797,0.23379901538059192,0.46041515705261454,0.3605568622080508,1.0,0.3505597039918293,0.2722041507606901,0.10367202110817934,0.0012111658120600632,-0.008877053733117313,0.08545541529774241
Field Goal %,0.1888407424306868,0.3924504791271732,0.0305841074670901,0.040138237561799496,0.01750518048970238,0.0605023840213543,0.04613480699298102,0.05485527803203519,-0.014072614241984275,0.10367202110817934,0.4511264786395857,0.06941421959451347,1.0,-0.013724907358159979,0.3013648940623508,-0.025166692058094266
Field Goals Made,0.5004197670757314,0.965168158399436,0.6530333547687058,0.5420393747691264,0.41160679657366944,0.29397399652134576,0.505984062999511,0.6053939670825594,0.46706839039394193,0.3505597039918293,1.0,0.5040237974218841,0.4511264786395857,0.03919975708605036,0.0981985973720099,-0.008899410363002336
Free Throw %,0.03987476064304198,0.13338871499772806,0.008085594635577694,0.06346731262685927,0.014386420929646756,0.0006226765440931866,0.0441534675861517,0.011095557798473932,-0.005026815258022069,0.0012111658120600632,0.03919975708605036,0.35592855716640626,-0.013724907358159979,1.0,-0.004461530573338733,0.022597037132210448
Free Throws Made,0.24028776396630705,0.6896159099183079,0.4650701340312658,0.3979756966232689,0.3030991580895766,0.2072769016445223,0.3928675907552419,0.4357193939832318,0.3287819598932362,0.2722041507606901,0.5040237974218841,1.0,0.06941421959451347,0.35592855716640626,-0.03943190513806408,-0.03238717205362397
Off Rebounds,0.17767253515370066,0.47322067156843434,0.695035199965746,0.3322910445427176,0.29737676597100166,0.21092646622165392,0.33197511027190824,0.3927517488634292,1.0,0.3605568622080508,0.46706839039394193,0.3287819598932362,-0.014072614241984275,-0.005026815258022069,-0.02327925981402219,-0.04282141205256923
Points,0.5459783781909995,1.0,0.6675455217833962,0.558919485374439,0.4244577962993972,0.29890111884891574,0.5285053033860313,0.6216295253245597,0.47322067156843434,0.3627447795992614,0.965168158399436,0.6896159099183079,0.3924504791271732,0.13338871499772806,0.1170745800610489,-0.016445557262846966
Rebounds,0.3096196876915221,0.6675455217833962,1.0,0.5268584457905332,0.4000820282746999,0.2964738235436261,0.5002934396017544,0.9259818393376409,0.695035199965746,0.4907467076331303,0.6530333547687058,0.4650701340312658,0.0305841074670901,0.008085594635577694,-0.030464563868522757,-0.01428989146338531
Steals,0.22903217246178345,0.4244577962993972,0.4000820282746999,0.3502187136485285,1.0,0.16937151364087852,0.32736668713716166,0.3660935302423802,0.29737676597100166,0.1881235937461854,0.41160679657366944,0.3030991580895766,0.01750518048970238,0.014386420929646756,-0.020553124327793396,0.011970252818459494
Three %,0.6535202581079372,0.1170745800610489,-0.030464563868522757,-0.02430287372327749,-0.020553124327793396,-0.0021764059968021414,-0.0029122499941085533,-0.026204411056401023,-0.02327925981402219,-0.008877053733117313,0.0981985973720099,-0.03943190513806408,0.3013648940623508,-0.004461530573338733,1.0,-0.013113968095496493
Threes,1.0,0.5459783781909995,0.3096196876915221,0.30799833325454096,0.22903217246178345,0.130390475567963,0.2935005336317358,0.3056657095543834,0.17767253515370066,0.12002862343218018,0.5004197670757314,0.24028776396630705,0.1888407424306868,0.03987476064304198,0.6535202581079372,0.022023085228439016
Turnovers,0.2935005336317358,0.5285053033860313,0.5002934396017544,0.42789557661108274,0.32736668713716166,0.20175880801758864,1.0,0.4734480257347388,0.33197511027190824,0.23379901538059192,0.505984062999511,0.3928675907552419,0.04613480699298102,0.0441534675861517,-0.0029122499941085533,-0.5476765119688655
