Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Def Rebounds,Off Rebounds,Double Doubles,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.028540311534056284,0.010092485812702981,-0.0030148705785708967,0.40380840443672605,0.02214907740959458,-0.018010369426212817,-0.5867562633774273,-0.0009581822654747695,-0.02370185883731979,0.05855278125365114,0.014470579398979546,-0.0231348651568576,0.008244050933213273,0.03973151585585157,0.02430016677454603,1.0
Assists,0.390112723507327,0.5696712720124623,0.5635987557621706,1.0,0.3391325777509489,0.30672141872510883,0.43478814670882426,0.548608087146392,0.33469739513845265,0.3616411741392975,0.5584675868624549,0.37856207194450947,0.04987416137620997,0.05635316139705879,0.0034212347110001784,0.40380840443672605
Blocks,0.21166596808207316,0.33472800301125283,0.3528110895459039,0.30672141872510883,0.21940552758404133,1.0,0.27623544830781455,0.3419179234080939,0.2163469451099203,0.18946199489993137,0.3332124447239149,0.2175960623953554,0.0654400166221229,0.009025503664450612,-0.0034955423810367927,-0.018010369426212817
Def Rebounds,0.4305694671698566,0.6437048231798378,0.9554756852707583,0.548608087146392,0.3779304419408269,0.3419179234080939,0.4731173130432627,1.0,0.37853240834124974,0.4778841397188278,0.6319978711686279,0.41893351439683335,0.07420867539538886,0.035007061307749075,-0.0018890767222156937,-0.0009581822654747695
Double Doubles,0.20882820364882745,0.38340914292042844,0.5025272387161923,0.3616411741392975,0.16437745612286103,0.18946199489993137,0.2787626573200166,0.4778841397188278,0.3369609060652095,1.0,0.37345523270909636,0.28238892689487716,0.11256886070159755,0.0034869023378738193,0.015121743734879185,0.05855278125365114
Field Goal %,0.2560921680675712,0.40883809882437644,0.043459463405879875,0.04987416137620997,0.058497415756932195,0.0654400166221229,0.03356067520998378,0.07420867539538886,-0.04539664887612674,0.11256886070159755,0.4585051983119695,0.05165966559854818,1.0,-0.043895564328948845,0.4835492940292469,0.008244050933213273
Field Goals Made,0.6658980321834025,0.9729301586195088,0.6549700680807636,0.5584675868624549,0.40366208821344646,0.3332124447239149,0.47819554054590196,0.6319978711686279,0.39979815127919655,0.37345523270909636,1.0,0.4728208894766687,0.4585051983119695,0.027437761446013027,0.22254597295543638,0.014470579398979546
Free Throw %,0.05613997543278317,0.10380315202314198,0.023051972155923493,0.05635316139705879,0.011939345291143898,0.009025503664450612,0.02139078878277107,0.035007061307749075,-0.037498072575632375,0.0034869023378738193,0.027437761446013027,0.3350890993010868,-0.043895564328948845,1.0,0.005897110646640688,0.03973151585585157
Free Throws Made,0.29044865124195574,0.6318659603653519,0.4399755032096065,0.37856207194450947,0.24551025772003007,0.2175960623953554,0.35837718325393647,0.41893351439683335,0.2908162508868582,0.28238892689487716,0.4728208894766687,1.0,0.05165966559854818,0.3350890993010868,-0.017801271166515198,-0.0231348651568576
Off Rebounds,0.18624470592782055,0.40287602704773906,0.6139514326109597,0.33469739513845265,0.21682403256207056,0.2163469451099203,0.3124663831857756,0.37853240834124974,1.0,0.3369609060652095,0.39979815127919655,0.2908162508868582,-0.04539664887612674,-0.037498072575632375,-0.08112360153625944,-0.02370185883731979
Points,0.7118761085363746,1.0,0.6657626561168223,0.5696712720124623,0.40384703713030606,0.33472800301125283,0.49332156706749647,0.6437048231798378,0.40287602704773906,0.38340914292042844,0.9729301586195088,0.6318659603653519,0.40883809882437644,0.10380315202314198,0.25413232849999073,0.010092485812702981
Rebounds,0.42165459597858695,0.6657626561168223,1.0,0.5635987557621706,0.37850386512630735,0.3528110895459039,0.48644743917396494,0.9554756852707583,0.6139514326109597,0.5025272387161923,0.6549700680807636,0.4399755032096065,0.043459463405879875,0.023051972155923493,-0.026519214221862104,-0.0030148705785708967
Steals,0.2855316180595086,0.40384703713030606,0.37850386512630735,0.3391325777509489,1.0,0.21940552758404133,0.2822420654657668,0.3779304419408269,0.21682403256207056,0.16437745612286103,0.40366208821344646,0.24551025772003007,0.058497415756932195,0.011939345291143898,0.017827017089489017,0.02214907740959458
Three %,0.6545603901150662,0.25413232849999073,-0.026519214221862104,0.0034212347110001784,0.017827017089489017,-0.0034955423810367927,-0.007457559900869201,-0.0018890767222156937,-0.08112360153625944,0.015121743734879185,0.22254597295543638,-0.017801271166515198,0.4835492940292469,0.005897110646640688,1.0,0.02430016677454603
Threes,1.0,0.7118761085363746,0.42165459597858695,0.390112723507327,0.2855316180595086,0.21166596808207316,0.32964381975134593,0.4305694671698566,0.18624470592782055,0.20882820364882745,0.6658980321834025,0.29044865124195574,0.2560921680675712,0.05613997543278317,0.6545603901150662,0.028540311534056284
Turnovers,0.32964381975134593,0.49332156706749647,0.48644743917396494,0.43478814670882426,0.2822420654657668,0.27623544830781455,1.0,0.4731173130432627,0.3124663831857756,0.2787626573200166,0.47819554054590196,0.35837718325393647,0.03356067520998378,0.02139078878277107,-0.007457559900869201,-0.5867562633774273
