,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-00,1998-99,1997-98,1996-97,1995-96,1994-95,1993-94,1992-93,1991-92,1990-91,1989-90,1988-89,1987-88,1986-87,1985-86,1984-85
Assist to TO,1.1956000111439078,1.3089696041356096,1.0740429895456673,1.0675779868848359,1.0959747859475608,0.9785202502175206,1.082225451568552,0.973038263045432,0.9108621969571172,0.861563987485852,0.9405443024760302,0.8509420787417167,0.862011566572146,0.8283068089501359,0.8806980279584369,0.8604780040877572,0.8229418568317153,0.9364999452884535,0.7148026207951761,0.8255739677813924,0.8763598702746086,0.7145075316841689,0.8144978660354807,0.8651182285708018,0.8400343339987089,0.7445163942582236,0.6744391079718343,0.7173682808091331,0.7261173839492144,0.729855971710698,0.7179973797204376,0.822269431584768,0.7843967195320022,0.7811661131473685,0.8002901425676803,0.8427476815272468,0.7943763193342702,0.8945884642433353,0.749631883739138,0.7069668257598786,0.7661009778482196
Assists,36.17754642285645,36.874846230253674,33.14533867679862,32.08781383754296,35.3538937833475,29.143894126604266,31.612292658763135,26.17112185981112,26.504472619436548,26.68812622712803,28.387646762164657,30.475016733075602,30.27610302631454,37.07035157714486,28.59515985689308,26.879990021986515,27.439359162777492,30.062441723232077,28.667262666973222,28.341399404242072,28.499088301000057,27.607361470957514,657.5722791385522,28.093425043502894,27.54854812062795,26.348056237502497,29.731558416654572,25.43156331045751,30.971201481548377,28.302491253567776,29.971583215025266,28.80957956269922,27.250230636639337,26.7330115821217,32.75896372041303,30.94019465403372,32.820495482734515,30.495930220447228,28.23431541408165,30.308501533444133,31.99552689764874
Blocks,2.9721370984764572,3.1732442970978605,2.7094157208550644,2.8006858002748323,3.205351793168382,3.0392554727550376,3.0993525101228023,2.8246254818778302,2.7880448519241656,3.3355203567657496,3.3116570518448945,3.0967057786264482,3.4054453266985694,3.183949622496747,3.0282481563385013,3.0820611730611653,3.094123282268771,3.359640945950458,3.040235508141428,3.425563316297705,3.609717140893417,3.552902113957942,91.73831831476087,3.4449897920992165,4.353849636456391,3.6785084238591605,4.419356996280073,3.4735659413293516,3.5995189563376995,3.519457899217288,3.4614523001041855,3.4922995734385056,3.301724019749423,3.7820725277147416,3.637749986211809,3.4712170364763324,3.696295770574779,3.2306877479121394,3.6311526429896164,3.831854451461438,3.331054165967104
Def Rebounds,45.11961563213888,42.0117910416884,38.820669549817225,43.065437002783696,45.84188633902355,47.628257538616786,46.25830454817723,40.14375203202936,41.74577667837787,40.780466820609604,42.5525313416302,42.85443117435213,39.472582446376094,44.06065865100606,40.0122097214353,41.468824146590585,41.19645562194502,41.173032234850055,38.79838983690378,38.38255170894576,43.168231267448604,40.60576574512569,1023.0818717664131,39.09264455197472,40.10694905266914,40.209288969843215,46.19409920563766,35.42798709358998,40.579986071043145,33.13146768651648,32.77776684315931,34.178205993588016,32.136925989075046,31.34453205187832,34.22598007219338,33.67304370682757,33.48940796063802,30.437974222660923,31.37928438209431,34.50329627125675,30.531920198273117
Double Doubles,0.455917290682834,0.4336277517519946,0.41477509595325557,0.4092878567950127,0.4474182999330308,0.43117349758452844,0.46207965351305635,0.3577498129643623,0.3780095847139631,0.39937711636140094,0.40629956794771527,0.4297305001900881,0.44934506038093064,0.43706698699851826,0.43692064038054157,0.4389253843309739,0.4572277826034673,0.4374083399595167,0.40978992581098933,0.4258853966709098,0.4461875301759798,0.440829977282057,10.08203574629765,0.41806153558807535,0.42041685863450495,0.41429607005020924,0.434861114668807,0.4028167157813644,0.46415654300531134,0.44806546973140726,0.4358203768055233,0.46745803681119075,0.43608173502144115,0.44636463552879985,0.4737959958563272,0.4649457199344712,0.4722311401512842,0.43743179437073293,0.43515129611568854,0.4653002075525987,0.42435858660734194
Field Goal %,0.006861105696405702,0.006465311439695212,0.006811244403386583,0.006837692880027359,0.006616364941671173,0.007325966616469053,0.00726775920782444,0.007031377924125669,0.006476701888908312,0.006774796688139375,0.007300218814987296,0.006906088430386832,0.007315865485576836,0.006591683507460584,0.006971492176241862,0.006738677354691731,0.0063646363402797175,0.006945948016005568,0.006796269378307611,0.006626962504377985,0.006646350409363413,0.0066778556461361055,0.006712413027531575,0.006581389792240419,0.006447437343799751,0.006789433713733019,0.006282502148394065,0.00685676107771386,0.006578149287313067,0.006397902247191736,0.006693707668280807,0.006842165206067738,0.006288394722155422,0.0062878459277631304,0.006159904986054563,0.006130942676994502,0.006507989528048761,0.007013461047841405,0.006267202027635968,0.007015064790311201,0.006241237904524153
Field Goal Attempts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Goals Made,70.510022761211,65.56635646654188,62.926817916219115,61.71310560234232,66.27743144457216,62.73234767839296,56.3939473396506,50.80227049916453,54.34263984942008,53.163050298763245,54.68196506104224,56.265785829427,50.83133169969575,63.80090067385778,52.50149473555674,54.87275281605382,55.79311459567168,54.64763378840149,59.5082054665229,52.60555873386524,56.40333553533635,52.83695382319929,1341.150341755841,55.770146835001164,52.71046086853869,52.826471637807536,54.704954998705,52.603713627193066,57.52548092309813,46.57638001078504,51.707265281874655,47.949814541667244,50.311262445242285,51.7485887467441,56.12919976528125,59.026421732159,58.823204123917954,55.607335481021366,55.4096691800959,58.27838177428786,58.042661998472504
Free Throw %,0.019936812359651182,0.0176768683454598,0.017686813501149895,0.01939859317938051,0.018165824748644376,0.02070662773754682,0.02057017926133792,0.023583575920470102,0.019512948108565385,0.02175222914668921,0.02257360764930816,0.019532186507655303,0.02146297058887014,0.019481399409075898,0.01812297253408781,0.017962572828037045,0.015999230032250466,0.017824128033973728,0.018358715665059665,0.0180867856505277,0.018296134978547866,0.01907077585449795,0.018129116045315825,0.01875957912472274,0.021323173611024256,0.018866269954624332,0.019712618522101658,0.01936143203432275,0.019536928315710363,0.016764374630161824,0.016505525671050052,0.01838619458801039,0.01664928304271487,0.01649997369858302,0.015250617488865763,0.014648170592135102,0.016004055514402885,0.01645930602802858,0.015622043319386837,0.017158366694233766,0.015416032805717276
Free Throw Attempts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
