Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Def Rebounds,Off Rebounds,Double Doubles,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.04992940534193942,0.005333326415788133,-0.005411979267768723,0.4508042916122102,0.029127139965811646,-0.020925984151180674,-0.546678634460842,-0.007500812367968475,-0.027811155973460407,0.0819400688434804,0.012655424879079072,-0.01072081533784685,-0.02705655311630754,0.01509181173182324,0.01147429521273142,1.0
Assists,0.31961823541206696,0.5464740742463536,0.534873878255965,1.0,0.36390957972965754,0.2507851964392224,0.4253118735039267,0.5164867778787617,0.3331009282121095,0.30348023954158465,0.5348894693629568,0.3790922376017688,0.046237716276539144,0.04611350595046372,-0.006688082701199695,0.4508042916122102
Blocks,0.13038283298255482,0.30048384706042064,0.3153633858839842,0.2507851964392224,0.15608837954072202,1.0,0.2404150957536614,0.30287705236133805,0.2132237074779256,0.1605966474488963,0.2855565909782772,0.23309613956323652,0.03196086942109724,0.015024983762221819,-0.004413627207559114,-0.020925984151180674
Def Rebounds,0.3405361562850612,0.643783162081889,0.943345213730066,0.5164867778787617,0.3519420065896457,0.30287705236133805,0.49228397554250536,1.0,0.4049175973101002,0.4763834548861663,0.6223111531826837,0.4730141622073914,0.06394950730312701,0.03689850783693349,0.016750038766199318,-0.007500812367968475
Double Doubles,0.16055441405429732,0.3707727710813522,0.5050462162351911,0.30348023954158465,0.15168086136291623,0.1605966474488963,0.2225904524671517,0.4763834548861663,0.3601923081714296,1.0,0.35842214618242363,0.2774157943895533,0.10201319057377269,0.04334161121609332,0.031020466813657388,0.0819400688434804
Field Goal %,0.2311942153045426,0.3950767724352037,0.0488920785937371,0.046237716276539144,0.0508531410533062,0.03196086942109724,0.054902106511845045,0.06394950730312701,0.000617793091802645,0.10201319057377269,0.456794811370083,0.07907342261869724,1.0,0.005928823518451858,0.37711986952294796,-0.02705655311630754
Field Goals Made,0.566494563918236,0.9645399427551945,0.6686987195266278,0.5348894693629568,0.43650643587513244,0.2855565909782772,0.49511581355086276,0.6223111531826837,0.47295204135924623,0.35842214618242363,1.0,0.5070956069088124,0.456794811370083,0.06837869955583548,0.16473095629921847,0.012655424879079072
Free Throw %,0.07246207315553568,0.15499799468871073,0.032770729292880954,0.04611350595046372,0.012901152017443022,0.015024983762221819,0.03832257044631083,0.03689850783693349,-0.0020040829242183268,0.04334161121609332,0.06837869955583548,0.3445769169869492,0.005928823518451858,1.0,0.013522758304816451,0.01509181173182324
Free Throws Made,0.2778991419852526,0.6931669067555003,0.4986676658340515,0.3790922376017688,0.3164009850908945,0.23309613956323652,0.37529084609676533,0.4730141622073914,0.33745774929599665,0.2774157943895533,0.5070956069088124,1.0,0.07907342261869724,0.3445769169869492,0.007887776799083316,-0.01072081533784685
Off Rebounds,0.2155759265591923,0.48089968572321484,0.6689580793452559,0.3331009282121095,0.2649385859129586,0.2132237074779256,0.326517706261242,0.4049175973101002,1.0,0.3601923081714296,0.47295204135924623,0.33745774929599665,0.000617793091802645,-0.0020040829242183268,-0.012513720086944735,-0.027811155973460407
Points,0.6099298282291487,1.0,0.6885229089409753,0.5464740742463536,0.4462656263486356,0.30048384706042064,0.5147519712898265,0.643783162081889,0.48089968572321484,0.3707727710813522,0.9645399427551945,0.6931669067555003,0.3950767724352037,0.15499799468871073,0.18689888759964213,0.005333326415788133
Rebounds,0.3556820087827511,0.6885229089409753,1.0,0.534873878255965,0.37251845538558076,0.3153633858839842,0.5070526879245425,0.943345213730066,0.6689580793452559,0.5050462162351911,0.6686987195266278,0.4986676658340515,0.0488920785937371,0.032770729292880954,0.011222862034121877,-0.005411979267768723
Steals,0.2597975086294804,0.4462656263486356,0.37251845538558076,0.36390957972965754,1.0,0.15608837954072202,0.31747711329734624,0.3519420065896457,0.2649385859129586,0.15168086136291623,0.43650643587513244,0.3164009850908945,0.0508531410533062,0.012901152017443022,0.009400230185235593,0.029127139965811646
Three %,0.660967912511634,0.18689888759964213,0.011222862034121877,-0.006688082701199695,0.009400230185235593,-0.004413627207559114,-0.0034559617346830683,0.016750038766199318,-0.012513720086944735,0.031020466813657388,0.16473095629921847,0.007887776799083316,0.37711986952294796,0.013522758304816451,1.0,0.01147429521273142
Threes,1.0,0.6099298282291487,0.3556820087827511,0.31961823541206696,0.2597975086294804,0.13038283298255482,0.29928018868298856,0.3405361562850612,0.2155759265591923,0.16055441405429732,0.566494563918236,0.2778991419852526,0.2311942153045426,0.07246207315553568,0.660967912511634,0.04992940534193942
Turnovers,0.29928018868298856,0.5147519712898265,0.5070526879245425,0.4253118735039267,0.31747711329734624,0.2404150957536614,1.0,0.49228397554250536,0.326517706261242,0.2225904524671517,0.49511581355086276,0.37529084609676533,0.054902106511845045,0.03832257044631083,-0.0034559617346830683,-0.546678634460842
