Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Def Rebounds,Off Rebounds,Double Doubles,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.025685177656433328,-0.021454953783443694,-0.040395284156603525,0.42823655951713047,-0.01745379911599907,-0.028394686879584234,-0.6135274081422434,-0.04329732519249878,-0.034329368733054984,0.08435570345018031,-0.02210481938393979,-0.020454468698503023,-0.016651214174568087,0.02976638215044299,0.007320710509430087,1.0
Assists,0.2192464268604579,0.513943434955835,0.4762915453405688,1.0,0.32508923382962923,0.2108292434931125,0.3814669237243435,0.4530087945927995,0.32440897061256585,0.297910602367545,0.49974267439974895,0.32853045664027736,0.04822339416143516,0.04042781042399483,-0.01374559989611184,0.42823655951713047
Blocks,0.0888301848704396,0.2990410740865138,0.3105302528201133,0.2108292434931125,0.13488863155609154,1.0,0.20251791957368917,0.2977872676545002,0.21373038811293904,0.13385113433808196,0.27956366752026657,0.2274177683617876,0.029251541212269465,0.002021618029288956,0.012758988512910404,-0.028394686879584234
Def Rebounds,0.20762556799886828,0.58726931127449,0.9155962120446083,0.4530087945927995,0.32860694491988895,0.2977872676545002,0.4332569455437337,1.0,0.41079836334971304,0.4499753577508954,0.5651717230567238,0.4011847302262736,0.05663431308817252,-0.014370936122217669,0.011165598602027383,-0.04329732519249878
Double Doubles,0.1118460952720279,0.3548574188458162,0.4925107695522048,0.297910602367545,0.15534015621826533,0.13385113433808196,0.1894015080600043,0.4499753577508954,0.38838424907568203,1.0,0.33818639431015757,0.24072790686339873,0.07567921037575881,-0.03897030152311129,0.015442704702047338,0.08435570345018031
Field Goal %,0.11273579381607049,0.39835716343734695,0.015475455482204649,0.04822339416143516,0.027228209821429792,0.029251541212269465,0.04615434178550487,0.05663431308817252,-0.05157107331335057,0.07567921037575881,0.4533664963313669,0.06897143376464798,1.0,-0.0045085902540278385,0.19972018215538176,-0.016651214174568087
Field Goals Made,0.34615343326980874,0.9635537928761903,0.6213584893975543,0.49974267439974895,0.4032878060313805,0.27956366752026657,0.45624299772020505,0.5651717230567238,0.4768954259459571,0.33818639431015757,1.0,0.458140132581993,0.4533664963313669,0.029144153753942012,0.08206942596383142,-0.02210481938393979
Free Throw %,0.03260578328608091,0.12154220545271893,-0.024685271708381425,0.04042781042399483,0.005311353343670247,0.002021618029288956,0.012926470552006205,-0.014370936122217669,-0.036184407486017325,-0.03897030152311129,0.029144153753942012,0.3426298884502816,-0.0045085902540278385,1.0,0.02045090588101891,0.02976638215044299
Free Throws Made,0.13899456241200864,0.6588241923162952,0.4389889833941486,0.32853045664027736,0.27276372580790925,0.2274177683617876,0.3021803636398475,0.4011847302262736,0.3413292571791603,0.24072790686339873,0.458140132581993,1.0,0.06897143376464798,0.3426298884502816,-0.002998722426956023,-0.020454468698503023
Off Rebounds,0.13800195164401097,0.49129336030020443,0.7264736861174595,0.32440897061256585,0.25200155206939523,0.21373038811293904,0.2937160214429339,0.41079836334971304,1.0,0.38838424907568203,0.4768954259459571,0.3413292571791603,-0.05157107331335057,-0.036184407486017325,-0.0032863055495950385,-0.034329368733054984
Points,0.3844362679580884,1.0,0.6435370816064782,0.513943434955835,0.41171824040010957,0.2990410740865138,0.46665800864161056,0.58726931127449,0.49129336030020443,0.3548574188458162,0.9635537928761903,0.6588241923162952,0.39835716343734695,0.12154220545271893,0.10427199623171801,-0.021454953783443694
Rebounds,0.21547157209479337,0.6435370816064782,1.0,0.4762915453405688,0.35017466157975957,0.3105302528201133,0.4464334632774765,0.9155962120446083,0.7264736861174595,0.4925107695522048,0.6213584893975543,0.4389889833941486,0.015475455482204649,-0.024685271708381425,0.008153378798786116,-0.040395284156603525
Steals,0.17491982963145872,0.41171824040010957,0.35017466157975957,0.32508923382962923,1.0,0.13488863155609154,0.30473059625387855,0.32860694491988895,0.25200155206939523,0.15534015621826533,0.4032878060313805,0.27276372580790925,0.027228209821429792,0.005311353343670247,0.015415546537775908,-0.01745379911599907
Three %,0.7065915669941065,0.10427199623171801,0.008153378798786116,-0.01374559989611184,0.015415546537775908,0.012758988512910404,-0.012284364401384648,0.011165598602027383,-0.0032863055495950385,0.015442704702047338,0.08206942596383142,-0.002998722426956023,0.19972018215538176,0.02045090588101891,1.0,0.007320710509430087
Threes,1.0,0.3844362679580884,0.21547157209479337,0.2192464268604579,0.17491982963145872,0.0888301848704396,0.19335939960483034,0.20762556799886828,0.13800195164401097,0.1118460952720279,0.34615343326980874,0.13899456241200864,0.11273579381607049,0.03260578328608091,0.7065915669941065,0.025685177656433328
Turnovers,0.19335939960483034,0.46665800864161056,0.4464334632774765,0.3814669237243435,0.30473059625387855,0.20251791957368917,1.0,0.4332569455437337,0.2937160214429339,0.1894015080600043,0.45624299772020505,0.3021803636398475,0.04615434178550487,0.012926470552006205,-0.012284364401384648,-0.6135274081422434
