Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Def Rebounds,Off Rebounds,Double Doubles,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.007638474925417632,-0.02768084157581187,-0.013803338459348427,0.418414068888286,-0.011371508537102167,-0.03221083344976439,-0.5725884422492453,-0.004264426729201229,-0.046084557142598084,0.06807084242204237,-0.02284987375553801,-0.03912045282588699,-0.01795517601413473,0.030455270196047275,0.013215164308900438,1.0
Assists,0.24331414197966025,0.5336278116409031,0.5490733671226372,1.0,0.33390583688389325,0.2514245416612523,0.44047301323572935,0.5235581373237729,0.37432284252826814,0.33593062234289606,0.5178556699454584,0.37408848515000626,0.012448342254817928,0.03731345054550491,-0.03482949902067384,0.418414068888286
Blocks,0.1323073350780474,0.31445181573033587,0.3117442135888292,0.2514245416612523,0.15633830811985253,1.0,0.2341005523809192,0.2995584081134398,0.2266513897363398,0.18647339022302134,0.3124807387092255,0.20007783549284164,0.07770894561782757,-0.0029108304939757155,-0.00011733589590507983,-0.03221083344976439
Def Rebounds,0.25086605105490745,0.6103925492927312,0.9273432744680321,0.5235581373237729,0.3284861272239064,0.2995584081134398,0.4593340363466981,1.0,0.4116836362476678,0.4875570980912358,0.5895133980076529,0.43497634809403224,0.04190289669393987,0.018368365473498745,-0.058764247628693825,-0.004264426729201229
Double Doubles,0.04506311282599444,0.37110439086440894,0.5210322372984123,0.33593062234289606,0.15010834728969905,0.18647339022302134,0.21919540100023127,0.4875570980912358,0.39305531857785914,1.0,0.3490480966252026,0.2962954604030613,0.07933597422490543,0.059775833979388994,-0.07122486466164472,0.06807084242204237
Field Goal %,0.20887546210680769,0.36610717768556245,0.009809984860380847,0.012448342254817928,0.033017995733069204,0.07770894561782757,0.015394495462278565,0.04190289669393987,-0.04190254671003071,0.07933597422490543,0.4357392204028974,0.016645469895055227,1.0,-0.050832699261513056,0.3068232230388969,-0.01795517601413473
Field Goals Made,0.46665426714484093,0.963973497600241,0.6367276541514737,0.5178556699454584,0.40431175378387857,0.3124807387092255,0.48922663239326797,0.5895133980076529,0.47119916774266585,0.3490480966252026,1.0,0.4830790267961309,0.4357392204028974,0.0343396341745282,0.08808315074037804,-0.02284987375553801
Free Throw %,0.02485462276283107,0.134896304259986,0.022679060079071754,0.03731345054550491,0.0341084207506697,-0.0029108304939757155,0.020828446640962242,0.018368365473498745,0.019018195957121158,0.059775833979388994,0.0343396341745282,0.37249497739271437,-0.050832699261513056,1.0,-0.01736234173478506,0.030455270196047275
Free Throws Made,0.16015252354973453,0.677698916787347,0.47075359775000525,0.37408848515000626,0.3102621277822435,0.20007783549284164,0.3760046735998762,0.43497634809403224,0.35180119494018247,0.2962954604030613,0.4830790267961309,1.0,0.016645469895055227,0.37249497739271437,-0.07091241993854928,-0.03912045282588699
Off Rebounds,0.13741384734944623,0.48414896176741934,0.707978940188469,0.37432284252826814,0.2730370165144676,0.2266513897363398,0.36905833058790205,0.4116836362476678,1.0,0.39305531857785914,0.47119916774266585,0.35180119494018247,-0.04190254671003071,0.019018195957121158,-0.05608017910726607,-0.046084557142598084
Points,0.49828016264678093,1.0,0.6582398795146737,0.5336278116409031,0.4195143565848052,0.31445181573033587,0.509639467358027,0.6103925492927312,0.48414896176741934,0.37110439086440894,0.963973497600241,0.677698916787347,0.36610717768556245,0.134896304259986,0.10182205936603336,-0.02768084157581187
Rebounds,0.24845013588819123,0.6582398795146737,1.0,0.5490733671226372,0.3607086855705268,0.3117442135888292,0.49275136354892907,0.9273432744680321,0.707978940188469,0.5210322372984123,0.6367276541514737,0.47075359775000525,0.009809984860380847,0.022679060079071754,-0.06753044209921717,-0.013803338459348427
Steals,0.1864785212502883,0.4195143565848052,0.3607086855705268,0.33390583688389325,1.0,0.15633830811985253,0.3195301436532673,0.3284861272239064,0.2730370165144676,0.15010834728969905,0.40431175378387857,0.3102621277822435,0.033017995733069204,0.0341084207506697,-0.02813078166350893,-0.011371508537102167
Three %,0.6808587956609924,0.10182205936603336,-0.06753044209921717,-0.03482949902067384,-0.02813078166350893,-0.00011733589590507983,-0.03769686891045913,-0.058764247628693825,-0.05608017910726607,-0.07122486466164472,0.08808315074037804,-0.07091241993854928,0.3068232230388969,-0.01736234173478506,1.0,0.013215164308900438
Threes,1.0,0.49828016264678093,0.24845013588819123,0.24331414197966025,0.1864785212502883,0.1323073350780474,0.2407197125035489,0.25086605105490745,0.13741384734944623,0.04506311282599444,0.46665426714484093,0.16015252354973453,0.20887546210680769,0.02485462276283107,0.6808587956609924,0.007638474925417632
Turnovers,0.2407197125035489,0.509639467358027,0.49275136354892907,0.44047301323572935,0.3195301436532673,0.2341005523809192,1.0,0.4593340363466981,0.36905833058790205,0.21919540100023127,0.48922663239326797,0.3760046735998762,0.015394495462278565,0.020828446640962242,-0.03769686891045913,-0.5725884422492453
