,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-00,1998-99,1997-98,1996-97,1995-96,1994-95,1993-94,1992-93,1991-92,1990-91,1989-90,1988-89,1987-88,1986-87,1985-86,1984-85
Assist to TO,0.4783061162433859,0.6485081972408422,0.6539037631495763,0.47801538071878735,0.5411795277564818,0.4805109525637948,0.49107330304882546,0.5166434266583917,0.603742615790607,0.563033002478116,0.6156306669447567,0.6216726639086885,0.6174898213188319,0.7087649942496691,0.8117278421221941,0.7578105877266842,0.7701510195404399,0.8936015190198281,0.6770010498859309,0.6681765771818742,0.7473204583090093,0.6175548337454064,0.6017496524758098,0.8307367728850721,0.7565982881443595,0.8247703315128717,0.8090036279563173,0.752576787332389,0.7962439477869043,0.7670955590144887,0.8636635121911738,0.7654513933236667,0.8953081763480392,0.8952665125310564,1.0238288818078123,1.1339061432129494,1.052480152419653,1.173787744169919,0.9740336969773045,0.9094085299478559,0.9205483227667558
Assists,38.22898713843172,39.833841618139246,40.29099262558758,43.86133469404146,49.150704899696976,37.004427307941484,39.296331817890525,35.5361993747151,46.23783058869191,45.507192535861186,41.6811403878433,41.716547597644436,46.29011788343116,49.805940818904986,49.11348065808022,42.9929769155303,43.64307426940356,50.24316180744614,41.80545974690562,43.08262829231395,40.410512361422285,35.451830021231885,921.17236520308,48.21732687854709,44.513488598783105,47.190962620976094,56.77173863655374,42.61239853234924,50.470616312693025,48.16274253006531,50.76521219469241,48.593529120198234,52.61055810662214,58.697047624024776,68.49254993716455,69.16421990781213,68.68253019246384,64.01853662662914,56.293734776757795,58.03776623210473,55.03527465203794
Blocks,2.1257050240804336,2.5813370131146285,2.254447404230761,2.1340315096042644,2.4621463891547672,2.188843207852874,2.494878819544263,2.009223258443539,2.375284622352397,2.9589409780780334,3.068146223011954,2.929340120374199,3.3523296792928368,3.720945086916867,2.9923967643246003,2.970905110500989,3.2795945052621236,3.9409749716374116,4.140921206442029,4.159529685629761,4.25115872347245,4.9947918474983455,112.03067581214162,4.001917407734381,5.16537344347518,4.656177577454182,6.221701054312289,4.834552209168163,4.280688610734227,5.18823471377764,5.1717105990799555,5.542406480580451,5.5846014306466705,5.926028392964963,4.900004862077651,5.70612314717031,5.679883274087809,4.439085458477489,5.082756352431628,6.218635542595961,5.327004750580112
Def Rebounds,27.472796095405613,28.611666631231287,26.205770809013192,29.1567321173137,31.934443291002367,25.033007876752848,29.5877413155069,32.216601060978284,33.1605174112055,29.57801940029837,25.726626732873324,31.068656524340113,29.764487377289587,36.506742838531665,30.36094640996568,30.675529414810697,26.769902623093643,33.68291359944903,32.47296893869196,29.81994378922826,28.297462839879742,29.23514778281882,741.3034186168746,29.305230308718894,35.41707398217763,27.990242224002312,32.290128800213736,30.960886382606205,31.45093045722106,34.34427524569701,36.77524680228078,41.131980111811565,43.85996347428895,38.149829899282835,35.38538570934255,35.38021103720949,31.363051186776083,35.98016994353713,40.29410225885023,35.48112821464934,37.84291651389969
Double Doubles,0.3360495099876079,0.37050991482392337,0.30011879003884945,0.3602517441832752,0.3910347479082741,0.32048956395591277,0.3646321313503683,0.3308564947134497,0.34426558733073415,0.30580163044907854,0.2475313334471052,0.31750486536088113,0.2580509150746508,0.3217707497160517,0.29280706593242284,0.32695496985640377,0.30332353669239226,0.34541150536469284,0.3349812551134902,0.27872941448230765,0.2690674015229269,0.2724946053250245,6.058134802348659,0.26920222197130095,0.3083130382293528,0.28897075378433956,0.34815654825199355,0.3028203626702415,0.29213539879058764,0.336784080093862,0.3273309170111337,0.43148731828009135,0.44139963919681985,0.4215924649196185,0.4212234656810416,0.37057006527500275,0.37889894212987046,0.348665811347959,0.399617064420498,0.33322571633793097,0.36899799905498654
Field Goal %,0.0029799121168740303,0.0029495480172215516,0.003217282913565299,0.00328444890234982,0.003056525273486122,0.0029684089373345265,0.002927971559386814,0.0023078239410279752,0.002260022928870403,0.002199781540029111,0.002178435402026636,0.002445837948263928,0.00217000978532162,0.002237081071880466,0.001965577013124913,0.0020255932079493366,0.0019284106658766027,0.0020225328721321235,0.002258237995247501,0.001812789984704986,0.0017682112070625802,0.0016500216799790197,0.0014482819890920462,0.0016494659411033703,0.0014546961427012168,0.0016334749231461732,0.0018727954623211822,0.0018172160263482218,0.001968342697023273,0.0019803307808060867,0.002225413342395415,0.0019321680396412603,0.0014489936854155106,0.0015124693281434267,0.0018381601381847956,0.0014803734384594629,0.0013179272331346474,0.0014970839571669594,0.001645839937672184,0.0015558737785900355,0.0016599564946639092
Field Goal Attempts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Goals Made,32.37598171262081,36.08746058268912,35.360735169315575,32.587804799715826,38.32438015704094,28.710549564483504,31.3336693885654,25.969464788170402,36.08728388350803,28.920226017533974,21.176076011189178,25.63999109348145,24.304725137127164,30.374995186211244,30.532069866265925,28.479545415297785,30.175928968723543,32.298472813839616,32.58530246880379,41.7581610505433,31.802857105855676,28.84907846710806,988.7903622244304,34.28265572841614,41.65583219823229,37.619520307193156,34.417408812817385,30.252778658062713,32.67367872882571,30.32497198357207,34.16333205788576,34.16973484348815,36.96155349232933,35.52488740820866,40.58789146753001,42.94707398963673,45.67471859164554,49.0253626885011,52.15870468743105,41.67907926351044,48.85162511956458
Free Throw %,0.00909399789363859,0.00784850131900765,0.009780426469439404,0.009259708381715798,0.011155955466819504,0.010727832971238367,0.010225951671647516,0.010544330677973862,0.013022112021293579,0.019512257889870405,0.01407609012509766,0.011233856265354402,0.013516890485462662,0.013978726529102753,0.009830373932247873,0.009197787220447397,0.008723891999448154,0.0093044763412778,0.010678731416656118,0.010451855917555356,0.011900564710375516,0.00960073472214607,0.008065686908067736,0.009106238885887682,0.012170478514982023,0.00905006129214224,0.01128843964769761,0.008140670491353046,0.00972518360128566,0.007751898551186774,0.008575617707643682,0.009219672910037387,0.007308505745780181,0.006487687050435169,0.007037366374209517,0.005431908593529063,0.005903676872528248,0.00642613181658784,0.006168837777067954,0.007191359839891679,0.005269826349877157
Free Throw Attempts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
