Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Def Rebounds,Off Rebounds,Double Doubles,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.07458701735312809,-0.013450559681193111,-0.03884967878895202,0.392495958914604,-0.015012291245700249,-0.045829512451086775,-0.5741966004749365,-0.025983174301953873,-0.06788045082134839,0.11856905555957768,-0.014393774946360386,-0.018287166564051376,-0.021562669919824848,0.017150435942643125,0.030817365863918054,1.0
Assists,0.3252632226510604,0.5585095222986113,0.5454112774437075,1.0,0.3654907937111603,0.27894440124488545,0.4590352789586959,0.5349502840034637,0.3388642735792081,0.3503306510835885,0.5408595395976796,0.38515518885621675,0.046241667114669,0.028069230920158776,-0.0031499005404662566,0.392495958914604
Blocks,0.17224373273483298,0.35737785554133983,0.36642257451990196,0.27894440124488545,0.20238205014685087,1.0,0.28222749902141386,0.3713853113361409,0.21537123833446223,0.18095810339087545,0.3482519678478583,0.24299530173395475,0.04598287042748161,0.005265115552254611,-0.0023112124364288397,-0.045829512451086775
Def Rebounds,0.3230986695011438,0.6371191674577702,0.9469204589579567,0.5349502840034637,0.3733058211961957,0.3713853113361409,0.5004055300410499,1.0,0.43132628336268397,0.4840485806941995,0.6216523201098728,0.43755705551904084,0.050297095710489854,0.010054819259336874,-0.011387143456599722,-0.025983174301953873
Double Doubles,0.15715360783550233,0.38371074476355693,0.5229277475188139,0.3503306510835885,0.20484545437510135,0.18095810339087545,0.22118782051697516,0.4840485806941995,0.40038823489987735,1.0,0.3752949023540349,0.25952433872811315,0.12352466137323832,-0.015950049225506364,0.013782231175357897,0.11856905555957768
Field Goal %,0.22095135087095488,0.3907844012090529,0.03405773208404301,0.046241667114669,0.0343000536626057,0.04598287042748161,0.045886814850635914,0.050297095710489854,0.00041718267328172355,0.12352466137323832,0.448683777074162,0.04439393346080911,1.0,-0.0007020154306042428,0.3678470771608668,-0.021562669919824848
Field Goals Made,0.5597563663042692,0.9698281137596522,0.6583991775923493,0.5408595395976796,0.41575732992654724,0.3482519678478583,0.5022126500024107,0.6216523201098728,0.4664861758603938,0.3752949023540349,1.0,0.485716900227326,0.448683777074162,0.04744025350291711,0.1597292552233481,-0.014393774946360386
Free Throw %,0.07430679873642416,0.12979397148289573,0.007847295897927169,0.028069230920158776,0.021026008749882606,0.005265115552254611,0.030689603547932317,0.010054819259336874,-0.01840541650834929,-0.015950049225506364,0.04744025350291711,0.3468437222321323,-0.0007020154306042428,1.0,0.05018797272967679,0.017150435942643125
Free Throws Made,0.2619889689376934,0.6621068087182036,0.463682344630422,0.38515518885621675,0.3096637226982336,0.24299530173395475,0.3641399636622251,0.43755705551904084,0.3280621882887492,0.25952433872811315,0.485716900227326,1.0,0.04439393346080911,0.3468437222321323,0.009135917645983689,-0.018287166564051376
Off Rebounds,0.1933553923677571,0.474044576586999,0.6801576955000406,0.3388642735792081,0.2788115896090066,0.21537123833446223,0.3556969911564751,0.43132628336268397,1.0,0.40038823489987735,0.4664861758603938,0.3280621882887492,0.00041718267328172355,-0.01840541650834929,-0.030714142136476642,-0.06788045082134839
Points,0.5962637184275597,1.0,0.6739305796845382,0.5585095222986113,0.4301770201614933,0.35737785554133983,0.5157306274203712,0.6371191674577702,0.474044576586999,0.38371074476355693,0.9698281137596522,0.6621068087182036,0.3907844012090529,0.12979397148289573,0.18148868032924176,-0.013450559681193111
Rebounds,0.331490875045131,0.6739305796845382,1.0,0.5454112774437075,0.39523792034376826,0.36642257451990196,0.5215352938317648,0.9469204589579567,0.6801576955000406,0.5229277475188139,0.6583991775923493,0.463682344630422,0.03405773208404301,0.007847295897927169,-0.01810854929207934,-0.03884967878895202
Steals,0.25871218445078464,0.4301770201614933,0.39523792034376826,0.3654907937111603,1.0,0.20238205014685087,0.35535030134877155,0.3733058211961957,0.2788115896090066,0.20484545437510135,0.41575732992654724,0.3096637226982336,0.0343000536626057,0.021026008749882606,-0.0018619213909728354,-0.015012291245700249
Three %,0.6649418642617253,0.18148868032924176,-0.01810854929207934,-0.0031499005404662566,-0.0018619213909728354,-0.0023112124364288397,-0.023800703765771217,-0.011387143456599722,-0.030714142136476642,0.013782231175357897,0.1597292552233481,0.009135917645983689,0.3678470771608668,0.05018797272967679,1.0,0.030817365863918054
Threes,1.0,0.5962637184275597,0.331490875045131,0.3252632226510604,0.25871218445078464,0.17224373273483298,0.2640820077404511,0.3230986695011438,0.1933553923677571,0.15715360783550233,0.5597563663042692,0.2619889689376934,0.22095135087095488,0.07430679873642416,0.6649418642617253,0.07458701735312809
Turnovers,0.2640820077404511,0.5157306274203712,0.5215352938317648,0.4590352789586959,0.35535030134877155,0.28222749902141386,1.0,0.5004055300410499,0.3556969911564751,0.22118782051697516,0.5022126500024107,0.3641399636622251,0.045886814850635914,0.030689603547932317,-0.023800703765771217,-0.5741966004749365
