Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Def Rebounds,Off Rebounds,Double Doubles,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.04131898225384974,-0.018294742641164412,-0.03347676673656683,0.4029122879566315,0.0011935291273700206,-0.030786321684657218,-0.5796751846746607,-0.030886201438168746,-0.042744806682162774,0.08482922272318741,-0.009526172707958632,-0.04381459007046868,-0.01304350669208207,0.004959154473695704,0.008793618225806609,1.0
Assists,0.10934567945472982,0.5405414964465936,0.517150300014667,1.0,0.34260749291087306,0.2434002565436245,0.4266138993436857,0.48339189747151334,0.37133885681514717,0.3539130682056928,0.5292208519426386,0.36774543670733567,0.04886244954828277,0.04533142256545259,-0.06266147071462265,0.4029122879566315
Blocks,0.046613539863014426,0.32151135319466106,0.31577351427019856,0.2434002565436245,0.1757562212261416,1.0,0.2293319070134868,0.30189465233448326,0.21731259788129875,0.15718117588681702,0.31824614347896446,0.20915918943740922,0.0411544747593009,-0.0019940674530210967,-0.04600275203462693,-0.030786321684657218
Def Rebounds,0.07774848646848569,0.5819722821735472,0.9111678647432608,0.48339189747151334,0.3130107555505674,0.30189465233448326,0.452591681107065,1.0,0.41229591881160377,0.4791458233706142,0.5609921351498943,0.42717802385978515,0.06383466591201609,0.03981935466909128,-0.07488477277432572,-0.030886201438168746
Double Doubles,0.04577025782374264,0.3851076048680264,0.5143474219198807,0.3539130682056928,0.19770684247167897,0.15718117588681702,0.23320480735138868,0.4791458233706142,0.38408639932049055,1.0,0.37243600447511405,0.2714264655123815,0.1005305526559611,0.016890028767992008,-0.04464897018413093,0.08482922272318741
Field Goal %,0.04160478341908275,0.38004156188249577,0.03686231308451164,0.04886244954828277,0.02411823336795518,0.0411544747593009,0.04407911526934628,0.06383466591201609,-0.01379115857182078,0.1005305526559611,0.4476141096856887,0.04497524184837952,1.0,0.004098283323230416,0.09158897893565837,-0.01304350669208207
Field Goals Made,0.21007147014118044,0.9661467932150782,0.6365831115340609,0.5292208519426386,0.3937425133435079,0.31824614347896446,0.47518201613817057,0.5609921351498943,0.5155661499534724,0.37243600447511405,1.0,0.4972340029761666,0.4476141096856887,0.0682935435988611,-0.041375731086429654,-0.009526172707958632
Free Throw %,0.009663218514207525,0.15854978115492863,0.04168647744695019,0.04533142256545259,0.030929315963910884,-0.0019940674530210967,0.059033468854276135,0.03981935466909128,0.024206924188000075,0.016890028767992008,0.0682935435988611,0.36047692630389944,0.004098283323230416,1.0,-0.01481541020426695,0.004959154473695704
Free Throws Made,0.09113772095142939,0.6919055396678161,0.48980114060941854,0.36774543670733567,0.2953621102540796,0.20915918943740922,0.37808100592416766,0.42717802385978515,0.40913358481446715,0.2714264655123815,0.4972340029761666,1.0,0.04497524184837952,0.36047692630389944,-0.06680885541141174,-0.04381459007046868
Off Rebounds,0.06050133862557878,0.5421465362686598,0.7373104888507264,0.37133885681514717,0.3047264211158103,0.21731259788129875,0.3553973328136086,0.41229591881160377,1.0,0.38408639932049055,0.5155661499534724,0.40913358481446715,-0.01379115857182078,0.024206924188000075,-0.06800328148567822,-0.042744806682162774
Points,0.23682979638122345,1.0,0.6632975764196902,0.5405414964465936,0.40863439649712335,0.32151135319466106,0.498737736135426,0.5819722821735472,0.5421465362686598,0.3851076048680264,0.9661467932150782,0.6919055396678161,0.38004156188249577,0.15854978115492863,-0.03034113488555912,-0.018294742641164412
Rebounds,0.08266182952649521,0.6632975764196902,1.0,0.517150300014667,0.36463292880867637,0.31577351427019856,0.4842986283352619,0.9111678647432608,0.7373104888507264,0.5143474219198807,0.6365831115340609,0.48980114060941854,0.03686231308451164,0.04168647744695019,-0.08549850606745871,-0.03347676673656683
Steals,0.1123766888424304,0.40863439649712335,0.36463292880867637,0.34260749291087306,1.0,0.1757562212261416,0.30168322844254847,0.3130107555505674,0.3047264211158103,0.19770684247167897,0.3937425133435079,0.2953621102540796,0.02411823336795518,0.030929315963910884,-0.01761600101968513,0.0011935291273700206
Three %,0.7614421034472748,-0.03034113488555912,-0.08549850606745871,-0.06266147071462265,-0.01761600101968513,-0.04600275203462693,-0.06326705524805284,-0.07488477277432572,-0.06800328148567822,-0.04464897018413093,-0.041375731086429654,-0.06680885541141174,0.09158897893565837,-0.01481541020426695,1.0,0.008793618225806609
Threes,1.0,0.23682979638122345,0.08266182952649521,0.10934567945472982,0.1123766888424304,0.046613539863014426,0.0872677272705751,0.07774848646848569,0.06050133862557878,0.04577025782374264,0.21007147014118044,0.09113772095142939,0.04160478341908275,0.009663218514207525,0.7614421034472748,0.04131898225384974
Turnovers,0.0872677272705751,0.498737736135426,0.4842986283352619,0.4266138993436857,0.30168322844254847,0.2293319070134868,1.0,0.452591681107065,0.3553973328136086,0.23320480735138868,0.47518201613817057,0.37808100592416766,0.04407911526934628,0.059033468854276135,-0.06326705524805284,-0.5796751846746607
