Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Def Rebounds,Off Rebounds,Double Doubles,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.044503225627929056,-0.029091260469416833,-0.014447582217190167,0.4110305878095728,-0.0022076795802854162,-0.0523610781220926,-0.580920214494065,-0.007846990810290149,-0.03905199573468277,0.07367696681797953,-0.028746754781521205,-0.03630381923445749,-0.024596369740891095,7.715261775758603e-05,0.03257968523895222,1.0
Assists,0.31411147783686066,0.5448297803409963,0.532847057988381,1.0,0.3790349803934029,0.22606791082758257,0.4310584977306557,0.5127801020415943,0.35455594180001787,0.3088407104236416,0.5293208497971633,0.3916691065375793,0.0151496706014552,0.05968101516218895,-0.023380713261197027,0.4110305878095728
Blocks,0.16318862779700616,0.30168223048103265,0.3201683389005377,0.22606791082758257,0.19406657971655006,1.0,0.2419104418854366,0.3247079552253858,0.1936459735704099,0.1455756621109246,0.29072321561289205,0.21147466318044147,-0.0024635124472258555,0.005125624261764132,-0.02916674085643754,-0.0523610781220926
Def Rebounds,0.3446883921909492,0.6418160564433578,0.9503046243379544,0.5127801020415943,0.36280965608375676,0.3247079552253858,0.4607778746884196,1.0,0.4388002120262185,0.485196583044961,0.623495887954693,0.45206910903188585,0.024282846308934423,0.036067478460879245,-0.027573398304499133,-0.007846990810290149
Double Doubles,0.13902966210604356,0.37442218316211406,0.5122832572504644,0.3088407104236416,0.1884363424230535,0.1455756621109246,0.20775135654633645,0.485196583044961,0.3849265597169572,1.0,0.35804167837460593,0.29014140138174654,0.08735706997043642,0.036743812218779516,0.0011843164793250227,0.07367696681797953
Field Goal %,0.17180435344829512,0.3508347398199941,0.0020950786159523583,0.0151496706014552,0.0004263814483547004,-0.0024635124472258555,0.0230542590131183,0.024282846308934423,-0.039275145847577346,0.08735706997043642,0.40900272633333795,0.02356081237034037,1.0,-0.003781377918388218,0.34191997366532845,-0.024596369740891095
Field Goals Made,0.5386137179145728,0.9692289679404098,0.666951600774859,0.5293208497971633,0.40296183775452815,0.29072321561289205,0.5002331297924381,0.623495887954693,0.49004533462701716,0.35804167837460593,1.0,0.5034524007499099,0.40900272633333795,0.0613844695745502,0.11582139576021687,-0.028746754781521205
Free Throw %,0.05705597783625337,0.1467573065271422,0.03780952647646795,0.05968101516218895,0.0190821745865139,0.005125624261764132,0.06330667442787638,0.036067478460879245,0.028571087863309533,0.036743812218779516,0.0613844695745502,0.3628249227879296,-0.003781377918388218,1.0,0.024222747883421394,7.715261775758603e-05
Free Throws Made,0.24437198785850373,0.6778821873616552,0.48783024332644315,0.3916691065375793,0.31311600753298263,0.21147466318044147,0.38083818782793033,0.45206910903188585,0.36921249413663465,0.29014140138174654,0.5034524007499099,1.0,0.02356081237034037,0.3628249227879296,-0.050560964324222885,-0.03630381923445749
Off Rebounds,0.20446308909009314,0.5040015882261469,0.6818847211271063,0.35455594180001787,0.2800248603003112,0.1936459735704099,0.344678677753809,0.4388002120262185,1.0,0.3849265597169572,0.49004533462701716,0.36921249413663465,-0.039275145847577346,0.028571087863309533,-0.04284647385760118,-0.03905199573468277
Points,0.5801113697106686,1.0,0.6863737937563513,0.5448297803409963,0.41772865020392747,0.30168223048103265,0.5150232830213066,0.6418160564433578,0.5040015882261469,0.37442218316211406,0.9692289679404098,0.6778821873616552,0.3508347398199941,0.1467573065271422,0.1375212249562344,-0.029091260469416833
Rebounds,0.3485155676891737,0.6863737937563513,1.0,0.532847057988381,0.3850546882087769,0.3201683389005377,0.48621068692079433,0.9503046243379544,0.6818847211271063,0.5122832572504644,0.666951600774859,0.48783024332644315,0.0020950786159523583,0.03780952647646795,-0.035738812051442546,-0.014447582217190167
Steals,0.22350057886892324,0.41772865020392747,0.3850546882087769,0.3790349803934029,1.0,0.19406657971655006,0.33326263034691894,0.36280965608375676,0.2800248603003112,0.1884363424230535,0.40296183775452815,0.31311600753298263,0.0004263814483547004,0.0190821745865139,-0.04519411802785973,-0.0022076795802854162
Three %,0.6594717090983943,0.1375212249562344,-0.035738812051442546,-0.023380713261197027,-0.04519411802785973,-0.02916674085643754,-0.035305798806315083,-0.027573398304499133,-0.04284647385760118,0.0011843164793250227,0.11582139576021687,-0.050560964324222885,0.34191997366532845,0.024222747883421394,1.0,0.03257968523895222
Threes,1.0,0.5801113697106686,0.3485155676891737,0.31411147783686066,0.22350057886892324,0.16318862779700616,0.2697299337440116,0.3446883921909492,0.20446308909009314,0.13902966210604356,0.5386137179145728,0.24437198785850373,0.17180435344829512,0.05705597783625337,0.6594717090983943,0.044503225627929056
Turnovers,0.2697299337440116,0.5150232830213066,0.48621068692079433,0.4310584977306557,0.33326263034691894,0.2419104418854366,1.0,0.4607778746884196,0.344678677753809,0.20775135654633645,0.5002331297924381,0.38083818782793033,0.0230542590131183,0.06330667442787638,-0.035305798806315083,-0.580920214494065
