Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Def Rebounds,Off Rebounds,Double Doubles,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.04170499080792137,-0.03170363521762136,-0.06643551987549656,0.3907606655969999,-0.021023731260756084,-0.05479808596035661,-0.5817878277452161,-0.05962975123047429,-0.06946547330660068,0.06081310758265476,-0.028136969030420483,-0.03385447670487808,-0.013976799326425163,0.04823277113750324,0.004614002834906655,1.0
Assists,0.3387555183124883,0.5618328210641684,0.5404495350700683,1.0,0.3837319896623371,0.2600531808287364,0.44749068422842114,0.5288341524338265,0.3572002657055939,0.3388964945172004,0.5456083143124361,0.408509621138536,0.005518318371431079,0.0576656767467027,-0.011969750329591952,0.3907606655969999
Blocks,0.14057080189914692,0.338090119160799,0.33770768890857195,0.2600531808287364,0.21050324739464296,1.0,0.2661615242672216,0.32142206731214257,0.2530457187186989,0.1513250104112171,0.31759791074926547,0.2767753416226388,0.029319154356150273,0.005871497871211159,-0.03882635196693132,-0.05479808596035661
Def Rebounds,0.35196064261454274,0.6590867884199364,0.948528018571964,0.5288341524338265,0.4067824207301338,0.32142206731214257,0.5228716298490487,1.0,0.4633188319037197,0.47553538671943546,0.6385778647837742,0.4834831751876105,0.03480196619249915,0.04144892535143604,-0.02450057197370518,-0.05962975123047429
Double Doubles,0.16701586131411966,0.3875546287473494,0.5030139927649243,0.3388964945172004,0.18929981131697105,0.1513250104112171,0.2512843581968397,0.47553538671943546,0.37940129875608797,1.0,0.38279757866825753,0.26267435047994964,0.10660333430116391,0.027406669798887555,-0.03280895080864237,0.06081310758265476
Field Goal %,0.20821627796258926,0.3377592410097353,0.006887750146339766,0.005518318371431079,0.02688628137132855,0.029319154356150273,0.013006251945522726,0.03480196619249915,-0.05315803967128818,0.10660333430116391,0.4072957254272917,0.002155685717796262,1.0,-0.006249479870706904,0.34377340841917436,-0.013976799326425163
Field Goals Made,0.5497506524240661,0.9657899523190386,0.6767065601241691,0.5456083143124361,0.45187900231207695,0.31759791074926547,0.512938791956354,0.6385778647837742,0.4970933882335714,0.38279757866825753,1.0,0.5199057245322327,0.4072957254272917,0.05578288344208817,0.1129262315652402,-0.028136969030420483
Free Throw %,0.07650619165939689,0.14859806593718394,0.03304986112369637,0.0576656767467027,0.04059959455236497,0.005871497871211159,0.023912909031611845,0.04144892535143604,-0.0017114812020833415,0.027406669798887555,0.05578288344208817,0.3642643465800938,-0.006249479870706904,1.0,0.01907306877534515,0.04823277113750324
Free Throws Made,0.28069766108300503,0.7003494513976122,0.5119605964936034,0.408509621138536,0.348771232435354,0.2767753416226388,0.3967288972079279,0.4834831751876105,0.3714786826986359,0.26267435047994964,0.5199057245322327,1.0,0.002155685717796262,0.3642643465800938,-0.04958329651614856,-0.03385447670487808
Off Rebounds,0.21269738585734177,0.510996873322252,0.7038340247390733,0.3572002657055939,0.28764192801096444,0.2530457187186989,0.3718790029433141,0.4633188319037197,1.0,0.37940129875608797,0.4970933882335714,0.3714786826986359,-0.05315803967128818,-0.0017114812020833415,-0.05371560808887197,-0.06946547330660068
Points,0.5907804048158771,1.0,0.6984670274901817,0.5618328210641684,0.4662955420069619,0.338090119160799,0.5290762495333442,0.6590867884199364,0.510996873322252,0.3875546287473494,0.9657899523190386,0.7003494513976122,0.3377592410097353,0.14859806593718394,0.12695297793821958,-0.03170363521762136
Rebounds,0.35768807053166946,0.6984670274901817,1.0,0.5404495350700683,0.420084087813851,0.33770768890857195,0.5411122327220672,0.948528018571964,0.7038340247390733,0.5030139927649243,0.6767065601241691,0.5119605964936034,0.006887750146339766,0.03304986112369637,-0.03556091734876654,-0.06643551987549656
Steals,0.26154576535937046,0.4662955420069619,0.420084087813851,0.3837319896623371,1.0,0.21050324739464296,0.36321785931522044,0.4067824207301338,0.28764192801096444,0.18929981131697105,0.45187900231207695,0.348771232435354,0.02688628137132855,0.04059959455236497,-0.008435561986665181,-0.021023731260756084
Three %,0.6456418992758822,0.12695297793821958,-0.03556091734876654,-0.011969750329591952,-0.008435561986665181,-0.03882635196693132,-0.014780858700075842,-0.02450057197370518,-0.05371560808887197,-0.03280895080864237,0.1129262315652402,-0.04958329651614856,0.34377340841917436,0.01907306877534515,1.0,0.004614002834906655
Threes,1.0,0.5907804048158771,0.35768807053166946,0.3387555183124883,0.26154576535937046,0.14057080189914692,0.2888456112535056,0.35196064261454274,0.21269738585734177,0.16701586131411966,0.5497506524240661,0.28069766108300503,0.20821627796258926,0.07650619165939689,0.6456418992758822,0.04170499080792137
Turnovers,0.2888456112535056,0.5290762495333442,0.5411122327220672,0.44749068422842114,0.36321785931522044,0.2661615242672216,1.0,0.5228716298490487,0.3718790029433141,0.2512843581968397,0.512938791956354,0.3967288972079279,0.013006251945522726,0.023912909031611845,-0.014780858700075842,-0.5817878277452161
