Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Def Rebounds,Off Rebounds,Double Doubles,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.00370404155787513,-0.03875933830821488,-0.021805811066036566,0.4285851349801942,0.016965111200557704,-0.034433630607650166,-0.5839166730411162,-0.028688743591777064,-0.040212210055968624,0.08705818810584912,-0.030823411472123786,-0.05292149879943983,-0.04612079555637914,-0.007798209807141212,-0.015118950417000229,1.0
Assists,0.18411947012761054,0.5371814460815938,0.5166629746760503,1.0,0.37443642573662766,0.23474915357452728,0.3978110597068457,0.48122507449484103,0.35048609294941896,0.3300193302656052,0.5296974106427216,0.35250303467816174,0.017374505774669043,0.0004824251757060634,-0.039727373960226235,0.4285851349801942
Blocks,0.09837294546453126,0.3149620471112095,0.3023671691964167,0.23474915357452728,0.17541332392387746,1.0,0.24136885074068032,0.30715339891993965,0.19992100300417462,0.14863554382491495,0.3107982601836247,0.21336146063744132,0.04162586797057259,-0.0018622552605249661,0.008815335765431679,-0.034433630607650166
Def Rebounds,0.15524198871827738,0.6216934664442397,0.9131779908419284,0.48122507449484103,0.3489224053252669,0.30715339891993965,0.4673648579330859,1.0,0.427507058811449,0.4805520965538503,0.6039269589238684,0.442270768806532,0.01317868893903087,0.01141724768185225,-0.05822498823033739,-0.028688743591777064
Double Doubles,0.09886127991111192,0.3845889723744359,0.5173892254732182,0.3300193302656052,0.1698612331010545,0.14863554382491495,0.2391774409851267,0.4805520965538503,0.3948476338502086,1.0,0.3705227309366778,0.280627545200373,0.04613545290268771,0.016429388579148666,-0.022325880569800338,0.08705818810584912
Field Goal %,0.10169844728776752,0.34900226965111536,-0.014741720146576575,0.017374505774669043,0.005114578787571401,0.04162586797057259,0.045770941339597804,0.01317868893903087,-0.04156053761532176,0.04613545290268771,0.4071747006954719,0.047414439097422975,1.0,-0.03386080542005181,0.1988200411801914,-0.04612079555637914
Field Goals Made,0.328541361766792,0.9656621759527192,0.6529528744291249,0.5296974106427216,0.41896774218347144,0.3107982601836247,0.5104846090984877,0.6039269589238684,0.5009217568330667,0.3705227309366778,1.0,0.5000929617493618,0.4071747006954719,0.008715530052841688,0.0336876284547951,-0.030823411472123786
Free Throw %,0.024483316059329123,0.09422243184113856,-0.01243233108653714,0.0004824251757060634,0.015046091414037437,-0.0018622552605249661,0.041947932319261944,0.01141724768185225,-0.04203618484238713,0.016429388579148666,0.008715530052841688,0.3088715819347318,-0.03386080542005181,1.0,-0.0038900696179107025,-0.007798209807141212
Free Throws Made,0.15695653803164278,0.6895226184453865,0.4699061928271978,0.35250303467816174,0.30651250845874856,0.21336146063744132,0.3777741703036059,0.442270768806532,0.3574120895129879,0.280627545200373,0.5000929617493618,1.0,0.047414439097422975,0.3088715819347318,-0.02176714406648297,-0.05292149879943983
Off Rebounds,0.11954462159408163,0.5142485782268169,0.732574715370909,0.35048609294941896,0.26327556741147495,0.19992100300417462,0.3253194738425098,0.427507058811449,1.0,0.3948476338502086,0.5009217568330667,0.3574120895129879,-0.04156053761532176,-0.04203618484238713,-0.06480835351942102,-0.040212210055968624
Points,0.3664262371640565,1.0,0.6713670306342238,0.5371814460815938,0.4334703267375093,0.3149620471112095,0.5276332481775363,0.6216934664442397,0.5142485782268169,0.3845889723744359,0.9656621759527192,0.6895226184453865,0.34900226965111536,0.09422243184113856,0.054556630893275074,-0.03875933830821488
Rebounds,0.16519460224257732,0.6713670306342238,1.0,0.5166629746760503,0.37072781470475946,0.3023671691964167,0.4763741728256541,0.9131779908419284,0.732574715370909,0.5173892254732182,0.6529528744291249,0.4699061928271978,-0.014741720146576575,-0.01243233108653714,-0.08143224144068377,-0.021805811066036566
Steals,0.14256050893347205,0.4334703267375093,0.37072781470475946,0.37443642573662766,1.0,0.17541332392387746,0.33533093399928526,0.3489224053252669,0.26327556741147495,0.1698612331010545,0.41896774218347144,0.30651250845874856,0.005114578787571401,0.015046091414037437,-0.020483557783012717,0.016965111200557704
Three %,0.696322381090685,0.054556630893275074,-0.08143224144068377,-0.039727373960226235,-0.020483557783012717,0.008815335765431679,-0.01648760059788838,-0.05822498823033739,-0.06480835351942102,-0.022325880569800338,0.0336876284547951,-0.02176714406648297,0.1988200411801914,-0.0038900696179107025,1.0,-0.015118950417000229
Threes,1.0,0.3664262371640565,0.16519460224257732,0.18411947012761054,0.14256050893347205,0.09837294546453126,0.16510246786074873,0.15524198871827738,0.11954462159408163,0.09886127991111192,0.328541361766792,0.15695653803164278,0.10169844728776752,0.024483316059329123,0.696322381090685,0.00370404155787513
Turnovers,0.16510246786074873,0.5276332481775363,0.4763741728256541,0.3978110597068457,0.33533093399928526,0.24136885074068032,1.0,0.4673648579330859,0.3253194738425098,0.2391774409851267,0.5104846090984877,0.3777741703036059,0.045770941339597804,0.041947932319261944,-0.01648760059788838,-0.5839166730411162
