,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-00,1998-99,1997-98,1996-97,1995-96,1994-95,1993-94,1992-93,1991-92,1990-91,1989-90,1988-89,1987-88,1986-87,1985-86,1984-85
Assist to TO,1.9945306606311153,2.1329290613120993,1.972350328185606,1.9615065270536374,1.9587077902833434,1.7897158619702198,1.8677990875217128,1.7397928391540152,1.7308937364950523,1.6666677181827816,1.667938507960875,1.6579597306670437,1.6878269175684013,1.6498767966604406,1.691164307561967,1.6293375690554768,1.6412725720862253,1.6966794412162312,1.5478951816713922,1.6478961693235172,1.6503359581390855,1.5762803472075297,1.6062053244548882,1.6826352934074689,1.6069309838540295,1.5650497365602636,1.495225234169589,1.5366686204804803,1.5404409421870302,1.6019582532330943,1.595916058329494,1.6769415255587903,1.6648498326850172,1.6664587409568532,1.6962356851607752,1.679411154156137,1.5875747451506812,1.6345699301871175,1.6065983033100886,1.5294616866635402,1.5574674852458712
Assists,10.778048997294256,11.628161285474098,11.299554210462393,11.069137089942155,10.921168013383422,9.644293779593495,10.229864804264247,9.595897876780429,9.457166671743124,9.33939704162859,9.125834731809032,9.655211258394347,9.766151716323341,10.100480805854108,9.672822698083118,9.325581833866437,9.698707795270888,9.99401323141295,9.799609380987091,9.617201781533545,9.529845627074328,9.547585123673931,47.69212316272722,9.834717453308345,9.69009082842129,9.718899863640743,9.766836813471429,9.587935747820827,9.95765625783451,10.686672954220066,10.502800150871177,10.859883135031437,10.896076563973235,10.50299631685089,11.218021269731135,10.958868773785653,10.849087522783176,10.310346899891337,10.50943494304823,10.505752718029074,10.593653842009985
Blocks,1.915492592361153,2.1004766519338633,1.9259599549530901,1.9351891902765106,2.0786500998285056,1.867630955621238,1.99944518772608,1.882506758717755,1.8883570021150011,2.0758084332704323,1.9855676538300635,1.9324357237600946,2.1401963444111614,2.1106440745588455,2.0008336078563334,2.0544809775224886,2.0792822459184728,2.0892198703255036,1.9385902434251807,1.9842671511079362,2.0531424880982616,2.160603026636645,10.49633230220417,2.159371805421376,2.2952057223712745,2.217090495201866,2.3647503137887753,2.2003981882354644,2.1067510365199644,2.1205539871753363,2.2141228565549507,2.2011235265415863,2.2312119027399517,2.441987509017981,2.231682772942014,2.1612935202849726,2.2070811595811595,2.1676298840441053,2.2492968203823467,2.234277110949203,2.0721442205422798
Def Rebounds,12.938491118010322,13.667516378163,13.580769444821218,14.062804817739192,14.438207753255979,13.23281904832439,13.895521725607313,13.265052171205344,13.551585634860425,13.541451472031437,13.069883296690856,13.005267902025185,12.855448188295728,13.329901496686743,13.066138315326347,13.350653390094541,13.403811995159199,13.326619579332093,13.031354695125897,12.981039788077064,12.799678158180622,12.817304186692395,63.52581090005746,12.957343356481616,13.076744326308559,12.965875280220244,13.60052223417608,12.33245966546478,12.631538965231384,12.634878659900197,12.174638147041106,12.479336537705223,12.501798205128903,12.710549302638329,12.559229714927543,12.622934006729775,12.202314920385573,11.5827437033597,11.780255169262269,11.88488561708582,11.425003800999114
Double Doubles,0.5454658787518901,0.5678054649019787,0.5392117437926935,0.5355737793540984,0.5453465575994749,0.5059498917158155,0.5659516470513007,0.4796887947677149,0.48782720207268754,0.5159775006604997,0.47341293040784765,0.5256836416963375,0.5143685049377269,0.51771457684175,0.5238334661623915,0.53015846350897,0.5282749606555999,0.540377434468833,0.5293042181640916,0.4962078562104966,0.5152969361735424,0.49505411570427044,2.2788697824599553,0.5047297706172424,0.5139663191139927,0.499653456204136,0.5184915156069002,0.5174508639639378,0.5511104866164818,0.5762386746654481,0.5521440941018455,0.5981631454970215,0.6037077709560547,0.6113950952105481,0.6251298496263071,0.6215553684143836,0.5971966962184353,0.5504458515135422,0.568418518329509,0.5708403305455588,0.548601253004527
Field Goal %,0.4828408782544351,0.4888510452349708,0.491146107629487,0.4722450944619511,0.4839058246813337,0.4769207643564489,0.47546722936693114,0.4707991750510027,0.4713151186195152,0.4639430868619337,0.46246913653181965,0.4665787239660077,0.46747295311623893,0.46161495953181164,0.4689262616895281,0.47056797196248284,0.4692374212940049,0.4705561232698135,0.4699680766475413,0.4610443865218778,0.4552052274831483,0.4448413699004375,0.45112773059727335,0.45226587581784444,0.4519470278610493,0.4571628195724256,0.44690007078421146,0.4593117827934205,0.463178136775592,0.4709686706449327,0.4708965720258247,0.4724584339032229,0.4804712318281309,0.4813024896789152,0.4842212678480255,0.48639302395241435,0.4855830425602858,0.4888636101273654,0.48854246002181,0.4955132942244318,0.4979830623090572
Field Goal Attempts,35.8676638040247,37.71052831990937,37.17272295004131,36.88718468137068,37.67922817955861,34.0515154155049,35.35516826853506,34.65255282208961,35.133066583090034,34.632378474041836,34.29721470934957,35.14056228874329,34.064855291807525,36.67595621860477,34.92939988344221,35.57753100947315,36.302388138001135,35.45543925721506,35.72940432790514,35.69026461719319,35.2568715063793,35.48097156679638,176.84817170887408,36.0009069788594,35.512256180843266,35.38479360460212,36.39935098733175,35.13000568153399,35.548322324423005,36.32904210848752,35.73889049792209,36.24807104959785,37.49641641057688,37.72273119305215,37.90993951875915,38.208810670025,37.28495075576597,35.09669092992715,35.872815730006046,35.39919221080769,36.25065337597055
Field Goals Made,17.3183742920701,18.434831185550664,18.257238186902093,17.41979201428933,18.23319798558546,16.239874759458,16.810223900442004,16.314393282051086,16.558745444076404,16.067452574617754,15.861403272079318,16.395838712129855,15.924398500738603,16.930170045641734,16.379312910401193,16.741646614560125,17.034438996689726,16.683774045703476,16.791679431747916,16.454796155237318,16.04911221440552,15.783403997172172,79.78111436330128,16.281981725030594,16.049658633572292,16.17661201426824,16.266872532737917,16.135625539128366,16.46520569972443,17.10984066763815,16.82932102347783,17.125706880105753,18.015949381930415,18.156044440704473,18.356798977815522,18.584498963418735,18.104939829695265,17.157495031528548,17.525393644646236,17.540770345261166,18.052211378869977
Free Throw %,0.7940442571959994,0.8006880278787214,0.7953983747014128,0.7880708198032927,0.792684590356314,0.7835395017128147,0.7791856683276569,0.7809833350287401,0.7859307592716913,0.7663822297492913,0.7641044260462884,0.7709244613604116,0.7676644963100978,0.7733613945210062,0.7793790074136794,0.7734001041201404,0.7852954117992919,0.7702538623953537,0.7650700445341544,0.7623997318889247,0.7728418794002643,0.7648721018879945,0.7762655559422479,0.7707911415288823,0.7624521837184512,0.7607430293412475,0.739890472272126,0.7502501019433788,0.7468304459579904,0.7540033264707401,0.7508594177961881,0.7424636716981955,0.7640267732730573,0.7716010745026542,0.7799344354429234,0.7834472402763598,0.7805119061709754,0.7766081649404387,0.7719034428056779,0.7658094490038624,0.7748992845065875
Free Throw Attempts,9.744858850663746,10.1133051865849,11.054513880792484,9.96779338573841,10.110374208595513,9.892308052238858,10.071079670095541,9.303526858342593,10.453504560090108,10.620797142602223,10.156608137021466,10.753167729315415,10.096331123798228,10.879627437351003,11.173562835355742,11.301912287759967,11.814430551065742,11.70503449934699,12.390279464320047,12.28542811463996,11.959344431393806,11.119865827451637,55.80212496963493,10.835216300949105,11.472750425802511,11.387390723489206,12.382314996257302,12.004495472530117,11.647415666872527,12.280455168426297,12.199176422829868,11.618368019296772,12.414271962647836,11.911122767367889,12.37685461680841,12.76461946922473,12.159194534330405,11.835862017535442,12.663259629890906,12.381461004179855,12.214130916846326
