Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Def Rebounds,Off Rebounds,Double Doubles,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.02738365984723731,-0.022411286339945456,-0.0031700398567418024,0.4298540808607646,0.0014193531241506973,-0.020621813853831033,-0.5328816334198091,-0.001134374294547701,-0.026709001729816932,0.10009404769623523,-0.020452549313424065,-0.015177576186457861,-0.0387590115648698,0.009878903193699051,-0.029822819109475717,1.0
Assists,0.32218181555744113,0.5569228941809069,0.5319090813394157,1.0,0.35394583404896574,0.24697000074544093,0.46448671763875693,0.5091540148330564,0.35741593592406234,0.3315942750780816,0.543356210031802,0.4122474509299808,0.02831764921151275,0.06758560201631846,-0.015746052923400228,0.4298540808607646
Blocks,0.15057055809021322,0.31987649099903287,0.3268147408685472,0.24697000074544093,0.1792648293950527,1.0,0.2397476969879503,0.3126004330025741,0.22278417520874313,0.18406042318942822,0.3155070328065271,0.22561027805538592,0.0498201974560863,0.01999226773784111,0.020242762043490643,-0.020621813853831033
Def Rebounds,0.334792086402909,0.6290571388158498,0.9455397837166509,0.5091540148330564,0.3547535408860599,0.3126004330025741,0.4796963051217149,1.0,0.426013063792073,0.4697834917182626,0.6057642279174579,0.4852110371461532,0.025235621713150864,0.05495694142998136,0.0037774752816598436,-0.001134374294547701
Double Doubles,0.11125626981887414,0.362822278400238,0.5086801406381576,0.3315942750780816,0.17240181738760266,0.18406042318942822,0.2159731882805176,0.4697834917182626,0.39365703962877735,1.0,0.34612058254224,0.3032522344261961,0.08291163300185418,0.007152150274010768,-0.014797632664275214,0.10009404769623523
Field Goal %,0.20548569027192232,0.36941501232206636,0.011795115197174518,0.02831764921151275,0.05818390682374163,0.0498201974560863,0.0571436683243089,0.025235621713150864,-0.01976232067306915,0.08291163300185418,0.426681524649762,0.07028252731825116,1.0,0.001600520515710867,0.35586590616313196,-0.0387590115648698
Field Goals Made,0.5496241616795106,0.9696104207599557,0.6528731841188441,0.543356210031802,0.44787056122501606,0.3155070328065271,0.5360160359954919,0.6057642279174579,0.4808225463725276,0.34612058254224,1.0,0.5534066915678758,0.426681524649762,0.0815534866660156,0.14036370637228646,-0.020452549313424065
Free Throw %,0.064472077228972,0.16057342992919912,0.05276576188311463,0.06758560201631846,0.0487845740169047,0.01999226773784111,0.06290575756279859,0.05495694142998136,0.012140953069655848,0.007152150274010768,0.0815534866660156,0.3469150590679293,0.001600520515710867,1.0,-0.000952414365410878,0.009878903193699051
Free Throws Made,0.27837855199803496,0.7206514603399998,0.5179134789522836,0.4122474509299808,0.3454597561103668,0.22561027805538592,0.40833394455864713,0.4852110371461532,0.3701199689013475,0.3032522344261961,0.5534066915678758,1.0,0.07028252731825116,0.3469150590679293,-0.027601568703216697,-0.015177576186457861
Off Rebounds,0.20983299937582972,0.48983527473461524,0.6802222142725859,0.35741593592406234,0.2889350942572866,0.22278417520874313,0.35838497992287127,0.426013063792073,1.0,0.39365703962877735,0.4808225463725276,0.3701199689013475,-0.01976232067306915,0.012140953069655848,-0.020718993294401862,-0.026709001729816932
Points,0.5854030130564024,1.0,0.6746679835738401,0.5569228941809069,0.4619489674500103,0.31987649099903287,0.5506658923786337,0.6290571388158498,0.48983527473461524,0.362822278400238,0.9696104207599557,0.7206514603399998,0.36941501232206636,0.16057342992919912,0.15517714296869795,-0.022411286339945456
Rebounds,0.3402297589309507,0.6746679835738401,1.0,0.5319090813394157,0.38512521057851085,0.3268147408685472,0.5053858883228312,0.9455397837166509,0.6802222142725859,0.5086801406381576,0.6528731841188441,0.5179134789522836,0.011795115197174518,0.05276576188311463,-0.0059021052321987415,-0.0031700398567418024
Steals,0.28327274839439986,0.4619489674500103,0.38512521057851085,0.35394583404896574,1.0,0.1792648293950527,0.346737576082483,0.3547535408860599,0.2889350942572866,0.17240181738760266,0.44787056122501606,0.3454597561103668,0.05818390682374163,0.0487845740169047,0.0490353153273367,0.0014193531241506973
Three %,0.6707757848964928,0.15517714296869795,-0.0059021052321987415,-0.015746052923400228,0.0490353153273367,0.020242762043490643,0.02036094970071826,0.0037774752816598436,-0.020718993294401862,-0.014797632664275214,0.14036370637228646,-0.027601568703216697,0.35586590616313196,-0.000952414365410878,1.0,-0.029822819109475717
Threes,1.0,0.5854030130564024,0.3402297589309507,0.32218181555744113,0.28327274839439986,0.15057055809021322,0.3091153046931874,0.334792086402909,0.20983299937582972,0.11125626981887414,0.5496241616795106,0.27837855199803496,0.20548569027192232,0.064472077228972,0.6707757848964928,0.02738365984723731
Turnovers,0.3091153046931874,0.5506658923786337,0.5053858883228312,0.46448671763875693,0.346737576082483,0.2397476969879503,1.0,0.4796963051217149,0.35838497992287127,0.2159731882805176,0.5360160359954919,0.40833394455864713,0.0571436683243089,0.06290575756279859,0.02036094970071826,-0.5328816334198091
