Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Def Rebounds,Off Rebounds,Double Doubles,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.052156522609522395,-0.015785549972926704,-0.020583802244145712,0.4323693113952232,-0.0025624359978280034,-0.028245275477874136,-0.564008711292966,-0.010091584485933102,-0.057170543623765724,0.07268114859953843,-0.0106209316993816,-0.03380307572860072,-0.01755430386752784,0.023736911085134642,0.021272589106051013,1.0
Assists,0.3216897846758095,0.5488647128391221,0.519952912849455,1.0,0.3634809634189674,0.2161882663744193,0.42407989970379734,0.5035978801899087,0.32685781177512674,0.31897135921964476,0.5343042243180086,0.390944110268755,0.04391371222047398,0.03877279088850604,0.00855198831694999,0.4323693113952232
Blocks,0.1406678257608646,0.29856141443710343,0.312169157179452,0.2161882663744193,0.19914732934596302,1.0,0.21943052286069006,0.3027445258532154,0.19892038645462704,0.15331922882842605,0.2884182279688067,0.21541602748108987,0.013597073393572127,0.017122965739528578,0.004025010955012069,-0.028245275477874136
Def Rebounds,0.3161990706289444,0.6277250804676312,0.9446102900104089,0.5035978801899087,0.37441732657724214,0.3027445258532154,0.46749565417871564,1.0,0.3992455969433993,0.46941391526185455,0.6121963229306352,0.44751276135229334,0.05992993286567268,0.007543748445320466,0.0032796691655214757,-0.010091584485933102
Double Doubles,0.13457598388791916,0.37536291490805385,0.502155659638154,0.31897135921964476,0.18117714475873378,0.15331922882842605,0.24459204618756403,0.46941391526185455,0.36898214410505364,1.0,0.3648530703002009,0.2795906809026298,0.1271932856327174,0.031811893873585746,0.002923610766356339,0.07268114859953843
Field Goal %,0.19995791022467654,0.4053196843640698,0.04478518179342764,0.04391371222047398,0.0453332085294515,0.013597073393572127,0.04185523675976997,0.05992993286567268,0.0011167423959011237,0.1271932856327174,0.46304630810844655,0.07559822778862661,1.0,-0.02530924183613367,0.3329050764501719,-0.01755430386752784
Field Goals Made,0.5268192385538552,0.969846177877601,0.6531057201770504,0.5343042243180086,0.4328582457842928,0.2884182279688067,0.5049765337222383,0.6121963229306352,0.4601576566139143,0.3648530703002009,1.0,0.5207801886866523,0.46304630810844655,0.015352534523250335,0.15309706181065647,-0.0106209316993816
Free Throw %,0.05811428495105255,0.10402675433655172,0.007661337611356517,0.03877279088850604,0.03211192298963448,0.017122965739528578,0.019854854752644313,0.007543748445320466,-0.005697322990765628,0.031811893873585746,0.015352534523250335,0.32227195787951685,-0.02530924183613367,1.0,0.01521361727669537,0.023736911085134642
Free Throws Made,0.23504634578481717,0.6908205067687202,0.47864902711882035,0.390944110268755,0.32356212436560566,0.21541602748108987,0.3904783142956672,0.44751276135229334,0.3403235789978131,0.2795906809026298,0.5207801886866523,1.0,0.07559822778862661,0.32227195787951685,-0.029724044409262518,-0.03380307572860072
Off Rebounds,0.1560871885940696,0.46724906927727544,0.6586871665230487,0.32685781177512674,0.29892872381845953,0.19892038645462704,0.3406371115194963,0.3992455969433993,1.0,0.36898214410505364,0.4601576566139143,0.3403235789978131,0.0011167423959011237,-0.005697322990765628,-0.035070859722985556,-0.057170543623765724
Points,0.5644054057732744,1.0,0.6684844970129736,0.5488647128391221,0.4454177042073567,0.29856141443710343,0.5219867218512411,0.6277250804676312,0.46724906927727544,0.37536291490805385,0.969846177877601,0.6908205067687202,0.4053196843640698,0.10402675433655172,0.16963053341840825,-0.015785549972926704
Rebounds,0.312610216551049,0.6684844970129736,1.0,0.519952912849455,0.403728474972804,0.312169157179452,0.49226083568911005,0.9446102900104089,0.6586871665230487,0.502155659638154,0.6531057201770504,0.47864902711882035,0.04478518179342764,0.007661337611356517,-0.010845579092640355,-0.020583802244145712
Steals,0.2319229772638426,0.4454177042073567,0.403728474972804,0.3634809634189674,1.0,0.19914732934596302,0.3385307086693588,0.37441732657724214,0.29892872381845953,0.18117714475873378,0.4328582457842928,0.32356212436560566,0.0453332085294515,0.03211192298963448,0.011067016108989844,-0.0025624359978280034
Three %,0.6878007638312629,0.16963053341840825,-0.010845579092640355,0.00855198831694999,0.011067016108989844,0.004025010955012069,-0.010791997606825992,0.0032796691655214757,-0.035070859722985556,0.002923610766356339,0.15309706181065647,-0.029724044409262518,0.3329050764501719,0.01521361727669537,1.0,0.021272589106051013
Threes,1.0,0.5644054057732744,0.312610216551049,0.3216897846758095,0.2319229772638426,0.1406678257608646,0.27160309669147115,0.3161990706289444,0.1560871885940696,0.13457598388791916,0.5268192385538552,0.23504634578481717,0.19995791022467654,0.05811428495105255,0.6878007638312629,0.052156522609522395
Turnovers,0.27160309669147115,0.5219867218512411,0.49226083568911005,0.42407989970379734,0.3385307086693588,0.21943052286069006,1.0,0.46749565417871564,0.3406371115194963,0.24459204618756403,0.5049765337222383,0.3904783142956672,0.04185523675976997,0.019854854752644313,-0.010791997606825992,-0.564008711292966
