Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Def Rebounds,Off Rebounds,Double Doubles,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.030844437456043962,-0.010701197666066056,-0.033526801164224254,0.3878564164305317,0.010057934083528583,-0.02353758563525423,-0.572167288615712,-0.026309615818615607,-0.0536383286334938,0.0636636859071422,-0.00546007090012945,-0.02269406448772908,-0.025143352028483747,0.0417084684569286,-0.006701936642004478,1.0
Assists,0.3695611607213776,0.586015034643552,0.5448434196038987,1.0,0.41372457770386845,0.2773738813307041,0.46047870528932716,0.5304514838277296,0.3497173293681419,0.32350554946080673,0.5734707660927151,0.42355472160921603,0.011103603622810217,0.05409605801500719,-0.009555340960967051,0.3878564164305317
Blocks,0.1726097421054574,0.3171136954949288,0.3325943034987091,0.2773738813307041,0.2164480964777406,1.0,0.2591337075884829,0.3325308367539505,0.2013676510893403,0.2012185933562505,0.3082239881778243,0.23488559686787924,-0.008293706092153137,-0.01194422718078762,-0.01180234444330124,-0.02353758563525423
Def Rebounds,0.36625130053957194,0.6397621250227697,0.9513031666192375,0.5304514838277296,0.40010380903424264,0.3325308367539505,0.49386892033115815,1.0,0.43795172516348824,0.4832775367203888,0.6218271560172232,0.47357325969456765,0.008824411497441221,0.013866608545623719,-0.009032302430826646,-0.026309615818615607
Double Doubles,0.15337572603614302,0.3680496589583989,0.514188704138713,0.32350554946080673,0.18198455691099152,0.2012185933562505,0.2403262752749897,0.4832775367203888,0.38005013854100245,1.0,0.3568225277865308,0.2834503955415089,0.07971463865465023,-0.007727160675989688,0.00324886613248627,0.0636636859071422
Field Goal %,0.22287870227908194,0.34979594803354785,-0.005294778286573006,0.011103603622810217,0.029862294835817284,-0.008293706092153137,0.00719716822651766,0.008824411497441221,-0.034278806959866015,0.07971463865465023,0.4009609408335372,0.03888749762379595,1.0,-0.03769019428114291,0.41482726796724306,-0.025143352028483747
Field Goals Made,0.5887554114132622,0.9716378036481813,0.6604919119624798,0.5734707660927151,0.45641664852511993,0.3082239881778243,0.5129495912313343,0.6218271560172232,0.4722903468389296,0.3568225277865308,1.0,0.5310102827324805,0.4009609408335372,0.026241793001982306,0.15592822532943973,-0.00546007090012945
Free Throw %,0.0826323725781972,0.11100639546182428,0.01411897570541493,0.05409605801500719,-0.010371965021261706,-0.01194422718078762,0.01894434514837524,0.013866608545623719,-0.007193382364890049,-0.007727160675989688,0.026241793001982306,0.32829464201030323,-0.03769019428114291,1.0,0.028907823583431243,0.0417084684569286
Free Throws Made,0.28013588390266314,0.6926555492967168,0.5040319368000015,0.42355472160921603,0.34308449355872145,0.23488559686787924,0.40035489684545256,0.47357325969456765,0.36139198132599926,0.2834503955415089,0.5310102827324805,1.0,0.03888749762379595,0.32829464201030323,-0.0265305780191469,-0.02269406448772908
Off Rebounds,0.197418483141574,0.48241216725348285,0.674908337584159,0.3497173293681419,0.2838607798474588,0.2013676510893403,0.3519842465851825,0.43795172516348824,1.0,0.38005013854100245,0.4722903468389296,0.36139198132599926,-0.034278806959866015,-0.007193382364890049,-0.051310761029613364,-0.0536383286334938
Points,0.6260696180938026,1.0,0.6789347369015893,0.586015034643552,0.46607171857432267,0.3171136954949288,0.5296250385663865,0.6397621250227697,0.48241216725348285,0.3680496589583989,0.9716378036481813,0.6926555492967168,0.34979594803354785,0.11100639546182428,0.1754489701367867,-0.010701197666066056
Rebounds,0.36815768267089516,0.6789347369015893,1.0,0.5448434196038987,0.4171581711356229,0.3325943034987091,0.5134828147898902,0.9513031666192375,0.674908337584159,0.514188704138713,0.6604919119624798,0.5040319368000015,-0.005294778286573006,0.01411897570541493,-0.019549582900603005,-0.033526801164224254
Steals,0.25907937087028354,0.46607171857432267,0.4171581711356229,0.41372457770386845,1.0,0.2164480964777406,0.36563188710934014,0.40010380903424264,0.2838607798474588,0.18198455691099152,0.45641664852511993,0.34308449355872145,0.029862294835817284,-0.010371965021261706,-0.022037153809241025,0.010057934083528583
Three %,0.6541596964995837,0.1754489701367867,-0.019549582900603005,-0.009555340960967051,-0.022037153809241025,-0.01180234444330124,0.004900685671649354,-0.009032302430826646,-0.051310761029613364,0.00324886613248627,0.15592822532943973,-0.0265305780191469,0.41482726796724306,0.028907823583431243,1.0,-0.006701936642004478
Threes,1.0,0.6260696180938026,0.36815768267089516,0.3695611607213776,0.25907937087028354,0.1726097421054574,0.32964959349637935,0.36625130053957194,0.197418483141574,0.15337572603614302,0.5887554114132622,0.28013588390266314,0.22287870227908194,0.0826323725781972,0.6541596964995837,0.030844437456043962
Turnovers,0.32964959349637935,0.5296250385663865,0.5134828147898902,0.46047870528932716,0.36563188710934014,0.2591337075884829,1.0,0.49386892033115815,0.3519842465851825,0.2403262752749897,0.5129495912313343,0.40035489684545256,0.00719716822651766,0.01894434514837524,0.004900685671649354,-0.572167288615712
