Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Def Rebounds,Off Rebounds,Double Doubles,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.016289267409391652,-0.020215769207145916,-0.04748499471102851,0.401908908168163,0.017426896126526394,-0.023240152262712945,-0.533858301681298,-0.03936889909440515,-0.05248062312026543,0.04105068548271078,-0.0019060365301963483,-0.061734427714432945,-0.029354584894122373,0.016437375388422343,-0.049859496296909375,1.0
Assists,0.3152801570770412,0.5936698324346158,0.5618587574749566,1.0,0.4323637243714376,0.3068410341898491,0.470112924149625,0.5322662994070506,0.42747617500793644,0.3585656226290964,0.5769020757213582,0.41784079099952826,0.01056529761288692,0.06292444080009792,-0.055308681237687875,0.401908908168163
Blocks,0.17731268130944525,0.38437940359024825,0.38483419733428775,0.3068410341898491,0.27181293911212095,1.0,0.27667639716244447,0.37806636778214237,0.2799356046466689,0.19511344984439022,0.358243479968837,0.3029119037094197,0.057422244222947685,-2.2500027317506604e-06,-0.008412565355291834,-0.023240152262712945
Def Rebounds,0.31070601800814074,0.6419382137025271,0.9459000186115191,0.5322662994070506,0.4275375605724971,0.37806636778214237,0.5158623025812701,1.0,0.47526310439019537,0.4700632488465295,0.6186261115554009,0.4710836402464418,0.027524427546500016,0.048790875928631273,-0.02483572695859489,-0.03936889909440515
Double Doubles,0.08512655886089927,0.4068789189104343,0.5069617639444856,0.3585656226290964,0.24345887122319615,0.19511344984439022,0.28022867398182105,0.4700632488465295,0.42441466964838664,1.0,0.4032943194300265,0.30434124759459147,0.1002487534668539,0.016234459409383818,-0.0563465882930233,0.04105068548271078
Field Goal %,0.17927386549964205,0.3566929245251017,0.010786353586866974,0.01056529761288692,0.01982982214988721,0.057422244222947685,0.035793203511372336,0.027524427546500016,-0.008358519044320032,0.1002487534668539,0.42503691911938046,0.042979068470830196,1.0,0.028173592546145116,0.28585589623735064,-0.029354584894122373
Field Goals Made,0.5046059540708259,0.9647565430758809,0.66891621977655,0.5769020757213582,0.47231533232197415,0.358243479968837,0.5285075079831739,0.6186261115554009,0.5385417409588708,0.4032943194300265,1.0,0.5113246626557227,0.42503691911938046,0.08299742745863356,0.06335592535186843,-0.0019060365301963483
Free Throw %,0.12656681268451828,0.1723183580942914,0.04480193543669637,0.06292444080009792,0.019763758908208535,-2.2500027317506604e-06,0.0782398598965477,0.048790875928631273,0.013769191614208762,0.016234459409383818,0.08299742745863356,0.37149410414522055,0.028173592546145116,1.0,0.05616157673878219,0.016437375388422343
Free Throws Made,0.25693158520515774,0.7035510660292511,0.5053099682600872,0.41784079099952826,0.35114387365082944,0.3029119037094197,0.4180908311086654,0.4710836402464418,0.39532322719861407,0.30434124759459147,0.5113246626557227,1.0,0.042979068470830196,0.37149410414522055,-0.026461748761627,-0.061734427714432945
Off Rebounds,0.21161635468470746,0.5500514877641657,0.7134150170443999,0.42747617500793644,0.3534519608749059,0.2799356046466689,0.42140989153511554,0.47526310439019537,1.0,0.42441466964838664,0.5385417409588708,0.39532322719861407,-0.008358519044320032,0.013769191614208762,-0.08298074526267149,-0.05248062312026543
Points,0.5452368605536971,1.0,0.6924184906861147,0.5936698324346158,0.4867932349926119,0.38437940359024825,0.5523507563798268,0.6419382137025271,0.5500514877641657,0.4068789189104343,0.9647565430758809,0.7035510660292511,0.3566929245251017,0.1723183580942914,0.08264692601498846,-0.020215769207145916
Rebounds,0.3227321861548679,0.6924184906861147,1.0,0.5618587574749566,0.4619359977132527,0.38483419733428775,0.5480778483492131,0.9459000186115191,0.7134150170443999,0.5069617639444856,0.66891621977655,0.5053099682600872,0.010786353586866974,0.04480193543669637,-0.045102758192968065,-0.04748499471102851
Steals,0.27880461137379203,0.4867932349926119,0.4619359977132527,0.4323637243714376,1.0,0.27181293911212095,0.3764408445573175,0.4275375605724971,0.3534519608749059,0.24345887122319615,0.47231533232197415,0.35114387365082944,0.01982982214988721,0.019763758908208535,0.008325347075021989,0.017426896126526394
Three %,0.6360736829877199,0.08264692601498846,-0.045102758192968065,-0.055308681237687875,0.008325347075021989,-0.008412565355291834,-0.02022678154591161,-0.02483572695859489,-0.08298074526267149,-0.0563465882930233,0.06335592535186843,-0.026461748761627,0.28585589623735064,0.05616157673878219,1.0,-0.049859496296909375
Threes,1.0,0.5452368605536971,0.3227321861548679,0.3152801570770412,0.27880461137379203,0.17731268130944525,0.29861185415657465,0.31070601800814074,0.21161635468470746,0.08512655886089927,0.5046059540708259,0.25693158520515774,0.17927386549964205,0.12656681268451828,0.6360736829877199,0.016289267409391652
Turnovers,0.29861185415657465,0.5523507563798268,0.5480778483492131,0.470112924149625,0.3764408445573175,0.27667639716244447,1.0,0.5158623025812701,0.42140989153511554,0.28022867398182105,0.5285075079831739,0.4180908311086654,0.035793203511372336,0.0782398598965477,-0.02022678154591161,-0.533858301681298
