Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Def Rebounds,Off Rebounds,Double Doubles,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.02439174954625116,0.01483238213817482,-0.007059244401675733,0.40700963454782135,0.012541689577550514,-0.04754132315247571,-0.576182620410944,-0.0004674957204579596,-0.03195783866675222,0.10001004695263266,0.010491782300195988,0.01836680896091476,-0.028969881900467672,0.02171695616437062,0.0007083529285971503,1.0
Assists,0.389257057220164,0.5924225427899363,0.5844637408754867,1.0,0.3548346443728099,0.2754792401495653,0.45496654380210527,0.5599920603885556,0.38851840016224426,0.36290594838832874,0.5813958853496815,0.39902543064945684,0.016372232642488566,0.021323231649721847,-0.0012626616491637306,0.40700963454782135
Blocks,0.21707087108500903,0.34190876287166416,0.35535368281522867,0.2754792401495653,0.19227306232641636,1.0,0.27941935373224536,0.3402889601221076,0.25029409326638724,0.19198734755455954,0.33828838808689277,0.231443263617167,0.032345823863839815,-0.026229555649292493,0.0040726785966190395,-0.04754132315247571
Def Rebounds,0.40611945131454835,0.6557629489085087,0.9545158528588362,0.5599920603885556,0.35833326636829077,0.3402889601221076,0.492759899826509,1.0,0.40602069549694203,0.49457009517451017,0.6368494212729606,0.47014797439754413,0.04006496769196521,0.023844812133056007,-0.0034930237588838902,-0.0004674957204579596
Double Doubles,0.21535728529101317,0.3713751343320722,0.526658104231584,0.36290594838832874,0.167096786129613,0.19198734755455954,0.23782029579236752,0.49457009517451017,0.38144107254098925,1.0,0.3559974501662601,0.2924530937178627,0.06771388793490202,0.015070467102237797,0.02791244853564008,0.10001004695263266
Field Goal %,0.2314692508383468,0.3623787929283757,0.022214704492542803,0.016372232642488566,0.02003619795169329,0.032345823863839815,0.015480909643733193,0.04006496769196521,-0.01972863375431533,0.06771388793490202,0.4157888817524633,0.023215071831521772,1.0,-0.037525123844975514,0.47781911280862926,-0.028969881900467672
Field Goals Made,0.6351794486407601,0.9741037799271647,0.6810232223946787,0.5813958853496815,0.41629280865374996,0.33828838808689277,0.4993923545595275,0.6368494212729606,0.48659845163612264,0.3559974501662601,1.0,0.4988302398165133,0.4157888817524633,0.024344334871654102,0.19265804662187824,0.010491782300195988
Free Throw %,0.03221728156657343,0.09994960947430592,0.016912147226170248,0.021323231649721847,0.028731827253669698,-0.026229555649292493,-0.004235383660560971,0.023844812133056007,-0.016109684961252223,0.015070467102237797,0.024344334871654102,0.3395100460400828,-0.037525123844975514,1.0,-0.015430384643737138,0.02171695616437062
Free Throws Made,0.2775715215796318,0.6531632390163029,0.5000619828557256,0.39902543064945684,0.29802426750082606,0.231443263617167,0.33601314325121634,0.47014797439754413,0.34875643999915157,0.2924530937178627,0.4988302398165133,1.0,0.023215071831521772,0.3395100460400828,-0.029654068000721234,0.01836680896091476
Off Rebounds,0.25905533075701687,0.49340904075524195,0.6419058419814575,0.38851840016224426,0.2923223303370235,0.25029409326638724,0.36434488569406714,0.40602069549694203,1.0,0.38144107254098925,0.48659845163612264,0.34875643999915157,-0.01972863375431533,-0.016109684961252223,-0.03176379604000544,-0.03195783866675222
Points,0.6763760697853566,1.0,0.6994616328050789,0.5924225427899363,0.4229721776439286,0.34190876287166416,0.5069314687127936,0.6557629489085087,0.49340904075524195,0.3713751343320722,0.9741037799271647,0.6531632390163029,0.3623787929283757,0.09994960947430592,0.2194535092926433,0.01483238213817482
Rebounds,0.4182410289103395,0.6994616328050789,1.0,0.5844637408754867,0.38841335760733264,0.35535368281522867,0.5213992381207573,0.9545158528588362,0.6419058419814575,0.526658104231584,0.6810232223946787,0.5000619828557256,0.022214704492542803,0.016912147226170248,-0.01457564488072821,-0.007059244401675733
Steals,0.2570487254460083,0.4229721776439286,0.38841335760733264,0.3548346443728099,1.0,0.19227306232641636,0.31532290762607534,0.35833326636829077,0.2923223303370235,0.167096786129613,0.41629280865374996,0.29802426750082606,0.02003619795169329,0.028731827253669698,-0.026493122025422543,0.012541689577550514
Three %,0.632665776225234,0.2194535092926433,-0.01457564488072821,-0.0012626616491637306,-0.026493122025422543,0.0040726785966190395,-0.01313126790599139,-0.0034930237588838902,-0.03176379604000544,0.02791244853564008,0.19265804662187824,-0.029654068000721234,0.47781911280862926,-0.015430384643737138,1.0,0.0007083529285971503
Threes,1.0,0.6763760697853566,0.4182410289103395,0.389257057220164,0.2570487254460083,0.21707087108500903,0.3301731343246413,0.40611945131454835,0.25905533075701687,0.21535728529101317,0.6351794486407601,0.2775715215796318,0.2314692508383468,0.03221728156657343,0.632665776225234,0.02439174954625116
Turnovers,0.3301731343246413,0.5069314687127936,0.5213992381207573,0.45496654380210527,0.31532290762607534,0.27941935373224536,1.0,0.492759899826509,0.36434488569406714,0.23782029579236752,0.4993923545595275,0.33601314325121634,0.015480909643733193,-0.004235383660560971,-0.01313126790599139,-0.576182620410944
