"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Luka Doncic","Dallas Mavericks","Vet",36.5,100,31,9.2,7.6,0.6,0.6,1.3,4.3,23,9.4,9.9,3.5,2,2024-01-19
"Joel Embiid","Philadelphia 76ers","Vet",34.9,99.3,29.2,5.9,8.9,2.1,1.8,1,3.9,21.9,9.4,3.8,5.2,3.1,2024-01-19
"Donovan Mitchell","Cleveland Cavaliers","Vet",35.9,98.2,29.2,6,4.1,0.9,0.4,1.6,3,21.3,6,9.6,4.8,2.2,2024-01-19
"Shai Gilgeous-Alexander","Oklahoma City Thunder","Vet",34.4,100.5,28.9,5.9,4.4,0.8,0.8,1.7,2.2,19.3,9.5,3.8,5.7,2.5,2024-01-19
"De'Aaron Fox","Sacramento Kings","Vet",36,100,27.2,6,3.2,0.7,0.4,1.4,2.4,20.3,6.2,8.4,3.4,2.4,2024-01-19
"Jayson Tatum","Boston Celtics","Vet",34.4,98,25.9,4.5,6.9,0.9,0.5,0.9,2.5,18.7,6.5,8.1,4.3,1.9,2024-01-19
"Kevin Durant","Phoenix Suns","Vet",37.2,98.6,25.9,5.7,6,0.6,1.1,0.8,3.1,17.9,6.5,5,2.3,1.8,2024-01-19
"Jalen Brunson","New York Knicks","Vet",35.4,97.4,25.9,6.5,3.2,0.5,0.2,0.9,2.2,19.1,5.9,7,2.7,2,2024-01-19
"Anthony Edwards","Minnesota Timberwolves","Vet",34.9,96.6,25.8,5.2,4.6,0.7,0.7,1.3,3.1,19.2,6.5,6.6,5.2,1.9,2024-01-19
"Kyrie Irving","Dallas Mavericks","Vet",34,98.9,25.8,5.4,4.2,0.8,0.5,1.2,2,19.6,4.6,7.1,3.3,2,2024-01-19
"Trae Young","Atlanta Hawks","Vet",36.2,100.7,25.6,11.5,2.5,0.5,0.3,1.2,4,19.1,7.4,8.9,2.3,1.8,2024-01-19
"Stephen Curry","Golden State Warriors","Vet",34,100.4,25.3,5.8,3.9,0.5,0.4,0.9,2.9,19.3,4.9,10.8,1.7,1.9,2024-01-19
"Julius Randle","New York Knicks","Vet",35,96.4,25.2,4.5,6.8,1.9,0.3,0.6,2.9,18.4,6.9,5.8,5.3,2.7,2024-01-19
"Anthony Davis","Los Angeles Lakers","Vet",36.1,100.5,25,4.1,9.3,3.2,2.4,1.2,2.3,17.4,7,1.3,6.9,2.5,2024-01-19
"Damian Lillard","Milwaukee Bucks","Vet",34.8,102.7,25,6.6,3.5,0.6,0.2,0.9,2.3,17.7,7.3,8.4,4,1.6,2024-01-19
"Tyrese Maxey","Philadelphia 76ers","Vet",37.1,98.3,25,6.3,3,0.5,0.4,1,2,19.1,5.5,8.2,5.1,2.1,2024-01-19
"Devin Booker","Phoenix Suns","Vet",35.8,98.3,24.8,7.2,3.7,0.7,0.4,0.9,2.6,17.8,6,5.5,2.8,2.9,2024-01-19
"Paul George","Los Angeles Clippers","Vet",35.7,96.7,24.7,3.8,5,0.6,0.4,1.5,2.1,18.6,3.8,9.1,2.4,2.8,2024-01-19
"Lauri Markkanen","Utah Jazz","Vet",32.8,99.8,24.3,2.1,6.4,2.3,0.5,0.7,1.4,16.3,5.9,7.8,3.7,1.9,2024-01-19
"Paolo Banchero","Orlando Magic","Sophomore",35.9,97,24,4.8,6,1.2,0.6,0.9,3.1,19.8,8.1,4.5,5.1,2.1,2024-01-19
"Kawhi Leonard","Los Angeles Clippers","Vet",35.7,96.3,23.8,3.8,5.3,1.1,0.8,1.6,1.7,16.8,4.7,5.3,2.7,1.7,2024-01-19
"Nikola Jokic","Denver Nuggets","Vet",33.9,97,23.7,7.9,8.9,3,0.9,1.2,3,16,5.6,2.2,5.3,2.7,2024-01-19
"LeBron James","Los Angeles Lakers","Vet",34.3,100.3,23.1,7.8,6.3,1,0.7,1.1,3.1,17.3,5.1,5.3,6.3,1.2,2024-01-19
"Kyle Kuzma","Washington Wizards","Vet",32.9,100.7,23.1,4.3,5.8,1,0.5,0.6,2.5,19.7,3.7,7.7,4,1.9,2024-01-19
"Jaylen Brown","Boston Celtics","Vet",32.5,99.9,22.8,3.4,4.3,1,0.5,1,2.4,16.9,4.4,5.5,4.4,2.4,2024-01-19
"LaMelo Ball","Charlotte Hornets","Vet",29.8,100.7,22.4,7.1,4,1,0.2,1.2,3.4,17.9,4.1,9,4,2.7,2024-01-19
"Jaren Jackson Jr.","Memphis Grizzlies","Vet",32.6,99.1,22.1,2.4,5,1.4,1.9,1,2.1,16.6,6.1,6.2,4.3,3.2,2024-01-19
"Terry Rozier","Charlotte Hornets","Vet",33.7,97.5,21.9,5.9,3,0.5,0.3,1.1,2,17.2,3.6,8.3,3.2,1.7,2024-01-19
