"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Joel Embiid","Philadelphia 76ers","Vet",35.2,98.9,31.5,5.8,9,2.5,1.8,1,3.8,23,9.3,2.9,6.3,3,2024-01-25
"Luka Doncic","Dallas Mavericks","Vet",37.1,100.2,31.1,9.4,7.8,0.8,0.6,1.3,4.4,23.1,9.7,10.2,4.1,2.1,2024-01-25
"Shai Gilgeous-Alexander","Oklahoma City Thunder","Vet",34.3,101,29.7,6.4,4.4,0.9,0.8,1.7,2.4,19.9,9.5,3.3,6.2,2.4,2024-01-25
"Giannis Antetokounmpo","Milwaukee Bucks","Vet",34.9,101.9,29.5,7,9.9,2.6,1,1.1,4.1,19,10.3,1.8,8.7,3,2024-01-25
"Devin Booker","Phoenix Suns","Vet",35.8,98.2,27.8,6.5,3.9,0.7,0.4,0.9,2.3,18.9,6.1,6.4,2.8,2.7,2024-01-25
"Donovan Mitchell","Cleveland Cavaliers","Vet",35.2,98.7,27.3,6.2,4.2,0.8,0.4,1.6,2.9,19.8,5.5,8.7,4.4,2.2,2024-01-25
"Jalen Brunson","New York Knicks","Vet",35.7,98.3,27.3,6.5,3.3,0.5,0.2,0.9,2.4,19.8,6.4,7,3,2.1,2024-01-25
"Jayson Tatum","Boston Celtics","Vet",35.8,98.1,26.5,4.6,7.4,0.9,0.6,1,2.5,19.1,7.6,7.9,4.8,1.9,2024-01-25
"De'Aaron Fox","Sacramento Kings","Vet",35.8,100.3,26.2,5.6,3.3,0.7,0.4,1.4,2.3,20.1,6,7.5,3.1,2.3,2024-01-25
"Kevin Durant","Phoenix Suns","Vet",36.4,98.8,26.1,5.3,6,0.5,1.2,0.8,2.6,18.2,6,5.3,2.2,1.9,2024-01-25
"Nikola Jokic","Denver Nuggets","Vet",35.1,96.3,25.9,8.8,9.3,3,0.9,1.2,3.1,17.4,5.9,2.7,5.4,2.7,2024-01-25
"Anthony Edwards","Minnesota Timberwolves","Vet",34.4,97,25.7,5.1,4.3,0.6,0.6,1.2,3.1,18.3,6.5,6.2,5,1.8,2024-01-25
"Damian Lillard","Milwaukee Bucks","Vet",34.5,102.9,25.3,6.5,3.5,0.6,0.2,0.9,2.3,17.7,7.7,8.5,4,1.6,2024-01-25
"Stephen Curry","Golden State Warriors","Vet",33,100,25.2,5.7,3.7,0.4,0.4,0.9,2.7,18.8,4.9,11,1.7,1.9,2024-01-25
"Julius Randle","New York Knicks","Vet",35.3,97.5,24.9,5.3,6.9,2.1,0.3,0.6,3.2,17.9,6.9,5.6,5.8,2.7,2024-01-25
"Tyrese Maxey","Philadelphia 76ers","Vet",37.8,98.1,24.6,6.4,3,0.5,0.4,1,1.9,18.7,5.2,7.8,5.2,2.1,2024-01-25
"Anthony Davis","Los Angeles Lakers","Vet",35.2,100.5,24.5,3.8,9.3,3.1,2.2,1.1,2.2,16.5,6.8,1.2,7,2.3,2024-01-25
"Jamal Murray","Denver Nuggets","Vet",35.2,96,24.2,7.1,3.8,0.7,0.4,1,2.2,19.4,3.9,6.8,3.8,2,2024-01-25
"Kawhi Leonard","Los Angeles Clippers","Vet",35.6,97,23.7,4.2,5.4,1.1,0.8,1.5,1.7,16.6,4.7,4.6,2.9,1.6,2024-01-25
"Lauri Markkanen","Utah Jazz","Vet",32.9,101.4,23.4,2.3,6.2,2.3,0.6,0.7,1.5,16.1,5.6,7.4,3.8,1.8,2024-01-25
"Jaylen Brown","Boston Celtics","Vet",33.4,99.6,23,3.8,4.3,0.9,0.5,1,2.5,17.5,4.5,5.5,4.6,2.4,2024-01-25
"Karl-Anthony Towns","Minnesota Timberwolves","Vet",32.6,97.3,22.8,3.2,6.9,1.4,0.6,0.7,2.5,15.9,5,5.7,4.2,3.1,2024-01-25
"Paolo Banchero","Orlando Magic","Sophomore",34.3,97.6,22.7,4.7,5.8,1,0.5,0.9,3,18.4,7.6,4.2,4.3,1.9,2024-01-25
"Paul George","Los Angeles Clippers","Vet",34.4,97,22.6,3.5,4.8,0.7,0.4,1.4,2,17.2,3.6,8.3,2.7,2.7,2024-01-25
"LaMelo Ball","Charlotte Hornets","Vet",31.1,99.9,22.2,7.5,3.9,1.1,0.2,1.4,3.5,17.4,4.1,8.1,4.2,2.8,2024-01-25
"Mikal Bridges","Brooklyn Nets","Vet",36.2,97.1,22.1,3.9,4.3,0.7,0.5,1,2,17.9,4.9,7.3,3.5,1.6,2024-01-25
"Alperen Sengun","Houston Rockets","Vet",33.4,97.8,22,5.4,6.4,2.9,0.8,1.2,2.8,16.1,6,1.8,6.3,3.2,2024-01-25
"Collin Sexton","Utah Jazz","Vet",28.7,101.5,21.8,5.1,2.1,0.9,0.2,0.8,2.4,15.3,5.4,4.8,4.1,2.3,2024-01-25
"Jaren Jackson Jr.","Memphis Grizzlies","Vet",31.4,99.3,21.5,2.3,4.6,1.3,1.8,1,2.2,16.5,6,5.8,4.3,3.3,2024-01-25
"DeMar DeRozan","Chicago Bulls","Vet",37.3,95.6,21.4,5.2,3.8,0.5,0.5,1,1.7,16.1,5.8,3,3,2.1,2024-01-25
"Dejounte Murray","Atlanta Hawks","Vet",34.4,100.7,21.1,5.3,4.4,0.7,0.3,1.3,2.2,17.4,3.1,6.3,3.9,1.6,2024-01-25
"Zion Williamson","New Orleans Pelicans","Vet",29.7,100.1,20.7,4.9,3.8,1.8,0.4,0.9,2.4,14,6.2,0.4,7.8,2.3,2024-01-25
"Kyle Kuzma","Washington Wizards","Vet",31.6,101.9,20.7,4.7,6,0.9,0.5,0.5,2.4,17,2.7,6.8,3.5,2,2024-01-25
"Miles Bridges","Charlotte Hornets","Vet",35.7,98.2,20.5,3.1,6.2,0.8,0.6,0.9,1.7,16.7,3.2,6.8,4.7,1.9,2024-01-25
"Coby White","Chicago Bulls","Vet",36.8,95.9,20.4,5.4,4.3,0.5,0.3,0.8,2.3,15.2,3.8,6.5,4.3,2.3,2024-01-25
"Victor Wembanyama","San Antonio Spurs","Rookie",26.7,101.3,20.3,3,7,2.1,2.8,0.8,2.7,15.9,5.2,4.4,5.6,2.3,2024-01-25
"Pascal Siakam","Indiana Pacers","Vet",33,98.9,20.3,4.7,5,1.4,0.4,0.8,1.9,14.6,5.1,3,4.1,2.5,2024-01-25
"Bam Adebayo","Miami Heat","Vet",34.4,96.8,20.1,4.6,8,2.3,1,1,2.5,14.7,6.3,0.4,4.3,2.6,2024-01-25
"Domantas Sabonis","Sacramento Kings","Vet",36,98.8,20.1,8,10.6,3.4,0.6,0.9,3.3,13.5,5.3,1.5,6.8,3.1,2024-01-25
"Tyler Herro","Miami Heat","Vet",32.2,97.8,20,3.9,4.6,0.5,0.1,0.8,1.9,16.8,2.2,7.5,1.6,1.4,2024-01-25
"Brandon Ingram","New Orleans Pelicans","Vet",32.9,98.6,19.8,5.8,4.2,0.6,0.4,0.7,2.4,15.1,4.9,3.7,2.6,2.2,2024-01-25
"Scottie Barnes","Toronto Raptors","Vet",35.7,98.9,19.8,5.9,5.8,2.1,1.7,1.2,2.5,15.3,4.2,5,4.1,2.2,2024-01-25
"Jerami Grant","Portland Trail Blazers","Vet",32.9,97.4,19.8,3,3.1,0.7,0.8,0.7,1.8,14.9,5.2,4.8,4,2,2024-01-25
"Jimmy Butler","Miami Heat","Vet",32.9,96.6,19.6,4.6,3.2,1.9,0.3,1.4,1.6,12.7,7.5,2,4.6,1.2,2024-01-25
"D'Angelo Russell","Los Angeles Lakers","Vet",33.6,101.6,19.6,7.1,2.7,0.4,0.5,0.9,2.3,15,2.6,7.1,2.1,2,2024-01-25
"RJ Barrett","Toronto Raptors","Vet",32.3,100.3,19.4,3.2,4.7,0.9,0.4,0.5,1.9,14.4,5.2,3.9,5.8,2.3,2024-01-25
"Anfernee Simons","Portland Trail Blazers","Vet",31.2,97.1,19.3,4.6,2.6,0.4,0.2,0.5,2.2,15.7,3.3,7.4,3.2,1.8,2024-01-25
"CJ McCollum","New Orleans Pelicans","Vet",32,98.9,19.2,4.7,3.5,0.5,0.6,0.9,1.6,14.7,2.1,8.4,1.7,2.1,2024-01-25
"Jalen Williams","Oklahoma City Thunder","Sophomore",31.8,100.9,18.9,4.7,3.5,0.8,0.5,1.2,1.7,13.7,3.2,3.5,4.2,2.4,2024-01-25
"Franz Wagner","Orlando Magic","Vet",30.9,98.8,18.9,3.3,4.1,0.9,0.3,0.9,2,14.8,4.3,4.5,5.4,2.1,2024-01-25
"Jalen Green","Houston Rockets","Vet",31.3,98.3,18.4,3.3,3.7,0.4,0.3,0.7,2.1,15.5,4.4,6.6,3.7,1.3,2024-01-25
"Bojan Bogdanovic","Detroit Pistons","Vet",30.7,100.2,18.3,2.5,2.9,0.6,0.1,0.6,1.8,14.4,3.6,6.7,2.2,2.1,2024-01-25
"Klay Thompson","Golden State Warriors","Vet",30.9,99.3,18.2,2.5,3,0.4,0.4,0.6,1.4,14.7,1.7,9.3,0.7,1.7,2024-01-25
"Bradley Beal","Phoenix Suns","Vet",32.5,98.4,18,4.3,3.2,0.8,0.5,0.8,2,13.7,3.1,3.9,3.6,2.3,2024-01-25
"Terry Rozier","Miami Heat","Vet",30,97.3,17.7,5.2,2.8,0.5,0.2,1,1.7,14.1,3.1,6.6,3,1.6,2024-01-25
"Tobias Harris","Philadelphia 76ers","Vet",33.3,98.3,17.6,3.3,4.7,1,0.5,0.8,1.4,12.9,3.2,3.6,4.1,1.8,2024-01-25
"James Harden","Los Angeles Clippers","Vet",34.5,96.3,17.5,8.5,4.2,0.5,0.7,1.2,2.7,11.7,4.5,6.7,2,2.1,2024-01-25
"Cam Thomas","Brooklyn Nets","Vet",25.5,98.4,17.3,2.4,2.1,0.2,0.2,0.5,1.6,14.1,3.9,4.7,2.1,1.7,2024-01-25
"Myles Turner","Indiana Pacers","Vet",28.3,100.3,17.2,1.4,5.5,1.6,1.9,0.6,1.3,12.2,4.2,4.1,3.3,2.9,2024-01-25
"Jordan Clarkson","Utah Jazz","Vet",27.7,99.1,17.1,4.4,2.4,0.8,0.2,0.6,2.2,14,3.2,5.2,2.1,1.5,2024-01-25
"Fred VanVleet","Houston Rockets","Vet",35.7,97.2,17,7.6,3.4,0.3,0.7,1.4,1.7,13.3,2.7,7.9,1.6,2.2,2024-01-25
"Khris Middleton","Milwaukee Bucks","Vet",28.7,102.1,17,5.3,3.7,0.7,0.3,0.9,2,12.7,2.7,4.9,1.6,2.4,2024-01-25
"Nikola Vucevic","Chicago Bulls","Vet",32.2,96.2,17,3.7,8.2,2.3,0.7,0.7,1.6,14.8,1.6,4.3,3.5,2.2,2024-01-25
"Devin Vassell","San Antonio Spurs","Vet",30.9,101.1,16.8,3.9,3.1,0.3,0.3,1.1,1.4,13.1,2.6,5.8,2.7,1.1,2024-01-25
"Jordan Poole","Washington Wizards","Vet",28.8,103.6,16.7,3.4,2.1,0.4,0.3,0.8,1.8,13.5,3.2,6,2.5,2.7,2024-01-25
"Chet Holmgren","Oklahoma City Thunder","Sophomore",30.2,100.7,16.3,2.9,5.6,1.5,2.4,0.6,1.6,11.8,3.3,4.3,3.5,2.6,2024-01-25
"Tim Hardaway Jr.","Dallas Mavericks","Vet",27.7,100,16.1,1.8,3,0.3,0.1,0.5,0.8,12.9,2.6,7.3,1.5,1.5,2024-01-25
"Michael Porter Jr.","Denver Nuggets","Vet",32.1,96.5,16,1.5,5.7,1.1,0.7,0.6,0.7,12.3,1.2,6.7,2,1.8,2024-01-25
