"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Joel Embiid","Philadelphia 76ers","Vet",34,99.6,29.6,5.5,9,2.2,1.9,1,3.8,21.4,9.4,3.1,5.6,3.1,2024-01-16
"Shai Gilgeous-Alexander","Oklahoma City Thunder","Vet",33.5,100.9,28.3,5.9,4.5,0.8,0.7,1.6,2.2,18.7,9.3,3.8,5.8,2.4,2024-01-16
"Giannis Antetokounmpo","Milwaukee Bucks","Vet",35.2,101.2,28.2,6.6,9.4,2.7,1,1.1,3.8,18.4,10.2,1.7,8.6,3,2024-01-16
"Kyrie Irving","Dallas Mavericks","Vet",36.1,98.9,28,5.6,4.4,0.8,0.5,1.2,2.1,21.2,5.1,8,3.9,2.1,2024-01-16
"Donovan Mitchell","Cleveland Cavaliers","Vet",35.6,98.1,27.5,5.7,3.9,0.9,0.4,1.5,3,20.8,6,9.3,4.7,2.2,2024-01-16
"Trae Young","Atlanta Hawks","Vet",36,102.2,26.7,11.5,2.7,0.5,0.2,1.2,4.1,19.6,7.8,9.4,2.3,1.8,2024-01-16
"De'Aaron Fox","Sacramento Kings","Vet",35.9,99.8,26.4,5.8,3.3,0.7,0.4,1.4,2.5,20.1,6.2,8.1,3.4,2.4,2024-01-16
"Kevin Durant","Phoenix Suns","Vet",36.7,98.1,26,5.9,5.9,0.5,1.1,0.8,3,18.1,6.5,4.7,2.3,1.7,2024-01-16
"Jayson Tatum","Boston Celtics","Vet",35.2,98.8,25.9,4.9,7.4,0.9,0.6,1,2.6,18.6,6.8,8.1,4.5,2,2024-01-16
"Tyrese Maxey","Philadelphia 76ers","Vet",37,98.2,25.8,6.2,3,0.5,0.4,1,1.9,19.4,5.6,8.4,5.3,2.2,2024-01-16
"Anthony Edwards","Minnesota Timberwolves","Vet",35.2,97,25.7,4.9,4.6,0.7,0.7,1.4,3.1,18.4,6.6,6,4.9,1.9,2024-01-16
"Devin Booker","Phoenix Suns","Vet",35.6,97.7,25.5,6.9,3.7,0.7,0.3,0.9,2.6,18.2,6.2,5.7,2.6,2.9,2024-01-16
"Anthony Davis","Los Angeles Lakers","Vet",36.5,100.8,25.1,3.8,9.8,3.1,2.4,1.2,2.4,17.5,7.3,1.4,7,2.6,2024-01-16
"Julius Randle","New York Knicks","Vet",35.9,97.4,25,4.6,7,2,0.3,0.6,3.1,18.7,7.2,5.6,5.5,2.8,2024-01-16
"Damian Lillard","Milwaukee Bucks","Vet",35.9,102.2,24.8,6.7,3.8,0.6,0.3,0.9,2.4,17.4,7.6,8.8,3.9,1.7,2024-01-16
"Kawhi Leonard","Los Angeles Clippers","Vet",34.6,96.3,24.5,3.6,5.2,1.1,0.7,1.5,1.7,17.5,5,5.3,2.8,1.7,2024-01-16
"Stephen Curry","Golden State Warriors","Vet",32.6,100.7,24.5,5.5,3.7,0.4,0.4,0.9,2.7,18.3,4.8,10.5,1.7,1.9,2024-01-16
"Paul George","Los Angeles Clippers","Vet",35.1,96.5,23.9,3.7,4.7,0.7,0.3,1.5,2.1,18.1,3.9,9,2.2,2.8,2024-01-16
"LeBron James","Los Angeles Lakers","Vet",35.2,100.2,23.7,7.8,6.5,1,0.7,1.2,3.3,17.8,5.4,5.1,6.8,1.3,2024-01-16
"Lauri Markkanen","Utah Jazz","Vet",32.4,100,23.7,2.1,6.3,2.3,0.5,0.7,1.4,15.9,5.8,7.8,3.6,2,2024-01-16
"Paolo Banchero","Orlando Magic","Sophomore",35.6,97.1,23.7,4.7,6.1,1.2,0.5,0.9,3.1,19.4,7.5,4.5,5,2.1,2024-01-16
"Nikola Jokic","Denver Nuggets","Vet",33.4,97.5,23.3,9.2,9,2.9,0.9,1.1,3,15.9,5.5,2.3,4.8,2.7,2024-01-16
"Jamal Murray","Denver Nuggets","Vet",32.8,97.1,22.6,6.7,3.2,0.7,0.4,1.1,2.1,17.3,3.6,6.3,3.3,2,2024-01-16
"Terry Rozier","Charlotte Hornets","Vet",34.7,98,22.6,6.1,3.1,0.5,0.3,1.1,2.1,18.2,4,8.2,3.5,1.9,2024-01-16
"Zion Williamson","New Orleans Pelicans","Vet",30.3,99.8,22,4.4,4,1.9,0.4,0.9,2.6,14.3,6.9,0.5,8.8,2.5,2024-01-16
"Mikal Bridges","Brooklyn Nets","Vet",35.5,97.4,21.6,3.6,4.3,0.8,0.5,1,2,17.4,5,6.2,3.6,1.6,2024-01-16
"Pascal Siakam","Toronto Raptors","Vet",34.2,99.7,21.4,4.7,4.8,1.4,0.4,0.9,1.9,15.2,5.8,3.7,4.5,2.5,2024-01-16
"Karl-Anthony Towns","Minnesota Timberwolves","Vet",32.9,97.2,21.2,3.3,7.1,1.6,0.7,0.7,2.5,14.7,4.7,4.9,4.1,3.2,2024-01-16
"Jimmy Butler","Miami Heat","Vet",34.1,97.1,21.1,4.7,3.5,1.9,0.4,1.5,1.8,14.1,8.6,1.8,4.2,1.3,2024-01-16
"Jaren Jackson Jr.","Memphis Grizzlies","Vet",32.1,99.8,21,2.2,4.9,1.4,1.9,1,2,15.9,5.9,6.1,4.2,3.4,2024-01-16
"Alperen Sengun","Houston Rockets","Vet",32.3,97.4,21,4.8,6.1,2.8,0.8,1.2,2.6,15.7,5.7,2,5.5,3.2,2024-01-16
"Kyle Kuzma","Washington Wizards","Vet",30.8,101.3,21,3.8,5.4,0.9,0.5,0.5,2.3,17.7,3.2,7.1,3.6,1.9,2024-01-16
