"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Luka Doncic","Dallas Mavericks","Vet",38.3,100.2,31.5,9.7,8.3,0.7,0.7,1.5,4.3,23.9,9.4,10.4,3.7,2.2,2024-03-01
"Giannis Antetokounmpo","Milwaukee Bucks","Vet",34.8,100,30.6,6.5,9,2.7,0.9,1.1,3.9,18.4,9.8,1.8,8.9,2.9,2024-03-01
"Shai Gilgeous-Alexander","Oklahoma City Thunder","Vet",34.6,100.2,29.1,6.2,4.5,0.8,0.9,1.7,2.5,20.4,9.3,3.9,5.8,2.4,2024-03-01
"Anthony Edwards","Minnesota Timberwolves","Vet",36.3,96.8,28.1,5.2,4.7,0.6,0.6,1.3,3.2,21.5,6.8,7.2,5.9,1.9,2024-03-01
"Devin Booker","Phoenix Suns","Vet",35.9,98.8,26.9,6.3,3.5,0.7,0.4,1,2.5,19.1,6.7,5.7,3,2.8,2024-03-01
"Jayson Tatum","Boston Celtics","Vet",36,97.9,26.7,5.5,7.7,0.8,0.7,1.1,2.7,19.3,6.6,8.3,4.7,1.9,2024-03-01
"Donovan Mitchell","Cleveland Cavaliers","Vet",35.8,97.2,25.9,5.7,4.3,0.8,0.5,1.6,2.9,18.3,5.4,9,4,2.3,2024-03-01
"Kyrie Irving","Dallas Mavericks","Vet",35.4,99.5,25.7,5.1,4.4,0.8,0.6,1.2,1.8,19.8,3.6,7.5,3.5,2,2024-03-01
"Stephen Curry","Golden State Warriors","Vet",32.8,100.6,25.7,5.4,3.7,0.4,0.4,0.9,2.7,19.8,4,11,1.7,1.7,2024-03-01
"Kevin Durant","Phoenix Suns","Vet",37.5,99.6,25.4,5.6,6.4,0.6,1.3,0.9,3,18.7,5.5,5.8,2.3,1.8,2024-03-01
"Tyrese Maxey","Philadelphia 76ers","Vet",37.3,97.8,25.1,6.1,3.2,0.5,0.4,1,2.1,19.7,5.3,8,5.2,2.1,2024-03-01
"Nikola Jokic","Denver Nuggets","Vet",33.8,96.4,24.7,9.6,10,2.6,0.9,1.2,3.2,16.6,5.1,2.6,5,2.5,2024-03-01
"LeBron James","Los Angeles Lakers","Vet",35.3,99.1,24.4,7.9,6.2,1,0.7,1.1,3.1,18.3,4.8,6.6,6.3,1.4,2024-03-01
"Damian Lillard","Milwaukee Bucks","Vet",34.2,100.8,24.3,6.9,4.1,0.6,0.3,0.9,2.6,17.8,6.4,9,3.8,1.7,2024-03-01
"Anthony Davis","Los Angeles Lakers","Vet",34.6,99.7,23.9,3.3,9.2,2.9,2.4,1.1,2,17.1,6.1,1.4,6.4,2.2,2024-03-01
