"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Simone Fontecchio","Utah Jazz","Sophomore",23.1,100.8,8.7,1.4,2.4,0.9,0.3,0.5,0.8,7,0.7,4.6,1.3,1.6,2024-02-05
"Jaren Jackson Jr.","Memphis Grizzlies","Vet",11.9,99.7,8.6,1,1.7,0.5,0.7,0.4,0.9,7,2.4,2.1,1.9,1.2,2024-02-05
"Jalen Smith","Indiana Pacers","Vet",16.2,100.4,8.6,0.9,3.4,1.4,0.7,0.3,0.7,6,1.7,2.4,2.5,2,2024-02-05
"Georges Niang","Cleveland Cavaliers","Vet",19.7,97.4,8.5,1.2,2.7,0.3,0.2,0.3,0.7,6.9,0.7,4.5,0.9,2,2024-02-05
"Caleb Martin","Miami Heat","Vet",22.4,96.2,8.3,1.7,2.9,0.9,0.3,0.7,0.9,6.6,1.2,2.5,1.8,1.7,2024-02-05
"Josh Richardson","Miami Heat","Vet",20.2,95.6,8.2,1.8,1.9,0.3,0.3,0.6,0.6,6.6,0.8,3.9,0.8,1.4,2024-02-05
"Bruce Brown","Toronto Raptors","Vet",20,99.2,8,1.7,2.6,0.7,0.4,0.8,0.8,6.4,1.5,1.6,1.8,1.9,2024-02-05
"David Roddy","Memphis Grizzlies","Sophomore",20.2,99,8,1.6,2.8,0.9,0.2,0.4,1.1,7,1.3,2.6,2.5,1.2,2024-02-05
"Isaac Okoro","Cleveland Cavaliers","Vet",23.2,97.7,7.9,1.5,1.8,0.9,0.3,0.7,0.7,5.7,1.9,2.2,2.6,2,2024-02-05
"Isaiah Hartenstein","New York Knicks","Vet",28.1,97,7.6,2.1,6.1,3.7,1.2,1.1,1.2,4.9,1.8,0.3,3.6,2.9,2024-02-05
"Terance Mann","Los Angeles Clippers","Vet",22.5,95.2,7.6,1.5,1.9,1,0.2,0.5,0.5,5.7,1,2.6,2,1.6,2024-02-05
"Marcus Morris Sr.","Philadelphia 76ers","Vet",19.8,97.3,7.6,0.9,2.5,0.4,0.2,0.4,0.5,6.2,0.9,2.8,0.6,1.6,2024-02-05
"Jabari Walker","Portland Trail Blazers","Sophomore",21,97.3,7.5,0.9,4.1,1.7,0.3,0.5,0.8,5.6,1.5,1.9,2.6,1.9,2024-02-05
"Walker Kessler","Utah Jazz","Sophomore",20.1,98.5,7.4,0.9,4.2,2.3,2,0.4,0.7,4.7,1.5,0.3,3.8,2,2024-02-05
"Aaron Wiggins","Oklahoma City Thunder","Vet",17.3,96.7,7.4,1.2,1.9,0.7,0.2,0.5,0.6,5.4,0.8,2.6,2.1,1.4,2024-02-05
"Obi Toppin","Indiana Pacers","Vet",15.7,102,7.4,1.1,2.1,0.8,0.3,0.4,0.6,5.3,1,2.3,2.2,1.4,2024-02-05
"Shaedon Sharpe","Portland Trail Blazers","Sophomore",15.2,97.8,7.4,1.3,1.7,0.5,0.2,0.4,0.9,6.4,1.5,2.8,1.8,1.2,2024-02-05
"Trey Lyles","Sacramento Kings","Vet",19.4,98.4,7.3,1.2,3.4,0.9,0.3,0.4,0.6,5.3,1,4.1,1,1.4,2024-02-05
"Cole Anthony","Orlando Magic","Vet",14.6,96.6,7.2,2,2,0.5,0.2,0.4,0.9,5.7,1.7,1.9,1.2,1.5,2024-02-05
"Peyton Watson","Denver Nuggets","Sophomore",17.7,95.1,7.2,1.1,2.2,0.6,0.8,0.5,0.6,5.8,1.2,2.4,1.8,1.5,2024-02-05
"Bilal Coulibaly","Washington Wizards","Rookie",23.4,100.6,7.2,1.6,2.7,0.6,0.6,0.7,1,5.6,1.3,2.2,2.2,1.7,2024-02-05
"Paul Reed","Philadelphia 76ers","Vet",17.5,98.2,7.1,1.1,3.3,2.1,0.8,0.9,0.8,5.5,0.9,0.8,2.5,2.1,2024-02-05
"Kelly Olynyk","Utah Jazz","Vet",17.1,98.7,7,3.3,3.2,1,0.3,0.6,1.4,4.6,1.8,1.6,1.4,2.1,2024-02-05
"Royce O'Neale","Brooklyn Nets","Vet",23.4,98.1,7,2.6,3.6,0.7,0.5,0.7,0.8,6,0.4,5,0.7,2.3,2024-02-05
"Isaiah Stewart","Detroit Pistons","Vet",18.6,98.7,7,1.2,3.2,1.2,0.5,0.3,0.8,5.4,1.3,2.5,1.9,1.6,2024-02-05
"Nick Smith Jr.","Charlotte Hornets","Rookie",18,95.8,7,1.3,1.4,0.4,0.2,0.4,0.8,6.4,0.4,3.4,0.7,1.4,2024-02-05
"Al Horford","Boston Celtics","Vet",23.8,97.9,6.9,2.3,4.6,1,0.9,0.5,0.5,5.4,0.2,3.9,0.7,1.4,2024-02-05
"Grant Williams","Dallas Mavericks","Vet",23,99.8,6.9,1.7,2.5,0.9,0.5,0.5,0.8,5.8,0.8,3.7,1.1,2.4,2024-02-05
"Scotty Pippen Jr.","Memphis Grizzlies","Sophomore",15.2,97.9,6.7,2.6,1.7,0.5,0.2,0.6,1.3,5,1.5,1.9,1.6,1.5,2024-02-05
