"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Luka Doncic","Dallas Mavericks","Vet",37.3,100.2,29.5,9.1,8.2,0.8,0.6,1.5,4.5,22.3,10,9.3,3.8,2.4,2024-02-21
"Jalen Brunson","New York Knicks","Vet",36.4,95.3,29.3,6,3.3,0.5,0.3,1,2.8,22.1,7.4,6.3,3.9,2.3,2024-02-21
"Shai Gilgeous-Alexander","Oklahoma City Thunder","Vet",35.5,99.9,28.8,6.1,4.3,0.9,1,1.9,2.8,20.4,10.1,2.7,6,2.8,2024-02-21
"Giannis Antetokounmpo","Milwaukee Bucks","Vet",34.8,100.8,28.4,6.6,8.8,2.6,1,1.3,4.3,18.2,10.5,1.1,9.1,3.3,2024-02-21
"Donovan Mitchell","Cleveland Cavaliers","Vet",35.4,97.3,27.2,6,4.2,0.8,0.5,1.7,3.1,19.6,6.6,8.9,5.1,2.4,2024-02-21
"Jayson Tatum","Boston Celtics","Vet",35.3,97.7,25.9,5,7.4,0.9,0.7,1.1,2.8,18.9,6.7,8.1,4.5,2.1,2024-02-21
"Anthony Edwards","Minnesota Timberwolves","Vet",35.5,96.5,25.7,5.2,4.6,0.6,0.6,1.3,3.4,19,6.7,6.9,5.1,2.2,2024-02-21
"Devin Booker","Phoenix Suns","Vet",35.7,97.8,25.4,5.6,3.5,0.8,0.5,1.1,2.7,19.5,6.9,5.9,3.1,3.3,2024-02-21
"De'Aaron Fox","Sacramento Kings","Vet",35.6,101,24.7,5.5,3.3,0.8,0.4,1.7,2.7,19.6,6.4,7,3.8,2.7,2024-02-21
"Kyrie Irving","Dallas Mavericks","Vet",34.5,99.4,24.5,5.1,4.4,0.8,0.5,1.3,2,18.8,3.8,6.7,3.6,2.3,2024-02-21
"Nikola Jokic","Denver Nuggets","Vet",34.7,96.2,24.3,7.7,8.9,2.8,0.9,1.2,3.4,17.6,6,2.4,5.5,2.8,2024-02-21
"Kevin Durant","Phoenix Suns","Vet",36,100.3,24.3,5,6.2,0.7,1.3,0.9,3.1,17.6,6.5,5,2.3,2.1,2024-02-21
"Zion Williamson","New Orleans Pelicans","Vet",33.4,98.8,23.7,5.3,4.1,2.1,0.6,1,3,16,8,0.1,9.9,2.6,2024-02-21
