"nba_id","Team","Player","Experience","DPM","DPM Improvement","O-DPM","D-DPM","Box DPM","Box O-DPM","Box D-DPM","FGA/100","FG2%","FG3A/100","FG3%","FG3ARate%","RimFGA/100","RimFG%","FTA/100","FT%","FTARate%","USG%","REB/100","AST/100","AST%","BLK/100","BLK%","STL/100","STL%","TOV/100"
203999,"Denver Nuggets","Nikola Jokic","Vet",6.96,1.47,4.85,2.12,4.24,3.52,0.72,24.976,0.658,3.893,0.338,0.17,7.488,0.748,7.671,0.832,0.311,0.282,17.388,12.129,0.393,1.344,0.014,1.824,0.019,4.2
203954,"Philadelphia 76ers","Joel Embiid","Vet",6.15,-0.25,3.84,2.31,4.54,3.33,1.21,30.6,0.512,5.034,0.341,0.194,7.545,0.756,13.565,0.802,0.512,0.348,15.607,7.371,0.261,2.424,0.027,1.406,0.014,5.993
203507,"Milwaukee Bucks","Giannis Antetokounmpo","Vet",6.05,-1.26,4.26,1.79,3.52,3.59,-0.07,25.662,0.634,2.365,0.299,0.149,12.2,0.816,12.785,0.672,0.564,0.33,16.487,9.26,0.329,1.218,0.014,1.522,0.015,5.016
1628369,"Boston Celtics","Jayson Tatum","Vet",6.03,0.75,5.37,0.67,4.47,4.36,0.11,26.925,0.544,11.736,0.368,0.408,6.617,0.71,9.17,0.848,0.336,0.295,11.066,7.023,0.223,0.811,0.009,1.375,0.013,3.521
202695,"Los Angeles Clippers","Kawhi Leonard","Vet",5.76,0.77,4.17,1.59,6.82,5.04,1.78,24.671,0.566,7.133,0.402,0.286,4.899,0.741,6.249,0.876,0.262,0.258,8.96,5.614,0.177,1.118,0.013,2.261,0.022,2.453
1628378,"Cleveland Cavaliers","Donovan Mitchell","Vet",5.28,1.78,4.32,0.96,4.6,3.76,0.84,25.839,0.541,13.045,0.367,0.506,5.733,0.69,7.308,0.839,0.275,0.308,6.903,7.983,0.259,0.678,0.007,2.22,0.021,4.103
201142,"Phoenix Suns","Kevin Durant","Vet",4.67,-0.91,4.42,0.25,4.1,4.46,-0.36,26.417,0.564,7.927,0.397,0.31,3.297,0.773,7.8,0.882,0.306,0.293,9.138,6.972,0.223,1.499,0.017,1.066,0.011,3.825
1641705,"San Antonio Spurs","Victor Wembanyama","Rookie",4.63,NA,1.96,2.67,6.16,2.77,3.39,25.551,0.549,9.398,0.328,0.381,7.97,0.723,7.886,0.797,0.29,0.308,16.627,6.741,0.216,4.947,0.055,1.91,0.019,5.212
1629029,"Dallas Mavericks","Luka Doncic","Vet",4.57,1.44,5.07,-0.5,2.91,4.01,-1.1,30.916,0.58,14.476,0.356,0.478,4.432,0.758,11.526,0.776,0.372,0.345,12.109,13.388,0.45,0.684,0.008,1.805,0.018,5.475
202331,"Los Angeles Clippers","Paul George","Vet",4.51,0.1,2.94,1.57,3.31,1.38,1.93,22.468,0.517,11.202,0.385,0.516,3.483,0.663,5.412,0.873,0.225,0.252,7.621,5.367,0.159,0.672,0.007,2.092,0.023,2.966
2544,"Los Angeles Lakers","LeBron James","Vet",4.22,-0.83,3.66,0.56,1.67,3,-1.33,24.384,0.598,7.527,0.354,0.299,9.138,0.765,6.909,0.748,0.28,0.283,9.826,11.024,0.36,0.86,0.009,1.527,0.015,4.325
1628983,"Oklahoma City Thunder","Shai Gilgeous-Alexander","Vet",4.09,2.49,4.11,-0.01,3.76,3.62,0.14,30.199,0.553,5.392,0.377,0.202,8.245,0.695,12.893,0.884,0.429,0.337,7.694,8.473,0.282,1.419,0.016,2.417,0.024,3.374
201935,"Los Angeles Clippers","James Harden","Vet",4.07,0.47,3.68,0.39,4.54,3.33,1.21,17.409,0.518,10.531,0.368,0.613,2.86,0.637,6.479,0.881,0.373,0.203,7.456,11.582,0.33,1.054,0.012,1.591,0.016,3.754
201939,"Golden State Warriors","Stephen Curry","Vet",3.74,-1.08,4.7,-0.96,2.17,3.97,-1.8,29.002,0.521,16.248,0.397,0.619,2.84,0.665,5.671,0.901,0.205,0.316,6.206,7.966,0.263,0.527,0.006,1.26,0.013,4.208
1630162,"Minnesota Timberwolves","Anthony Edwards","Vet",3.68,1.24,3.39,0.3,2.99,3.46,-0.47,30.153,0.526,9.87,0.361,0.338,8.379,0.681,8.967,0.825,0.303,0.331,7.368,6.788,0.22,0.886,0.01,1.849,0.018,4.11
