"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Luka Doncic","Dallas Mavericks","Vet",37.5,99.2,31.7,10.4,8.6,0.7,0.5,1.4,4.2,24,8.9,11.2,3.4,2.1,2024-03-13
"Shai Gilgeous-Alexander","Oklahoma City Thunder","Vet",34.5,99.8,28.8,6.1,4.7,0.8,1,1.7,2.4,21.7,9.2,3.9,5.9,2.4,2024-03-13
"Giannis Antetokounmpo","Milwaukee Bucks","Vet",34.2,99.2,28.4,6.5,9.3,2.3,0.9,1.1,3.5,18.1,9,1.7,8.6,2.7,2024-03-13
"Anthony Edwards","Minnesota Timberwolves","Vet",35.9,96,28.4,4.9,4.7,0.6,0.6,1.3,3,21.7,6.4,7.1,6,1.8,2024-03-13
"Kevin Durant","Phoenix Suns","Vet",37.5,99.2,27.9,5.4,6.5,0.6,1.2,0.8,3,20.5,6,6.1,2.6,1.7,2024-03-13
"Jayson Tatum","Boston Celtics","Vet",35.4,96.6,26.5,5,7,0.9,0.6,1,2.5,19.2,6.5,8.4,4.7,1.8,2024-03-13
"Devin Booker","Phoenix Suns","Vet",36,99,26.4,6.1,3.5,0.8,0.4,1,2.5,19.7,6.4,6,3,2.8,2024-03-13
"Jalen Brunson","New York Knicks","Vet",32.4,93.9,25.6,6.4,2.8,0.4,0.2,0.8,2.4,19.4,5.6,6.8,3.2,1.8,2024-03-13
"Nikola Jokic","Denver Nuggets","Vet",35.2,96.1,25.5,8.6,9.3,2.9,0.9,1.3,3,17.6,5.4,2.7,5.3,2.5,2024-03-13
"LeBron James","Los Angeles Lakers","Vet",35.8,99.2,25.3,8.2,6.4,0.9,0.6,1.1,3.2,18,5.1,5.6,6.8,1.2,2024-03-13
"De'Aaron Fox","Sacramento Kings","Vet",34.4,99.3,25.1,5.7,3.4,0.8,0.4,1.6,2.4,19.9,5.2,6.7,3.1,2.3,2024-03-13
"Dejounte Murray","Atlanta Hawks","Vet",38.2,98.5,24.8,7.3,5,0.7,0.3,1.5,3,21.1,4.2,7.8,4.6,1.5,2024-03-13
"Kyrie Irving","Dallas Mavericks","Vet",34.1,98.5,24.7,4.4,4,0.7,0.5,1.1,1.5,18.9,3,7.3,2.9,1.9,2024-03-13
"Anthony Davis","Los Angeles Lakers","Vet",35.9,99.4,24.3,3.6,10.2,3.2,2.3,1.2,1.9,16.7,6.6,1.2,6.6,2.2,2024-03-13
"Tyrese Maxey","Philadelphia 76ers","Vet",36,96.8,24.2,5.5,3,0.5,0.4,1,1.9,19.6,5.1,7.9,5.2,2,2024-03-13
"Damian Lillard","Milwaukee Bucks","Vet",34.1,100.5,23.2,6.7,3.7,0.5,0.2,0.9,2.5,16.9,6.1,8.5,3.3,1.6,2024-03-13
"DeMar DeRozan","Chicago Bulls","Vet",37.2,95,22.9,5.2,3.8,0.5,0.5,1,1.8,15.8,7.2,3,3.5,2,2024-03-13
"Anfernee Simons","Portland Trail Blazers","Vet",36.2,95.5,22.8,5.8,3.1,0.4,0.1,0.6,2.6,18.6,3.3,8.9,3,2.1,2024-03-13
"Jamal Murray","Denver Nuggets","Vet",34.6,95.1,22.6,6.9,3.6,0.7,0.5,1,2.3,17.4,3.4,6,3.4,1.8,2024-03-13
"Kawhi Leonard","Los Angeles Clippers","Vet",33.8,95.8,22.5,3.8,4.9,1.2,0.8,1.5,1.7,16.6,4.2,4.8,3.3,1.5,2024-03-13
"Paolo Banchero","Orlando Magic","Sophomore",34.7,95.4,22.4,5.3,5.7,1,0.5,0.9,2.9,17.5,6.7,4.7,4.8,1.9,2024-03-13
"Zion Williamson","New Orleans Pelicans","Vet",32,98,22.2,5.9,4.1,1.9,0.7,0.9,2.7,15.3,6.7,0.5,8.1,2.1,2024-03-13
"Cade Cunningham","Detroit Pistons","Vet",32.4,99.2,22.1,7.9,3.9,0.5,0.4,0.9,3.1,17.7,4,6,3.6,2.3,2024-03-13
"Kyle Kuzma","Washington Wizards","Vet",32.8,100.7,22,4,5.8,0.9,0.6,0.6,2.6,18.1,3.5,6.1,4.3,2.1,2024-03-13
"Jimmy Butler","Miami Heat","Vet",35.6,94.8,21.7,5.4,3.8,1.8,0.4,1.6,1.9,14.4,8,2.8,5,1.2,2024-03-13
"Miles Bridges","Charlotte Hornets","Vet",37.5,96.1,21.7,3.7,6.5,1,0.6,0.9,1.9,18,3.1,7.1,5.1,1.8,2024-03-13
"Cam Thomas","Brooklyn Nets","Vet",31.8,96.8,21.5,3.2,2.8,0.4,0.2,0.8,2,17,4.3,6.4,2.8,2,2024-03-13
