"nba_id","Team","Player","Experience","DPM","DPM Improvement","O-DPM","D-DPM","Box DPM","Box O-DPM","Box D-DPM","FGA/100","FG2%","FG3A/100","FG3%","FG3ARate%","RimFGA/100","RimFG%","FTA/100","FT%","FTARate%","USG%","REB/100","AST/100","AST%","BLK/100","BLK%","STL/100","STL%","TOV/100"
203999,"Denver Nuggets","Nikola Jokic","Vet",6.8,1.27,4.78,2.03,3.82,3.25,0.57,24.468,0.644,3.873,0.33,0.172,7.318,0.74,7.526,0.821,0.313,0.284,18.533,14.091,0.448,1.322,0.014,1.742,0.018,4.727
203507,"Milwaukee Bucks","Giannis Antetokounmpo","Vet",6.58,-0.85,4.26,2.32,5.29,4,1.29,25.4,0.636,2.449,0.297,0.135,12.281,0.811,13.542,0.647,0.569,0.339,16.121,8.95,0.305,1.251,0.014,1.578,0.016,5.359
203954,"Philadelphia 76ers","Joel Embiid","Vet",6.31,-0.09,3.81,2.5,4.6,3.34,1.26,30.688,0.532,4.956,0.343,0.183,7.822,0.752,14.386,0.809,0.562,0.345,15.736,7.476,0.27,2.539,0.028,1.464,0.015,5.584
1628369,"Boston Celtics","Jayson Tatum","Vet",5.85,0.57,5.19,0.66,3.68,3.99,-0.31,26.345,0.541,11.355,0.366,0.426,6.411,0.71,9.034,0.844,0.342,0.294,11.652,7.481,0.24,0.933,0.011,1.437,0.014,3.672
202695,"Los Angeles Clippers","Kawhi Leonard","Vet",5.52,0.55,4.08,1.44,7.25,5,2.25,24.128,0.566,7.349,0.413,0.301,4.879,0.743,6.138,0.873,0.258,0.26,8.953,5.4,0.181,1.115,0.012,2.27,0.023,2.604
1628378,"Cleveland Cavaliers","Donovan Mitchell","Vet",5.17,1.67,4.28,0.9,4.6,3.76,0.84,25.248,0.547,12.41,0.372,0.495,5.545,0.687,7.468,0.854,0.268,0.298,6.941,7.842,0.245,0.679,0.007,2.197,0.022,3.966
201142,"Phoenix Suns","Kevin Durant","Vet",4.8,-0.78,4.5,0.3,3.34,3.84,-0.5,24.095,0.571,7.462,0.398,0.311,2.915,0.77,7.008,0.887,0.31,0.277,8.976,7.148,0.223,1.675,0.018,1.146,0.012,3.919
1629029,"Dallas Mavericks","Luka Doncic","Vet",4.56,1.43,5.11,-0.55,3.81,4.28,-0.47,29.947,0.563,12.975,0.359,0.448,4.572,0.758,11.745,0.758,0.383,0.336,11.199,12.135,0.443,0.828,0.009,1.877,0.019,5.405
202331,"Los Angeles Clippers","Paul George","Vet",4.38,-0.03,2.82,1.56,2.59,1.19,1.4,23.772,0.503,11.769,0.38,0.5,3.451,0.656,4.787,0.863,0.196,0.26,7.828,5.411,0.163,0.568,0.006,2.197,0.025,3.071
201935,"Los Angeles Clippers","James Harden","Vet",4.23,0.53,3.59,0.64,4.78,3.52,1.26,16.751,0.504,9.83,0.367,0.605,2.736,0.634,6.544,0.878,0.396,0.195,7.587,11.325,0.309,1.004,0.011,1.688,0.017,3.651
2544,"Los Angeles Lakers","LeBron James","Vet",4.19,-0.86,3.49,0.7,1.63,2.9,-1.27,25.132,0.574,9.016,0.352,0.341,8.646,0.741,6.584,0.745,0.253,0.285,9.855,10.87,0.344,0.981,0.01,1.534,0.015,4.218
1641705,"San Antonio Spurs","Victor Wembanyama","Rookie",4.15,NA,1.69,2.46,5.97,2.58,3.39,26.37,0.543,8.835,0.326,0.35,7.382,0.731,8.643,0.812,0.307,0.327,16.744,6.276,0.215,4.948,0.058,1.967,0.02,5.355
