"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Luka Doncic","Dallas Mavericks","Vet",37.9,100.4,32.2,9.5,8.2,0.7,0.6,1.4,4.1,23.6,9.9,10.4,3.8,2,2024-02-12
"Jalen Brunson","New York Knicks","Vet",36,96.2,29.8,6.2,3.2,0.5,0.2,0.9,2.4,21.7,6.8,6.3,3.8,2,2024-02-12
"Giannis Antetokounmpo","Milwaukee Bucks","Vet",33.9,101.6,28.9,6.5,9.6,2.4,1,1.2,3.8,17.8,9.6,1.7,8.9,2.9,2024-02-12
"Shai Gilgeous-Alexander","Oklahoma City Thunder","Vet",34.7,99.4,28.5,6.2,4.2,0.9,0.9,1.8,2.6,19.2,9.1,3.5,5.8,2.3,2024-02-12
"Donovan Mitchell","Cleveland Cavaliers","Vet",34.9,97.4,28.2,6.4,4.1,0.8,0.5,1.6,2.9,19.8,5.2,9.6,4.3,2,2024-02-12
"Devin Booker","Phoenix Suns","Vet",35.8,98.7,27.9,6.1,3.7,0.6,0.4,1,2.3,19.6,6.3,6.5,2.7,2.8,2024-02-12
"Stephen Curry","Golden State Warriors","Vet",33.1,100.8,27.9,5.1,4,0.4,0.4,0.9,2.6,20.1,4.3,11.4,1.8,1.8,2024-02-12
"Jayson Tatum","Boston Celtics","Vet",35.6,98.2,26.6,5.3,7.4,0.8,0.7,1,2.6,19.2,6.3,8.4,4.3,1.9,2024-02-12
"Nikola Jokic","Denver Nuggets","Vet",34.6,96.5,26.4,8.2,9,2.9,0.9,1.2,3.1,17.6,5.5,2.7,5.1,2.5,2024-02-12
"Trae Young","Atlanta Hawks","Vet",36.5,102.5,26.3,11.5,2.5,0.4,0.3,1.3,3.9,18.7,7.1,9,2.4,1.8,2024-02-12
"Anthony Edwards","Minnesota Timberwolves","Vet",35.7,95.5,25.9,5.4,4.3,0.5,0.6,1.2,3.1,19.1,6,7.1,4.5,1.9,2024-02-12
"Kyrie Irving","Dallas Mavericks","Vet",34.5,99.3,25.6,5.8,4.2,0.7,0.5,1.2,1.9,19.2,3.7,7,3.5,2,2024-02-12
"Kevin Durant","Phoenix Suns","Vet",36.2,99.7,25.4,5.4,6.3,0.5,1.3,0.8,2.7,18.2,4.8,5.6,2,1.7,2024-02-12
