"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Tyrese Maxey","Philadelphia 76ers","Vet",36.4,97.7,25.1,6,3.1,0.4,0.4,1,1.9,19.8,5.4,8.1,5.6,2,2024-02-12
"Jaren Jackson Jr.","Memphis Grizzlies","Vet",32.7,98.6,25,2.9,4.4,1.3,1.7,1.1,2.6,19,6.5,6.5,5,3.4,2024-02-12
"Damian Lillard","Milwaukee Bucks","Vet",34.8,102,24.5,6.7,3.5,0.5,0.3,0.9,2.5,17.5,7.2,8.3,3.8,1.6,2024-02-12
"Lauri Markkanen","Utah Jazz","Vet",34,100.2,24.4,2.4,6.4,2.2,0.4,0.8,1.5,17,5,8.4,3.5,1.8,2024-02-12
"Anthony Davis","Los Angeles Lakers","Vet",35.6,101.3,24.3,4.1,9.4,3,2.4,1.2,2.2,17.6,6.6,1.5,7.1,2.3,2024-02-12
"LeBron James","Los Angeles Lakers","Vet",36.2,100.6,24.1,8,6.5,1,0.7,1.2,3.1,18.2,5.3,5.3,6.9,1.4,2024-02-12
"Kawhi Leonard","Los Angeles Clippers","Vet",33.8,97,24,4,4.9,1.1,0.8,1.5,1.7,16.8,4.4,5.5,3.2,1.5,2024-02-12
"De'Aaron Fox","Sacramento Kings","Vet",34.5,101,23.8,5.2,3,0.7,0.4,1.5,2.3,18.3,5.3,7.1,3.2,2.3,2024-02-12
"DeMar DeRozan","Chicago Bulls","Vet",38.5,95.2,22.9,5.3,3.7,0.5,0.6,1.1,1.8,16.5,6.6,3,3.1,2.1,2024-02-12
"Karl-Anthony Towns","Minnesota Timberwolves","Vet",32.8,95.8,22.7,3.1,6.6,1.4,0.7,0.7,2.5,16,4.5,6.2,4.6,3,2024-02-12
"Kyle Kuzma","Washington Wizards","Vet",33.5,101.7,22.2,4.4,5.7,0.9,0.7,0.6,2.3,18.3,2.8,7.3,3.4,2.2,2024-02-12
"Paolo Banchero","Orlando Magic","Sophomore",35.1,97.1,22.1,5.6,5.8,1,0.5,1,2.9,17.2,7.3,4.6,4.4,1.9,2024-02-12
"Pascal Siakam","Indiana Pacers","Vet",34,99.3,22,4.8,5,1.6,0.4,0.9,2,15.7,5,3.9,5.1,2.4,2024-02-12
"Collin Sexton","Utah Jazz","Vet",29.2,100.7,22,5.9,2,0.9,0.2,0.8,2.8,16,5.6,5.3,4.1,2.2,2024-02-12
"Dejounte Murray","Atlanta Hawks","Vet",35.9,101.1,22,5.5,4.7,0.6,0.2,1.4,2.3,17.7,3.7,6.6,4.2,1.6,2024-02-12
"Brandon Ingram","New Orleans Pelicans","Vet",34.2,96.6,21.8,6.2,4.5,0.7,0.6,0.7,2.5,16.9,5,3.9,2.9,2.2,2024-02-12
"Jerami Grant","Portland Trail Blazers","Vet",35.2,96.3,21.7,3.2,3.3,0.8,0.7,0.7,2.2,16.7,6.7,4.7,4.6,2.2,2024-02-12
"Franz Wagner","Orlando Magic","Vet",34.1,97,21.6,4.3,4.2,1,0.4,1,2.2,16.6,4.5,6.1,5.4,2.2,2024-02-12
"Miles Bridges","Charlotte Hornets","Vet",36.2,98.1,21.6,3.8,5.8,0.9,0.6,0.9,1.9,17.3,3.2,6.8,5.4,1.8,2024-02-12
"Cam Thomas","Brooklyn Nets","Vet",31.1,98.2,21.3,3,2.7,0.4,0.2,0.7,2,17,4.5,5.9,2.6,1.9,2024-02-12
"Jalen Green","Houston Rockets","Vet",33.3,99.1,21.2,4.3,4.7,0.5,0.3,0.8,2.5,17.6,4.9,7.2,4.6,1.3,2024-02-12
"Cade Cunningham","Detroit Pistons","Vet",33.2,99.3,21,7.6,3.7,0.4,0.4,1,3.2,17,4.1,4.5,4.3,2.4,2024-02-12
"Coby White","Chicago Bulls","Vet",37.9,95.3,20.9,5.7,4.3,0.5,0.2,0.8,2.5,16.3,3.8,7.5,3.9,2.1,2024-02-12
"Victor Wembanyama","San Antonio Spurs","Rookie",27.8,100.7,20.8,3.3,7.4,1.9,2.7,0.9,3.1,15.9,4.9,5.2,4.6,2.1,2024-02-12
"Jamal Murray","Denver Nuggets","Vet",32.6,96.2,20.8,6.4,3.3,0.6,0.5,1,2.1,16.5,3,6.5,3,1.8,2024-02-12
"Kristaps Porzingis","Boston Celtics","Vet",30.2,99.9,20.7,2.2,5.8,1.5,1.6,0.7,1.6,13.8,5.7,5.2,3.6,2.8,2024-02-12
"Paul George","Los Angeles Clippers","Vet",32,97.4,20.6,3.5,4.4,0.6,0.4,1.4,1.9,16,3.3,7.9,2.3,2.5,2024-02-12
"Mikal Bridges","Brooklyn Nets","Vet",35,97.8,20.5,3.6,3.8,0.6,0.4,1,1.7,16.1,3.6,8.1,2.8,1.3,2024-02-12
"Jaylen Brown","Boston Celtics","Vet",32.9,99.2,20.2,3.7,4.5,1.2,0.5,1,2.3,15.5,3.7,4.8,4.2,2.3,2024-02-12
"Devin Vassell","San Antonio Spurs","Vet",33.3,99.7,20.1,4,3.5,0.3,0.3,1.1,1.6,15.9,3.2,6.9,3,1,2024-02-12
"D'Angelo Russell","Los Angeles Lakers","Vet",34.2,102.1,19.9,6.4,2.5,0.4,0.5,1,2.1,15.5,2.7,8,2.1,2,2024-02-12
"Jaden Ivey","Detroit Pistons","Sophomore",33.5,99.6,19.9,4.9,3,1.2,0.5,0.8,2.8,15.4,4.5,5.7,4.2,3,2024-02-12
"Scottie Barnes","Toronto Raptors","Vet",35,98,19.7,6.3,5.3,2.1,1.3,1.1,2.6,15,4.4,4.3,4.6,2,2024-02-12
"RJ Barrett","Toronto Raptors","Vet",33.6,97.9,19.7,3.4,4.7,1,0.4,0.6,2,14.4,5.2,3.9,6.3,2.2,2024-02-12
"Jonathan Kuminga","Golden State Warriors","Vet",31.4,99.8,19.2,2.7,4.1,1.4,0.5,0.9,2.1,13.9,4.6,2.5,5.6,2.5,2024-02-12
"Domantas Sabonis","Sacramento Kings","Vet",36,99.5,19.1,8.3,9.9,3.3,0.5,0.9,3.2,12.5,4.5,1.7,6.5,3,2024-02-12
"Nikola Vucevic","Chicago Bulls","Vet",35.3,96,19.1,3.7,8.4,2.4,0.9,0.8,1.5,16.4,1.6,4.7,3.5,2.3,2024-02-12
"Jordan Clarkson","Utah Jazz","Vet",31.6,98.6,18.9,5.1,2.6,0.9,0.1,0.7,2.5,15.8,3.4,6.3,2.2,1.5,2024-02-12
"Jalen Williams","Oklahoma City Thunder","Sophomore",32.3,99.8,18.8,5,3.6,0.7,0.5,1.2,1.8,14.6,2.9,4,4.1,2.3,2024-02-12
"CJ McCollum","New Orleans Pelicans","Vet",32,97.2,18.7,4.6,3.5,0.5,0.6,0.9,1.5,14.5,2,8.2,1.5,2,2024-02-12
"Bradley Beal","Phoenix Suns","Vet",32.3,99.4,18.5,4.7,3.2,0.8,0.3,0.9,2.1,14.2,2.8,4.7,3.2,2.2,2024-02-12
"Tyrese Haliburton","Indiana Pacers","Vet",29.4,101.6,18.4,8.9,2.8,0.5,0.6,1.2,2,13.9,3,7,2.4,1,2024-02-12
"Donte DiVincenzo","New York Knicks","Vet",33,96.5,18.4,3.5,3.3,0.9,0.4,1.5,1.6,14.5,1.9,9.7,2.8,2.2,2024-02-12
"Tyler Herro","Miami Heat","Vet",31.1,97,18.4,4.1,4.2,0.4,0.2,0.7,1.8,15.4,1.7,7.7,1.3,1.2,2024-02-12
"Brandon Miller","Charlotte Hornets","Rookie",31.7,97.5,18.3,2.4,3.4,0.7,0.5,0.8,1.7,15,2.4,7,2.3,2.4,2024-02-12
"Tobias Harris","Philadelphia 76ers","Vet",33.6,97.3,18.1,3.5,5,1,0.5,0.9,1.6,13.9,3.1,3.4,4,1.6,2024-02-12
"Bam Adebayo","Miami Heat","Vet",32.7,96.2,17.9,3.8,7.9,2.2,0.9,1,2.2,13.8,5.3,0.3,4.1,2.4,2024-02-12
"James Harden","Los Angeles Clippers","Vet",34.2,96.7,17.2,8.2,4.7,0.5,0.7,1.2,2.6,11.3,4.1,6.8,1.8,1.9,2024-02-12
"Myles Turner","Indiana Pacers","Vet",28,100,17,1.6,5.6,1.5,1.6,0.6,1.4,12.3,4.1,4.2,3.5,3.1,2024-02-12
"Kelly Oubre Jr.","Philadelphia 76ers","Vet",33.6,98.3,17,1.7,3.9,1.3,0.6,1.2,1.2,13.5,3.7,5.2,5,2.9,2024-02-12
"Immanuel Quickley","Toronto Raptors","Vet",31.1,97.3,16.9,4.9,3,0.4,0.1,0.8,1.5,13.1,3.2,6.2,1.5,1.7,2024-02-12
"Austin Reaves","Los Angeles Lakers","Vet",32.4,100.6,16.6,5.6,2.9,0.6,0.2,0.8,1.9,11.8,3.6,5.3,2.5,1.9,2024-02-12
"John Collins","Utah Jazz","Vet",29.4,99.9,16.6,1.6,6.3,2.2,0.9,0.6,1.4,12.6,3,3.5,4.9,2.7,2024-02-12
"Jalen Johnson","Atlanta Hawks","Vet",35.6,102.2,16.3,3.8,7.4,1.3,0.9,1.3,1.9,12.7,2.7,3.8,5,2.6,2024-02-12
"Klay Thompson","Golden State Warriors","Vet",29.9,100.5,16.3,2.3,2.9,0.3,0.5,0.6,1.2,13.6,1.5,8,1,1.7,2024-02-12
"Jarrett Allen","Cleveland Cavaliers","Vet",31,97.3,16,2.5,7.4,3.4,1.3,0.7,1.7,11,4,0.4,6.2,2.1,2024-02-12
"Jordan Poole","Washington Wizards","Vet",29.7,103.2,15.9,3.9,2.2,0.4,0.4,0.9,1.9,13.2,2.6,6.3,2.2,2.9,2024-02-12
"Darius Garland","Cleveland Cavaliers","Vet",29.2,96.6,15.8,5.8,1.9,0.3,0.1,1.1,2.4,12.4,2.9,4.8,2.6,1.4,2024-02-12
"Terry Rozier","Miami Heat","Vet",29.1,97.3,15.6,5.3,2.9,0.5,0.3,0.9,1.5,13.3,2.5,5.6,2.6,1.6,2024-02-12
"Saddiq Bey","Atlanta Hawks","Vet",33.7,101.4,15.5,1.8,4.1,2.2,0.2,0.9,0.9,11.6,3.3,6.1,3.5,1.6,2024-02-12
"Chet Holmgren","Oklahoma City Thunder","Sophomore",29,99.3,15.3,2.5,5.6,1.4,2.4,0.6,1.4,11,2.8,4.5,3.4,2.2,2024-02-12
"Bogdan Bogdanovic","Atlanta Hawks","Vet",27.6,101,15.2,2.7,2.6,0.5,0.3,1,1,12.3,1.5,6.9,1.7,2,2024-02-12
"Dillon Brooks","Houston Rockets","Vet",32,98.1,15.2,2,2.7,0.6,0.2,0.9,1.4,12,2.3,5.7,2.5,3.3,2024-02-12
"Tim Hardaway Jr.","Dallas Mavericks","Vet",26.5,100.5,15.1,1.6,2.8,0.3,0.1,0.5,0.7,11.7,2.2,7.2,1.3,1.4,2024-02-12
"Deandre Ayton","Portland Trail Blazers","Vet",31.7,95.3,15.1,1.9,7.2,2.8,0.9,0.7,1.6,12.3,1.7,0.3,4,2.3,2024-02-12
"Bennedict Mathurin","Indiana Pacers","Sophomore",25.7,101,14.8,1.9,2.9,0.9,0.3,0.6,1.6,11,4.1,3.2,3.5,1.8,2024-02-12
"Keyonte George","Utah Jazz","Rookie",29,98.8,14.8,5.1,2.8,0.3,0.1,0.7,2.1,12,3.5,6.3,1.5,1.3,2024-02-12
"Deni Avdija","Washington Wizards","Vet",30.8,103.2,14.7,4,6.4,1,0.5,0.9,2.1,10.9,3.4,3.2,4,2.7,2024-02-12
"Bojan Bogdanovic","New York Knicks","Vet",26,98.1,14.5,2,2.4,0.4,0.2,0.5,1.3,10.8,2.7,5.7,1.3,1.7,2024-02-12
"Keldon Johnson","San Antonio Spurs","Vet",25.5,100.2,14.5,2.2,3.4,1,0.3,0.6,1.3,11.4,3,4.6,3.6,1.9,2024-02-12
"Evan Mobley","Cleveland Cavaliers","Vet",28,97.6,14.3,2.6,6.4,2.2,1.2,0.7,1.7,10.5,2.5,1.6,4.9,2.3,2024-02-12
"Buddy Hield","Philadelphia 76ers","Vet",31.2,98.2,14.3,3.3,3.3,0.7,0.5,1,1.5,11.5,1.1,7.7,2,2.1,2024-02-12
"Aaron Nesmith","Indiana Pacers","Vet",31.1,99.6,14.3,2,3.4,1.1,0.6,1.1,1.1,10.3,2.2,5.4,2.9,3.3,2024-02-12
"Jalen Duren","Detroit Pistons","Sophomore",30.8,99.2,14.1,2.5,8.5,3.4,0.8,0.6,1.8,9.9,2.6,0.3,5.8,3,2024-02-12
"Malik Monk","Sacramento Kings","Vet",23.4,100,14,4.6,2.3,0.3,0.4,0.6,1.8,11,2.6,5.4,2.3,1.7,2024-02-12
"Derrick White","Boston Celtics","Vet",31.6,99.8,13.9,4.3,3,0.6,1.1,0.9,1.3,10.8,1.8,6.5,1.4,2.1,2024-02-12
"Keegan Murray","Sacramento Kings","Sophomore",30.9,100,13.9,1.9,4.1,1,0.6,0.9,0.7,10.8,1.2,5.5,2.1,2.3,2024-02-12
"Jabari Smith Jr.","Houston Rockets","Sophomore",32.5,97.4,13.9,1.6,6,1.9,0.8,0.7,1.2,11.4,2,4.9,2.3,2.4,2024-02-12
"Rudy Gobert","Minnesota Timberwolves","Vet",34.2,94.5,13.8,1.7,9,3.7,1.7,0.7,1.5,8,5.1,0.4,6.2,2.8,2024-02-12
"Tyus Jones","Washington Wizards","Vet",30.5,102.3,13.6,7.1,2.6,0.3,0.3,1.2,1.4,11.2,0.9,4.7,1.3,0.9,2024-02-12
"Brook Lopez","Milwaukee Bucks","Vet",31.1,102.1,13.5,1.8,4.2,1.6,2.4,0.6,0.9,10,1.5,5.1,2.9,2.4,2024-02-12
"Jonas Valanciunas","New Orleans Pelicans","Vet",24.4,96.3,13.4,2.1,7.4,2.7,0.8,0.4,1.5,9.5,2.8,1.3,3.9,2.7,2024-02-12
"Vince Williams Jr.","Memphis Grizzlies","Sophomore",32.7,98.8,13.4,3.8,5,1.4,0.6,1.1,2,9.9,2.8,5.4,2.7,2.7,2024-02-12
"GG Jackson","Memphis Grizzlies","Rookie",24.8,98.7,13.4,1.4,3.2,1.1,0.7,0.7,1.1,10.6,2.6,5.6,3.3,1.5,2024-02-12
"Jrue Holiday","Boston Celtics","Vet",31.7,97.7,13.2,4.7,3.8,1.1,0.5,1,1.7,9.9,1.1,5,1.8,1.5,2024-02-12
"Aaron Gordon","Denver Nuggets","Vet",30.9,96.4,13.1,2.8,3.8,2.3,0.7,0.7,1.2,8.9,3.3,2,5.5,1.9,2024-02-12
"Ayo Dosunmu","Chicago Bulls","Vet",32.5,95.6,12.8,3,2.5,0.6,0.5,1,1.3,10,1.3,4.8,3.3,2.4,2024-02-12
"Trey Murphy III","New Orleans Pelicans","Vet",27.2,96.5,12.7,1.6,2.9,0.5,0.4,0.8,0.5,10,1.7,7.1,1.5,1.4,2024-02-12
"Corey Kispert","Washington Wizards","Vet",24.1,100.6,12.7,1.9,2.4,0.3,0.2,0.4,1,9.7,1.6,6,2.1,1.4,2024-02-12
"Gary Trent Jr.","Toronto Raptors","Vet",27.1,97.4,12.5,1.5,2,0.2,0.1,1.1,0.6,10.2,0.8,6.2,0.9,1.2,2024-02-12
"Andrew Wiggins","Golden State Warriors","Vet",26.7,99.7,12.4,2,2.9,1.3,0.6,0.7,1.1,9.8,2,3.2,2.6,2.1,2024-02-12
"Bobby Portis","Milwaukee Bucks","Vet",23.1,100.1,12.4,1.1,5.4,1.7,0.3,0.6,0.8,10,1.4,3.4,2.3,2,2024-02-12
"Harrison Barnes","Sacramento Kings","Vet",27.9,100.9,12.4,1.3,2.2,0.7,0.2,0.6,0.7,9,2.3,5.2,1.7,1,2024-02-12
"Onyeka Okongwu","Atlanta Hawks","Vet",29.4,101.6,12.3,1.6,4.9,3,1.5,0.7,0.9,7.8,2.2,1.4,4.9,2.9,2024-02-12
"Santi Aldama","Memphis Grizzlies","Vet",28.6,97.3,12.2,2.5,5.1,1.2,0.6,0.7,1.1,10.2,1.3,5.6,2.3,1.6,2024-02-12
"Nicolas Claxton","Brooklyn Nets","Vet",29,97.1,12,1.8,7.6,2.7,2.2,0.7,1.2,8.8,2.7,0.4,5.5,2.3,2024-02-12
"Caris LeVert","Cleveland Cavaliers","Vet",22.8,97,11.9,3.7,2.4,0.5,0.3,0.8,1.4,9.6,2.1,4.1,2.3,1.5,2024-02-12
"P.J. Washington","Dallas Mavericks","Vet",24.9,99.6,11.9,1.8,3.5,0.9,0.6,0.7,1.1,9.7,1.9,4.6,2.6,2.1,2024-02-12
"Jeremy Sochan","San Antonio Spurs","Sophomore",28.7,99.7,11.8,3.2,4.1,1.8,0.5,0.7,1.5,9.8,1.8,3.2,3.4,2.1,2024-02-12
"Norman Powell","Los Angeles Clippers","Vet",22.3,98.9,11.7,1,2.2,0.2,0.3,0.6,0.7,8.6,1.9,4.6,1.4,1.5,2024-02-12
"Amen Thompson","Houston Rockets","Rookie",28.8,101.3,11.6,3.7,5.4,2.2,0.7,1.3,2.3,9,2.9,1.5,4.8,3,2024-02-12
"Malik Beasley","Milwaukee Bucks","Vet",28.8,101.9,11.5,1.6,2.9,0.6,0.1,0.7,0.7,8.9,0.4,7.1,0.5,1.8,2024-02-12
"Alec Burks","New York Knicks","Vet",19.8,98.9,11.5,1.6,2.2,0.3,0.2,0.6,0.7,8.8,2.5,5.4,0.7,1.4,2024-02-12
"Naz Reid","Minnesota Timberwolves","Vet",21.2,96.5,11.5,1.2,3.6,0.9,0.8,0.6,1.1,8.8,1.5,4.5,2.4,2,2024-02-12
"Jalen Suggs","Orlando Magic","Vet",26.3,98,11.4,2.4,2.4,0.6,0.5,1.2,1.4,9.2,1.5,5.4,1.8,2.4,2024-02-12
"Herbert Jones","New Orleans Pelicans","Vet",29.1,96.9,11.3,2.5,2.4,1.1,0.7,1.2,1,8.2,1.7,4.2,2.8,2.5,2024-02-12
"Tre Jones","San Antonio Spurs","Vet",27.7,100.4,11.2,6,2.5,0.7,0.2,1.1,1.5,8.3,1.8,2.5,3,1.2,2024-02-12
"Rui Hachimura","Los Angeles Lakers","Vet",25.3,100.2,11.2,1.2,3.2,0.8,0.3,0.6,0.7,8.2,1.5,3.1,2.6,1.4,2024-02-12
"Jakob Poeltl","Toronto Raptors","Vet",27.9,97.2,11.1,2.4,5.9,3.1,1.5,0.7,1.4,7.6,2,0.3,4.2,3,2024-02-12
"Wendell Carter Jr.","Orlando Magic","Vet",25.4,96.7,11.1,1.6,4.8,1.8,0.5,0.5,1.1,7.6,2.2,3,2.6,2.1,2024-02-12
"Josh Giddey","Oklahoma City Thunder","Vet",23.6,99.4,11.1,4.1,4.6,1.1,0.5,0.6,1.6,9.1,1.3,3.5,2.7,1.3,2024-02-12
"Jusuf Nurkic","Phoenix Suns","Vet",25.6,99.9,11,3.3,7,2.7,0.8,0.9,1.8,7.9,2.9,1.2,4.4,2.9,2024-02-12
"Jaden McDaniels","Minnesota Timberwolves","Vet",29.5,95.9,11,1.6,2.4,0.9,0.6,0.8,1.1,8.7,0.9,3.8,2.1,2.8,2024-02-12
"Andrew Nembhard","Indiana Pacers","Sophomore",27,98.4,11,5.2,1.7,0.6,0.2,0.9,1.7,9,1.1,2.7,2,2.1,2024-02-12
"Max Strus","Cleveland Cavaliers","Vet",29.3,97.5,10.8,3.2,3.4,0.7,0.3,0.7,1.1,9,1,6,2.1,2.1,2024-02-12
"Kevin Huerter","Sacramento Kings","Vet",24.8,99.9,10.7,2.4,2.7,0.6,0.4,0.7,0.8,8.6,0.7,5.5,1.6,2,2024-02-12
"Dennis Schroder","Brooklyn Nets","Vet",24.1,96.5,10.7,4.9,1.9,0.3,0.2,0.7,1.4,8.4,2.2,3.5,1.6,1.8,2024-02-12
"Russell Westbrook","Los Angeles Clippers","Vet",20,100.1,10.7,4.1,3.1,1.1,0.3,0.8,1.8,8.6,2.1,2.3,3.7,1.5,2024-02-12
"Grayson Allen","Phoenix Suns","Vet",30.9,99.4,10.6,2.8,3,0.6,0.4,0.8,1,7.2,1.3,4.8,1.6,1.8,2024-02-12
"Luguentz Dort","Oklahoma City Thunder","Vet",27.6,99.3,10.6,1.5,2.7,1.1,0.5,0.8,0.7,8.1,1.7,5.4,1.7,2.7,2024-02-12
"Precious Achiuwa","New York Knicks","Vet",31.7,94,10.6,1.7,5.4,3.1,1,0.8,1.2,8.3,1.6,1.9,4.4,2.4,2024-02-12
"Mike Conley","Minnesota Timberwolves","Vet",29.2,95.1,10.5,6.4,2.4,0.3,0.2,1,1.3,7.9,1.2,5.5,0.5,1.7,2024-02-12
"Daniel Gafford","Dallas Mavericks","Vet",22.8,101.6,10.3,1.2,4.4,2.6,1.7,0.6,0.9,6.7,2.9,0.2,4.3,2.8,2024-02-12
"Marvin Bagley III","Washington Wizards","Vet",18.3,100.9,10.2,1.1,3,2,0.6,0.3,1.1,7.2,2.3,0.6,3.7,1.7,2024-02-12
"Alex Caruso","Chicago Bulls","Vet",31.2,96.4,10.1,3.3,3.3,0.9,1.2,1.6,1.3,7.7,1.3,5,1.6,2.7,2024-02-12
"Jaime Jaquez Jr.","Miami Heat","Rookie",24.1,96.6,10,2,2.2,0.9,0.2,0.8,1.3,7.6,1.8,2.2,2.5,1.9,2024-02-12
"Duncan Robinson","Miami Heat","Vet",22.2,95.4,9.9,2.1,1.7,0.2,0.2,0.5,0.9,7.8,1,5.5,1.1,1.9,2024-02-12
"Nick Richards","Charlotte Hornets","Vet",27,97.2,9.9,1,5.7,2.7,1.4,0.3,1.1,6,2.8,0.3,4.1,2.6,2024-02-12
"Walker Kessler","Utah Jazz","Sophomore",26.4,98.6,9.8,1.3,5.7,3.1,2.5,0.5,1,6.3,1.7,0.4,4.9,2.3,2024-02-12
"Ivica Zubac","Los Angeles Clippers","Vet",23.3,96.8,9.8,1.2,5.5,2.6,1.1,0.3,1,6.4,2.1,0.3,3.8,2.4,2024-02-12
"Josh Green","Dallas Mavericks","Vet",27.8,99.3,9.7,2.5,2.6,0.6,0.1,0.8,1.1,7.4,1.1,3.9,2,2,2024-02-12
"Paul Reed","Philadelphia 76ers","Vet",25.2,96.4,9.6,1.7,4.7,2.9,1.1,1.1,1,7.7,1.2,1.1,3.3,2.7,2024-02-12
"Luke Kennard","Memphis Grizzlies","Vet",22.7,97.8,9.5,2.7,2.3,0.3,0.1,0.5,0.9,7.2,0.9,5.4,0.5,1.2,2024-02-12
"Brandin Podziemski","Golden State Warriors","Rookie",26,99.1,9.4,3.8,4,1.3,0.2,0.8,1.2,7.9,1.2,2.8,2,1.8,2024-02-12
"Cameron Payne","Philadelphia 76ers","Vet",21.2,97.9,9.4,3.5,1.8,0.2,0.2,0.7,1.2,7.6,1.2,4.2,1,1.8,2024-02-12
"Bilal Coulibaly","Washington Wizards","Rookie",27.6,100.9,9.3,2,3.1,0.9,0.6,0.9,1.4,7.2,2,3.1,2.6,2,2024-02-12
"Cole Anthony","Orlando Magic","Vet",18.6,95.3,9.1,2.5,2.7,0.6,0.3,0.5,1.2,7.2,2.1,2.4,1.3,1.8,2024-02-12
"Jimmy Butler","Miami Heat","Vet",15.1,97,9,2.3,1.7,0.8,0.2,0.7,0.7,5.9,3.2,1.2,1.8,0.5,2024-02-12
"Josh Hart","New York Knicks","Vet",31.9,95.5,9,3.7,6.2,1.4,0.3,0.9,1.4,7.6,1.2,3.3,2.4,1.9,2024-02-12
"Caleb Martin","Miami Heat","Vet",24.4,96.6,9,1.9,3.1,1,0.3,0.8,0.9,7.2,1,3,1.9,1.7,2024-02-12
"Andre Drummond","Chicago Bulls","Vet",18,94.7,8.9,0.8,5.1,2.6,0.7,0.9,1.2,6.2,2.8,0.2,4.3,2,2024-02-12
"T.J. McConnell","Indiana Pacers","Vet",19.3,100.9,8.9,6,2.3,0.6,0.2,1.1,1.6,7.4,1.2,0.5,2.2,1.3,2024-02-12
"Jeff Green","Houston Rockets","Vet",24.8,97.8,8.9,1.4,2.6,0.8,0.5,0.4,0.9,6.3,2.4,2.7,1.8,2.1,2024-02-12
"Obi Toppin","Indiana Pacers","Vet",19,101.5,8.8,1.4,2.5,0.9,0.4,0.4,0.7,6.1,1.1,2.8,2.5,1.5,2024-02-12
"Jabari Walker","Portland Trail Blazers","Sophomore",25.3,96.1,8.8,1.1,4.7,2,0.4,0.6,0.9,6.7,1.8,2.1,3.2,2.2,2024-02-12
"Spencer Dinwiddie","Los Angeles Lakers","Vet",23.9,97.9,8.7,4.3,1.9,0.3,0.2,0.6,1,7.1,2,3.9,1.2,1.4,2024-02-12
"Georges Niang","Cleveland Cavaliers","Vet",19.8,96,8.6,1.2,2.7,0.3,0.2,0.3,0.7,6.9,0.7,4.6,0.8,2,2024-02-12
"Isaac Okoro","Cleveland Cavaliers","Vet",24.5,96.9,8.5,1.6,1.9,0.9,0.4,0.8,0.8,6,2,2.7,2.6,2,2024-02-12
"Draymond Green","Golden State Warriors","Vet",27.2,100.6,8.4,6,5.2,1.2,0.8,0.9,2.1,6.4,1.4,2.4,2,2.9,2024-02-12
"Aaron Holiday","Houston Rockets","Vet",21.7,98.8,8.4,2.6,1.8,0.3,0.2,0.8,1,6.7,0.9,3.8,1,1.8,2024-02-12
"Derrick Jones Jr.","Dallas Mavericks","Vet",23.8,100.2,8.3,1.1,2.6,1.2,0.6,0.7,0.8,6.1,1.6,2.7,2.6,1.8,2024-02-12
"Ricky Council IV","Philadelphia 76ers","Rookie",15.4,101.6,8.3,0.9,1.7,1.1,0.2,0.4,0.7,6,3,1.5,2.5,1.3,2024-02-12
