"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Luka Doncic","Dallas Mavericks","Vet",38.2,100.2,32.8,9.8,8.1,0.8,0.6,1.4,4.3,24.1,9.9,9.7,4.2,2.1,2024-01-30
"Shai Gilgeous-Alexander","Oklahoma City Thunder","Vet",34.2,100.1,29.5,6.1,4.3,0.9,0.7,1.7,2.4,19.7,9.4,3.6,6.1,2.4,2024-01-30
"Devin Booker","Phoenix Suns","Vet",36.2,98.2,29.2,6.3,4,0.7,0.4,0.9,2.3,20.2,6.6,6.4,2.9,2.8,2024-01-30
"Giannis Antetokounmpo","Milwaukee Bucks","Vet",34.8,101.8,29.1,6.5,9.7,2.6,1,1.1,3.8,18.7,9.9,1.8,8.8,3.1,2024-01-30
"Jalen Brunson","New York Knicks","Vet",35.2,96.4,27.5,6.6,3.2,0.5,0.2,0.9,2.3,19.9,6.6,6.7,3.4,2,2024-01-30
"Donovan Mitchell","Cleveland Cavaliers","Vet",35.5,98,27.4,6.9,4.1,0.8,0.4,1.5,2.9,20.8,5.6,9.2,4.5,2.3,2024-01-30
"Stephen Curry","Golden State Warriors","Vet",34.8,100.1,26.9,5.8,3.9,0.4,0.3,0.9,2.8,20.8,5,11.4,1.8,2,2024-01-30
"Jayson Tatum","Boston Celtics","Vet",35.2,97.2,26.6,4.8,7.3,0.9,0.6,0.9,2.6,19.2,7.4,7.7,4.8,1.8,2024-01-30
"Trae Young","Atlanta Hawks","Vet",36.3,101.8,26.1,11.3,2.5,0.5,0.2,1.2,4.1,19,7.9,8,2.9,1.9,2024-01-30
"Nikola Jokic","Denver Nuggets","Vet",34.3,96.5,25.9,8.4,9.3,2.8,0.9,1.2,3.2,17,6,2.5,5.3,2.6,2024-01-30
"Anthony Edwards","Minnesota Timberwolves","Vet",35.5,96,25.5,5.4,4.3,0.6,0.5,1.2,3.1,18.3,6.5,6.4,4.8,2,2024-01-30
